R1/R2
Excitations | Coefficients
4^ 0	| -1.3676097125765939e-05
6^ 0	| -6.661897374073517e-05
5^ 1	| -1.328904836041717e-05
7^ 1	| -6.661897516580827e-05
4^ 2	| -6.391992547394413e-05
6^ 2	| -1.3293761101601405e-05
5^ 3	| -6.391992533007268e-05
7^ 3	| -1.3680555186173592e-05
4^ 0; 5^ 1	| -3.820745752705138e-06
4^ 0; 7^ 1	| 5.492113339809731e-05
6^ 0; 5^ 1	| 5.4920663771563894e-05
6^ 0; 7^ 1	| 3.6817115252955946e-06
4^ 0; 6^ 2	| 0.4082457394008752
4^ 0; 5^ 3	| -5.175811243010988e-05
4^ 0; 7^ 3	| 0.40824883636006576
6^ 0; 5^ 3	| 0.40824955635922117
6^ 0; 7^ 3	| 5.487496955768303e-05
5^ 1; 4^ 2	| -5.175858422955319e-05
5^ 1; 6^ 2	| 0.4082502616337365
7^ 1; 4^ 2	| 0.40824955710144334
7^ 1; 6^ 2	| 5.487449938242551e-05
5^ 1; 7^ 3	| 0.4082457421851349
4^ 2; 5^ 3	| 3.955909612161504e-06
4^ 2; 7^ 3	| -5.170985161443494e-05
6^ 2; 5^ 3	| -5.171032426947565e-05
6^ 2; 7^ 3	| -3.8135803813596266e-06
