Operator	Amplitude
++++++++++++++++++++++++++++++
4^ 5^ 0 1 	| -0.4578547619467348
4^ 5^ 0 3 	| -3.4663099300078973e-07
4^ 5^ 2 1 	| -3.6308323150691412e-06
4^ 5^ 2 3 	| -0.28090169373361873
4^ 7^ 0 1 	| 1.992204194474118e-06
4^ 7^ 0 3 	| -0.3355337381333196
4^ 7^ 2 1 	| -0.3962576614028797
4^ 7^ 2 3 	| 3.552451539025543e-06
6^ 5^ 0 1 	| 2.1267531305811837e-06
6^ 5^ 0 3 	| -0.396257652134202
6^ 5^ 2 1 	| -0.33553357816136997
6^ 5^ 2 3 	| 3.8722564026628103e-07
6^ 7^ 0 1 	| -0.27294784720851106
6^ 7^ 0 3 	| -2.075216214821244e-06
6^ 7^ 2 1 	| -2.022681923437828e-06
6^ 7^ 2 3 	| -0.45730475662664805
4^ 6^ 0 2 	| 0.06072622784931257
5^ 7^ 1 3 	| 0.0607262409274566
4^ 0 	| 0.058133927333163256
5^ 1 	| 0.05813149654564949
6^ 0 	| 7.506006236736147e-06
7^ 1 	| -8.07129237475974e-06
4^ 2 	| 7.927053838974402e-06
5^ 3 	| -8.175334680454281e-06
6^ 2 	| -0.05731403380544079
7^ 3 	| -0.057316493746807126
