R1/R2
Excitations | Coefficients
4^ 0	| -0.004343967048344674
6^ 0	| -5.307062406283364e-13
5^ 1	| -0.009172344278722383
7^ 1	| -5.38883088992646e-13
4^ 2	| 5.723850572161016e-13
6^ 2	| 0.008086664640320498
5^ 3	| 5.66152960251432e-13
7^ 3	| 0.00243438044011124
4^ 0; 5^ 1	| 0.1262978644063973
4^ 0; 7^ 1	| -4.949278797712688e-12
6^ 0; 5^ 1	| -4.9561818224167814e-12
6^ 0; 7^ 1	| -0.11929675665667847
4^ 0; 6^ 2	| 0.30745793939526017
4^ 0; 5^ 3	| -5.123588372654495e-12
4^ 0; 7^ 3	| 0.4303534675536068
6^ 0; 5^ 3	| 0.4346925211890448
6^ 0; 7^ 3	| 4.936321101487229e-12
5^ 1; 4^ 2	| -5.119772034586189e-12
5^ 1; 6^ 2	| 0.43032016556872527
7^ 1; 4^ 2	| 0.43464863722142716
7^ 1; 6^ 2	| 4.936600773775379e-12
5^ 1; 7^ 3	| 0.3074478075729787
4^ 2; 5^ 3	| -0.12828787175920345
4^ 2; 7^ 3	| 5.121490717346758e-12
6^ 2; 5^ 3	| 5.130128823837051e-12
6^ 2; 7^ 3	| 0.12599173119457743
