Operator	Amplitude
++++++++++++++++++++++++++++++
4^ 5^ 0 1 	| 0.8175608833969795
4^ 7^ 0 1 	| 8.681579235155382e-17
6^ 5^ 0 1 	| -2.092503494586394e-16
6^ 7^ 0 1 	| 0.8364994458959282
4^ 6^ 0 2 	| -0.04462841050259925
4^ 5^ 0 3 	| -3.434136680345353e-17
4^ 7^ 0 3 	| -0.7395908608571163
6^ 5^ 0 3 	| -0.6844832169358507
6^ 7^ 0 3 	| 3.4666691286045173e-16
4^ 5^ 2 1 	| 1.8096049335210842e-16
4^ 7^ 2 1 	| -0.6844833366047862
6^ 5^ 2 1 	| -0.7395727690414042
6^ 7^ 2 1 	| -2.2397675965317753e-16
5^ 7^ 1 3 	| -0.04463408494735325
4^ 5^ 2 3 	| 0.876015341535638
4^ 7^ 2 3 	| 2.2329282869438117e-16
6^ 5^ 2 3 	| -1.2798957783535112e-16
6^ 7^ 2 3 	| 0.8168974576617662
4^ 0 	| 0.13613157089295932
6^ 0 	| -8.581416050925409e-17
5^ 1 	| 0.13611589540867614
7^ 1 	| 1.1392076035197235e-16
4^ 2 	| 1.32673135378938e-16
6^ 2 	| 0.13456326693233828
5^ 3 	| -5.720978341022447e-19
7^ 3 	| 0.13457897864957458
