R1/R2
Excitations | Coefficients
4^ 0	| (0.06364470419266288+0j)
6^ 0	| (0.035407387502551346+0j)
5^ 1	| (-0.04608039766015445+0j)
7^ 1	| (0.00632464994971844+0j)
4^ 2	| (0.025404724934804456+0j)
6^ 2	| (0.041106635250824045+0j)
5^ 3	| (0.018052715119942806+0j)
7^ 3	| (-0.04835090433132829+0j)
4^ 0; 5^ 1	| (0.4440066458482004+0j)
4^ 0; 7^ 1	| (-0.12468329125106942+0j)
6^ 0; 5^ 1	| (-0.14105079147694968+0j)
6^ 0; 7^ 1	| (-0.30684193251226366+0j)
4^ 0; 6^ 2	| (-0.16987444280756037+0j)
4^ 0; 5^ 3	| (-0.14633756972854156+0j)
4^ 0; 7^ 3	| (0.1422059725806445+0j)
6^ 0; 5^ 3	| (0.2693831432076756+0j)
6^ 0; 7^ 3	| (0.12092810246321302+0j)
5^ 1; 4^ 2	| (-0.14073695019078336+0j)
5^ 1; 6^ 2	| (0.15282765173128707+0j)
7^ 1; 4^ 2	| (0.25308418764928237+0j)
7^ 1; 6^ 2	| (0.11935227942803177+0j)
5^ 1; 7^ 3	| (-0.17148703738205462+0j)
4^ 2; 5^ 3	| (-0.33561983053288247+0j)
4^ 2; 7^ 3	| (0.14332554442117523+0j)
6^ 2; 5^ 3	| (0.12835640522123284+0j)
6^ 2; 7^ 3	| (0.45009669763585736+0j)
