R1/R2
Excitations | Coefficients
6^ 0	| 1.4224497803252452e-09
8^ 0	| 1.3747490028535218e-09
10^ 0	| 5.121603187185634e-10
7^ 1	| -1.4286726370817597e-09
9^ 1	| -4.028685127108249e-09
11^ 1	| -4.479568030093369e-11
6^ 2	| -2.4933295476799735e-07
8^ 2	| -7.211932323878043e-07
10^ 2	| 5.781456892519543e-08
7^ 3	| 2.445758479716274e-07
9^ 3	| 7.223285804075583e-07
11^ 3	| 1.3154141959107683e-07
6^ 4	| 1.6567694415412968e-06
8^ 4	| 3.5300142933851062e-06
10^ 4	| 7.191513291059057e-07
7^ 5	| -1.657049992101126e-06
9^ 5	| -4.4560714770332056e-06
11^ 5	| -1.0851902758670405e-06
6^ 0; 7^ 1	| -3.000678060978351e-11
6^ 0; 9^ 1	| 5.860926830950376e-10
6^ 0; 11^ 1	| -4.565707889967393e-10
8^ 0; 7^ 1	| 1.4638784070815691e-09
8^ 0; 9^ 1	| 4.111787501394257e-05
8^ 0; 11^ 1	| 0.0001505078538229697
10^ 0; 7^ 1	| -7.297612916385508e-10
10^ 0; 9^ 1	| -0.00015050785419158986
10^ 0; 11^ 1	| -4.1116955738786416e-05
6^ 0; 8^ 2	| 1.5682116825977786e-10
6^ 0; 10^ 2	| 1.1061422293839302e-09
8^ 0; 10^ 2	| 1.037146162151025e-13
6^ 0; 7^ 3	| 6.603540484161358e-10
6^ 0; 9^ 3	| -1.105071433969666e-09
6^ 0; 11^ 3	| 7.422432273867145e-10
8^ 0; 7^ 3	| 8.867362538503136e-10
8^ 0; 9^ 3	| 0.00013147502509451572
8^ 0; 11^ 3	| 0.0004812518828946217
10^ 0; 7^ 3	| -3.1520969193423975e-10
10^ 0; 9^ 3	| -0.00048125188271993315
10^ 0; 11^ 3	| -0.00013147249500705611
6^ 0; 8^ 4	| 1.9385568960376413e-09
6^ 0; 10^ 4	| 2.1842405058043727e-09
8^ 0; 10^ 4	| 2.7725360471730346e-13
6^ 0; 7^ 5	| 1.4622090857633219e-09
6^ 0; 9^ 5	| 3.269142015513407e-09
6^ 0; 11^ 5	| -1.3886825749697237e-09
8^ 0; 7^ 5	| -2.35439727165292e-09
8^ 0; 9^ 5	| -0.00015784382381133703
8^ 0; 11^ 5	| -0.0005777714706860567
10^ 0; 7^ 5	| 9.65520529351878e-10
10^ 0; 9^ 5	| 0.0005777714702476422
10^ 0; 11^ 5	| 0.00015784029254310315
7^ 1; 6^ 2	| -6.566548405364453e-10
7^ 1; 8^ 2	| -4.500428314392377e-09
7^ 1; 10^ 2	| -7.220429095659699e-10
9^ 1; 6^ 2	| -1.53643165011086e-09
9^ 1; 8^ 2	| -0.00013146794923837388
9^ 1; 10^ 2	| 0.00048123226408460727
11^ 1; 6^ 2	| -3.1082680285911735e-09
11^ 1; 8^ 2	| -0.0004812322643843402
11^ 1; 10^ 2	| 0.00013146885142629067
7^ 1; 9^ 3	| 1.7447216753312148e-09
7^ 1; 11^ 3	| 4.438060579122472e-10
9^ 1; 11^ 3	| 1.3578250142467631e-14
7^ 1; 6^ 4	| -1.4531179447194643e-09
7^ 1; 8^ 4	| 2.16360378705812e-09
7^ 1; 10^ 4	| -1.5078357822697574e-09
9^ 1; 6^ 4	| -3.261824801168598e-09
9^ 1; 8^ 4	| 0.0001578476025952465
9^ 1; 10^ 4	| -0.0005777787781391381
11^ 1; 6^ 4	| -1.4503335720974826e-09
11^ 1; 8^ 4	| 0.0005777787788877889
11^ 1; 10^ 4	| -0.00015784050609810984
7^ 1; 9^ 5	| 2.7069493693829066e-09
7^ 1; 11^ 5	| 4.942583308116157e-10
9^ 1; 11^ 5	| -4.2044929442377656e-13
6^ 2; 7^ 3	| -3.898222663689861e-08
6^ 2; 9^ 3	| -1.1790671385240998e-07
6^ 2; 11^ 3	| 1.371267741449845e-07
8^ 2; 7^ 3	| 2.914342626636533e-07
8^ 2; 9^ 3	| 0.016501924394078247
8^ 2; 11^ 3	| 0.0604036869107243
10^ 2; 7^ 3	| -2.7976800983657603e-08
10^ 2; 9^ 3	| -0.0604036869122752
10^ 2; 11^ 3	| -0.016501582163934925
6^ 2; 8^ 4	| 8.691398344735202e-07
6^ 2; 10^ 4	| 1.7627489978792917e-07
8^ 2; 10^ 4	| 7.0783204006682774e-12
6^ 2; 7^ 5	| -7.728255983696901e-08
6^ 2; 9^ 5	| 3.449063349924922e-07
6^ 2; 11^ 5	| 5.358418108234492e-08
8^ 2; 7^ 5	| 8.02723588109262e-07
8^ 2; 9^ 5	| 0.013836764048826227
8^ 2; 11^ 5	| 0.05064834848568006
10^ 2; 7^ 5	| 1.4468025353639493e-07
10^ 2; 9^ 5	| -0.05064834848647628
10^ 2; 11^ 5	| -0.013836598080623838
7^ 3; 6^ 4	| 7.383838734966361e-08
7^ 3; 8^ 4	| 3.2542744362750727e-07
7^ 3; 10^ 4	| 2.3385399271332403e-07
9^ 3; 6^ 4	| 6.444153320247369e-07
9^ 3; 8^ 4	| -0.01383681048093981
9^ 3; 10^ 4	| 0.050648520811599616
11^ 3; 6^ 4	| 8.862764388766358e-08
11^ 3; 8^ 4	| -0.05064852080918413
11^ 3; 10^ 4	| 0.013836645791642998
7^ 3; 9^ 5	| 9.003131496022458e-07
7^ 3; 11^ 5	| 8.392818047443791e-08
9^ 3; 11^ 5	| 6.382258684811049e-12
6^ 4; 7^ 5	| 2.2670857528942714e-06
6^ 4; 9^ 5	| 5.340188482951759e-06
6^ 4; 11^ 5	| -2.4146640643264e-07
8^ 4; 7^ 5	| -4.023375965795394e-06
8^ 4; 9^ 5	| -0.184581507310455
8^ 4; 11^ 5	| -0.6756438837342316
10^ 4; 7^ 5	| 8.263354350740491e-07
10^ 4; 9^ 5	| 0.6756438837438169
10^ 4; 11^ 5	| 0.18457836500530686
