R1/R2
Excitations | Coefficients
6^ 0	| 0.06005876362667041
8^ 0	| 0.14702702280669147
10^ 0	| 0.0658244513268887
7^ 1	| 0.022262882011091917
9^ 1	| 0.003561355322348768
11^ 1	| -0.007366658083604274
6^ 2	| -0.046692885334373324
8^ 2	| 0.003792287687979512
10^ 2	| -0.3269190471241138
7^ 3	| 0.0009055055824211122
9^ 3	| 0.002310022468989509
11^ 3	| -0.05285958399549327
6^ 4	| -0.00022590181278951248
8^ 4	| 1.1209030887665561e-05
10^ 4	| -0.1573351346668564
7^ 5	| -0.003015398252095257
9^ 5	| 0.010412268507183263
11^ 5	| -0.0011769052146831174
6^ 0; 7^ 1	| 0.0022595255531741715
6^ 0; 9^ 1	| -0.048011731978737544
6^ 0; 11^ 1	| 0.06765645551079758
8^ 0; 7^ 1	| 0.019050182252569006
8^ 0; 9^ 1	| 0.00997863096655253
8^ 0; 11^ 1	| 0.42200824040904233
10^ 0; 7^ 1	| 0.0016742188421725174
10^ 0; 9^ 1	| 0.15464675399994562
10^ 0; 11^ 1	| -0.030929388880362327
6^ 0; 8^ 2	| 0.0020161926860075285
6^ 0; 10^ 2	| 0.15746108211942544
8^ 0; 10^ 2	| -0.016913237019637012
6^ 0; 7^ 3	| -0.01105024845356653
6^ 0; 9^ 3	| -0.005450879382784553
6^ 0; 11^ 3	| -0.27547913129411955
8^ 0; 7^ 3	| 0.001485168213147796
8^ 0; 9^ 3	| 0.0036920155099010705
8^ 0; 11^ 3	| -0.45036376097644926
10^ 0; 7^ 3	| 0.27400529733809864
10^ 0; 9^ 3	| -0.005818963662339625
10^ 0; 11^ 3	| 0.003098308174555383
6^ 0; 8^ 4	| -0.012274460606979705
6^ 0; 10^ 4	| -0.15509538622291585
8^ 0; 10^ 4	| -0.08764642734101873
6^ 0; 7^ 5	| -0.004960534914350211
6^ 0; 9^ 5	| -0.0009474514462170001
6^ 0; 11^ 5	| -0.07313045355575025
8^ 0; 7^ 5	| 0.0035232988232661027
8^ 0; 9^ 5	| 0.001301887279599298
8^ 0; 11^ 5	| -0.10375113893703836
10^ 0; 7^ 5	| -0.03704214086507079
10^ 0; 9^ 5	| 0.007545197358009798
10^ 0; 11^ 5	| -0.006420621639469247
7^ 1; 6^ 2	| 0.0020776557288919085
7^ 1; 8^ 2	| -0.0004074578078058141
7^ 1; 10^ 2	| -0.024384156577578253
9^ 1; 6^ 2	| 0.014421600401642526
9^ 1; 8^ 2	| -0.006040755714288644
9^ 1; 10^ 2	| 0.00913680001047452
11^ 1; 6^ 2	| -0.05540232446910434
11^ 1; 8^ 2	| -0.022981731558864352
11^ 1; 10^ 2	| 0.006485871238565605
7^ 1; 9^ 3	| -0.013084002090368755
7^ 1; 11^ 3	| 0.08379100779312233
9^ 1; 11^ 3	| 0.006449797889269946
7^ 1; 6^ 4	| -0.002294304161626601
7^ 1; 8^ 4	| -0.00011786341105869432
7^ 1; 10^ 4	| 0.02519968074054437
9^ 1; 6^ 4	| -0.007475355598932818
9^ 1; 8^ 4	| -0.002637919226579457
9^ 1; 10^ 4	| 0.022949214398443916
11^ 1; 6^ 4	| -0.06427082828308359
11^ 1; 8^ 4	| -0.0129786493722274
11^ 1; 10^ 4	| -0.002205885782549332
7^ 1; 9^ 5	| 0.0030524410249082572
7^ 1; 11^ 5	| 0.07441675179033566
9^ 1; 11^ 5	| -0.027174208448485292
6^ 2; 7^ 3	| -0.00285481901053369
6^ 2; 9^ 3	| 0.02221613509411793
6^ 2; 11^ 3	| -0.22179453448877126
8^ 2; 7^ 3	| -0.0006092890889654592
8^ 2; 9^ 3	| -0.001085539999016213
8^ 2; 11^ 3	| 0.008798875536741935
10^ 2; 7^ 3	| 0.04168545630066907
10^ 2; 9^ 3	| -0.11221620459718147
10^ 2; 11^ 3	| -0.06169375358388936
6^ 2; 8^ 4	| 0.0024043320996900495
6^ 2; 10^ 4	| 0.008655117811296183
8^ 2; 10^ 4	| -0.008719839554479181
6^ 2; 7^ 5	| 0.0008428044503897384
6^ 2; 9^ 5	| -0.00398658287156849
6^ 2; 11^ 5	| -0.23147375072571763
8^ 2; 7^ 5	| -2.8663754642318483e-06
8^ 2; 9^ 5	| -0.0005676599948289106
8^ 2; 11^ 5	| -0.01147186474528131
10^ 2; 7^ 5	| 0.0003592755757668162
10^ 2; 9^ 5	| 0.14032698928276463
10^ 2; 11^ 5	| 0.0008056663195137955
7^ 3; 6^ 4	| 0.0013186254700392906
7^ 3; 8^ 4	| -0.000720473475971231
7^ 3; 10^ 4	| -0.006960017130291102
9^ 3; 6^ 4	| 0.012348906552287799
9^ 3; 8^ 4	| -0.000510690885508221
9^ 3; 10^ 4	| -0.02368778181740272
11^ 3; 6^ 4	| 0.09798132917776906
11^ 3; 8^ 4	| -0.0039981911182100024
11^ 3; 10^ 4	| -0.002282544864976427
7^ 3; 9^ 5	| -0.0005054633508385879
7^ 3; 11^ 5	| -0.0039626134887231585
9^ 3; 11^ 5	| -0.02124740260238668
6^ 4; 7^ 5	| 0.0021915368458514405
6^ 4; 9^ 5	| 0.0008499737331463797
6^ 4; 11^ 5	| -0.11252201597995039
8^ 4; 7^ 5	| 0.0005957817458431289
8^ 4; 9^ 5	| -0.0005745493069289812
8^ 4; 11^ 5	| -0.0020423450794325934
10^ 4; 7^ 5	| -0.0018418352231930266
10^ 4; 9^ 5	| -0.07359646191292313
10^ 4; 11^ 5	| 0.012963355794491642
