Active electrons: 6
Active orbitals: 6
HF energy: -37.72690767890864
Energy minimum: -37.77059242551336

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -3.8639950448497746
6^ 9^ 0 1 	| 0.10944167216424638
6^ 11^ 0 1 	| -0.04932183080372975
8^ 7^ 0 1 	| 3.1213094718192154
10^ 7^ 0 1 	| 0.00462190061037673
8^ 9^ 0 1 	| -0.19066443020812682
8^ 11^ 0 1 	| 0.01214148165808773
10^ 9^ 0 1 	| 0.00028540811978403535
10^ 11^ 0 1 	| -0.1754477180118583
6^ 8^ 0 2 	| -0.9478398846617583
6^ 10^ 0 2 	| 0.005835680642253782
8^ 10^ 0 2 	| 0.0014496140866138811
6^ 7^ 0 3 	| -0.04190980485905824
6^ 9^ 0 3 	| -0.03560688325561388
6^ 11^ 0 3 	| -0.0025562017483122
8^ 7^ 0 3 	| 1.0086032507768958
10^ 7^ 0 3 	| 0.00015444659173177608
8^ 9^ 0 3 	| -0.14351980838207162
8^ 11^ 0 3 	| 0.004591780980191954
10^ 9^ 0 3 	| -1.8728615901787207e-05
10^ 11^ 0 3 	| -0.10403480746517485
6^ 8^ 0 4 	| 0.31108669411757517
6^ 10^ 0 4 	| 0.002266058160341584
8^ 10^ 0 4 	| -0.0001707419008330135
6^ 7^ 0 5 	| -0.025953346219470885
6^ 9^ 0 5 	| 0.0024184314541844205
6^ 11^ 0 5 	| 0.0019505396981129878
8^ 7^ 0 5 	| -0.18602119769857353
10^ 7^ 0 5 	| -0.0034557195189451897
8^ 9^ 0 5 	| -0.02201110956126463
8^ 11^ 0 5 	| 0.0035856870274366516
10^ 9^ 0 5 	| 2.036483837598185e-05
10^ 11^ 0 5 	| 0.02361552250421925
6^ 7^ 2 1 	| 0.09576092235776965
6^ 9^ 2 1 	| -2.0309155593703254
6^ 11^ 2 1 	| -0.009130179890495872
8^ 7^ 2 1 	| 0.005454361962574624
10^ 7^ 2 1 	| 0.000292059226584973
8^ 9^ 2 1 	| 1.1804703219388288
8^ 11^ 2 1 	| -0.004551927305143035
10^ 9^ 2 1 	| -0.0008226268154936669
10^ 11^ 2 1 	| -0.03189321322321554
7^ 9^ 1 3 	| 2.1314862253803346
7^ 11^ 1 3 	| 0.0017184252774045852
9^ 11^ 1 3 	| -0.0008282033984237823
6^ 7^ 4 1 	| -0.012499543121018692
6^ 9^ 4 1 	| -2.1501126097487697
6^ 11^ 4 1 	| 0.00928533592324337
8^ 7^ 4 1 	| -0.01279851773984143
10^ 7^ 4 1 	| -5.313673760699229e-05
8^ 9^ 4 1 	| 0.14961770085448967
8^ 11^ 4 1 	| 0.00994703496670539
10^ 9^ 4 1 	| -0.00018088337701580755
10^ 11^ 4 1 	| 0.027677424760500762
7^ 9^ 1 5 	| 1.5598607560537474
7^ 11^ 1 5 	| -0.0004678383867962887
9^ 11^ 1 5 	| 0.0003547498095602438
6^ 7^ 2 3 	| -0.8894498645423149
6^ 9^ 2 3 	| 3.3945017165773774
6^ 11^ 2 3 	| -0.02075043288377318
8^ 7^ 2 3 	| -0.01293800468858365
10^ 7^ 2 3 	| 0.06743540650730902
8^ 9^ 2 3 	| -2.386635279706112
8^ 11^ 2 3 	| 0.0973110175331182
10^ 9^ 2 3 	| -0.01862582006140877
10^ 11^ 2 3 	| 0.16460455331904045
6^ 8^ 2 4 	| -0.03428918693090377
6^ 10^ 2 4 	| -0.0003272124636977526
8^ 10^ 2 4 	| -0.000230032133423004
6^ 7^ 2 5 	| 0.18807220059825297
6^ 9^ 2 5 	| 3.026919270065982
6^ 11^ 2 5 	| -0.004897699540790013
8^ 7^ 2 5 	| -0.9007057732256818
10^ 7^ 2 5 	| 0.005115482149450089
8^ 9^ 2 5 	| -0.24045588587872288
8^ 11^ 2 5 	| 0.026986087375730935
10^ 9^ 2 5 	| -0.002030517010016762
10^ 11^ 2 5 	| -0.05560377799016404
6^ 7^ 4 3 	| -0.20339345807255607
6^ 9^ 4 3 	| -1.2048391048221323
6^ 11^ 4 3 	| -0.004600675916014924
8^ 7^ 4 3 	| -0.7062121153392321
10^ 7^ 4 3 	| 0.002732661609087743
8^ 9^ 4 3 	| -2.0637583372165023
8^ 11^ 4 3 	| 0.22722380974188666
10^ 9^ 4 3 	| 0.01604404362111732
10^ 11^ 4 3 	| 0.0755320254258942
7^ 9^ 3 5 	| 0.16420358060249857
7^ 11^ 3 5 	| -0.0025577564183439797
9^ 11^ 3 5 	| 0.0013667499108928945
6^ 7^ 4 5 	| -0.1296729916890425
6^ 9^ 4 5 	| 0.07200693676909692
6^ 11^ 4 5 	| -0.008155052871771764
8^ 7^ 4 5 	| -1.5829815061695582
10^ 7^ 4 5 	| 0.16207074505477745
8^ 9^ 4 5 	| 3.0550509825504206
8^ 11^ 4 5 	| 0.023128548948942076
10^ 9^ 4 5 	| -0.12083522292954837
10^ 11^ 4 5 	| 0.1829170570535718
6^ 0 	| -3.1981848431056505
8^ 0 	| -3.7243393048149325
10^ 0 	| -0.0020794689723671405
7^ 1 	| -3.171373025222769
9^ 1 	| -2.810752036323927
11^ 1 	| 0.006598260664069504
6^ 2 	| -0.03576014652064789
8^ 2 	| 3.1453657354941065
10^ 2 	| -0.0023927694415924934
7^ 3 	| 0.36762307173066117
9^ 3 	| -3.1316130343227107
11^ 3 	| -0.01182011008384239
6^ 4 	| -0.8677893426048202
8^ 4 	| 0.31517556997726015
10^ 4 	| 0.011328891921541578
7^ 5 	| 1.2058822209243887
9^ 5 	| 0.021331463929011307
11^ 5 	| -0.0036978989298337263
