R1/R2
Excitations | Coefficients
6^ 0	| 0.020136484560299865
8^ 0	| 0.0006488044164559992
10^ 0	| -0.002789111462625317
7^ 1	| 0.001262628351366403
9^ 1	| -0.0012823065323249033
11^ 1	| -0.0013300691114178295
6^ 2	| 0.0001257479481031748
8^ 2	| 0.0010438202275679861
10^ 2	| -4.516405848681293e-05
7^ 3	| -0.000828337011517688
9^ 3	| 0.0009950252379974378
11^ 3	| 0.0026497623200375936
6^ 4	| 0.0022110148514556394
8^ 4	| 0.00019452945237762032
10^ 4	| -0.0010064622855898153
7^ 5	| -0.0012602111665140359
9^ 5	| -0.0004868615267728804
11^ 5	| 0.00011690874156719544
6^ 0; 7^ 1	| 0.04633621971536567
6^ 0; 9^ 1	| 0.009598262273028207
6^ 0; 11^ 1	| 0.011869482941954473
8^ 0; 7^ 1	| -0.00019986563618082376
8^ 0; 9^ 1	| -0.06738011445215042
8^ 0; 11^ 1	| -0.01705960421938063
10^ 0; 7^ 1	| -0.008952678779885842
10^ 0; 9^ 1	| 0.010030129494185386
10^ 0; 11^ 1	| 0.012135689035393166
6^ 0; 8^ 2	| 0.002139842279004739
6^ 0; 10^ 2	| 0.0013382691678529013
8^ 0; 10^ 2	| -0.0005609021148782478
6^ 0; 7^ 3	| -0.3391093195526539
6^ 0; 9^ 3	| 0.006650320458637088
6^ 0; 11^ 3	| -0.0009408549350197193
8^ 0; 7^ 3	| 0.007884087536138375
8^ 0; 9^ 3	| 0.006615634246417659
8^ 0; 11^ 3	| -0.0029144774521966217
10^ 0; 7^ 3	| 0.00701594422201042
10^ 0; 9^ 3	| 0.006070525289212603
10^ 0; 11^ 3	| 0.01695037116858526
6^ 0; 8^ 4	| -0.0003185064869282816
6^ 0; 10^ 4	| -0.0018806440115137681
8^ 0; 10^ 4	| -0.00022857657836044588
6^ 0; 7^ 5	| 0.020836972308089827
6^ 0; 9^ 5	| -0.006552376261308482
6^ 0; 11^ 5	| -0.0037690659904843146
8^ 0; 7^ 5	| 0.0019175801516695863
8^ 0; 9^ 5	| 0.01579979976723123
8^ 0; 11^ 5	| 0.0049916895055336615
10^ 0; 7^ 5	| -0.00604054601377029
10^ 0; 9^ 5	| -0.006947508729236655
10^ 0; 11^ 5	| 0.015922308639202097
7^ 1; 6^ 2	| -0.9015633547888777
7^ 1; 8^ 2	| 0.024078493745313775
7^ 1; 10^ 2	| 0.007348311774097951
9^ 1; 6^ 2	| -0.0053300063559545635
9^ 1; 8^ 2	| -0.10259119094130921
9^ 1; 10^ 2	| 0.027985317028350696
11^ 1; 6^ 2	| -0.03583830949887045
11^ 1; 8^ 2	| -0.025642827270241465
11^ 1; 10^ 2	| 0.05259662944899954
7^ 1; 9^ 3	| -0.0019869903040632074
7^ 1; 11^ 3	| -0.006933774369831199
9^ 1; 11^ 3	| 0.00014798799911328668
7^ 1; 6^ 4	| 0.11695338202206688
7^ 1; 8^ 4	| 0.003360063804863411
7^ 1; 10^ 4	| -0.03445566444284782
9^ 1; 6^ 4	| -0.011868301531954563
9^ 1; 8^ 4	| 0.06209352232322336
9^ 1; 10^ 4	| 0.03912082567506559
11^ 1; 6^ 4	| 0.013897438466263134
11^ 1; 8^ 4	| -0.03433415323625982
11^ 1; 10^ 4	| -0.035021701919400024
7^ 1; 9^ 5	| -0.0009473330854200174
7^ 1; 11^ 5	| -0.002398497276620235
9^ 1; 11^ 5	| 0.0002572269054687025
6^ 2; 7^ 3	| -0.03656437318923854
6^ 2; 9^ 3	| -0.0017835354973840527
6^ 2; 11^ 3	| -0.003737789670934024
8^ 2; 7^ 3	| -0.005542164671307989
8^ 2; 9^ 3	| -0.044699900282162676
8^ 2; 11^ 3	| 0.012183070443987414
10^ 2; 7^ 3	| 0.002677152783555063
10^ 2; 9^ 3	| -0.011606795421663383
10^ 2; 11^ 3	| -0.04792892270401256
6^ 2; 8^ 4	| 1.7314563652092852e-06
6^ 2; 10^ 4	| -8.382232923711467e-06
8^ 2; 10^ 4	| 8.961808131048397e-06
6^ 2; 7^ 5	| -0.0039544157710653775
6^ 2; 9^ 5	| 0.0036754210118975102
6^ 2; 11^ 5	| -0.002009783224303838
8^ 2; 7^ 5	| -0.007836649753064003
8^ 2; 9^ 5	| -0.025080092188503756
8^ 2; 11^ 5	| 0.002760590503848708
10^ 2; 7^ 5	| 0.0027279867602419162
10^ 2; 9^ 5	| -0.0023908319821334184
10^ 2; 11^ 5	| -0.0071015613906536094
7^ 3; 6^ 4	| 0.10934599683681669
7^ 3; 8^ 4	| 0.019374874158557966
7^ 3; 10^ 4	| -0.000980846311418692
9^ 3; 6^ 4	| -0.010459738820115055
9^ 3; 8^ 4	| 0.052531911846758775
9^ 3; 10^ 4	| -0.006573463083108266
11^ 3; 6^ 4	| 0.0025759552467359455
11^ 3; 8^ 4	| 0.003565730948313174
11^ 3; 10^ 4	| -0.01246711251992191
7^ 3; 9^ 5	| 2.1661711174932805e-05
7^ 3; 11^ 5	| 3.54774980538896e-05
9^ 3; 11^ 5	| 2.55155250421681e-06
6^ 4; 7^ 5	| 0.021685368299949808
6^ 4; 9^ 5	| -0.0030870354795532917
6^ 4; 11^ 5	| -0.001250851091094134
8^ 4; 7^ 5	| 0.005697040678648943
8^ 4; 9^ 5	| 0.005814849448685504
8^ 4; 11^ 5	| 0.004956951120882256
10^ 4; 7^ 5	| 0.002352041574696091
10^ 4; 9^ 5	| -0.006730378079251292
10^ 4; 11^ 5	| -0.003774179897388179
