CH+ labels at R=4.27426 bohr, 6-31g, CAS(6e,6o), singlet symmetry-resolved CASCI
state_label	energy_hartree
1^1Sigma+	-37.820655585356
2^1Sigma+	-37.608216198870
3^1Sigma+	-37.570829659565
4^1Sigma+	-37.387493026835
5^1Sigma+	-37.288732204706
6^1Sigma+	-37.219135199678
7^1Sigma+	-37.070503301242
8^1Sigma+	-36.918438241240
9^1Sigma+	-36.782714636039
10^1Sigma+	-36.708893842190
11^1Sigma+	-36.655210291911
12^1Sigma+	-36.422022030178
1^1Sigma-	-37.619359775026
2^1Sigma-	-37.601252281408
3^1Sigma-	-37.479434996924
4^1Sigma-	-37.357994214056
5^1Sigma-	-37.228098727012
6^1Sigma-	-37.132649962125
7^1Sigma-	-37.101710659165
8^1Sigma-	-37.061984192921
9^1Sigma-	-36.993805828023
10^1Sigma-	-36.962897182938
11^1Sigma-	-36.779731220680
12^1Sigma-	-36.373984621138
1^1Pi	-37.776993007833
2^1Pi	-37.607341825572
3^1Pi	-37.561364004082
4^1Pi	-37.381709411586
5^1Pi	-37.250347023332
6^1Pi	-37.115834317747
7^1Pi	-37.058449092657
8^1Pi	-36.973932854600
9^1Pi	-36.889835795631
10^1Pi	-36.777681899664
11^1Pi	-36.677648530240
12^1Pi	-36.408491632978
1^1Delta	-37.619359775026
2^1Delta	-37.357994214056
3^1Delta	-37.132649962125
4^1Delta	-36.993805828023
5^1Delta	-36.779731220680
6^1Delta	-36.373984621138
7^1Delta	-26.900842286434
8^1Delta	-26.718403060763
9^1Delta	-26.485061020516
10^1Delta	-26.470989870222
11^1Delta	-26.353785826508
12^1Delta	-26.196345136418
