Active electrons: 6
Active orbitals: 6
HF energy: -37.72690767884643
Energy minimum: -37.775517580932274

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 2.972899371903858
6^ 9^ 0 1 	| 0.6689604124987039
6^ 11^ 0 1 	| 0.3773543945261034
8^ 7^ 0 1 	| 0.32318313419483363
10^ 7^ 0 1 	| 0.25718145087737976
8^ 9^ 0 1 	| 8.133991974285111
8^ 11^ 0 1 	| 0.5886251341967945
10^ 9^ 0 1 	| 0.5798082831066589
10^ 11^ 0 1 	| 2.2671119535976394
6^ 8^ 0 2 	| 0.00040678793884282285
6^ 10^ 0 2 	| 8.618211940014473e-05
8^ 10^ 0 2 	| 1.4117288715961668e-05
6^ 7^ 0 3 	| 0.10908196344850736
6^ 9^ 0 3 	| 0.01319329495722329
6^ 11^ 0 3 	| 0.0005096202885081307
8^ 7^ 0 3 	| 0.012032180533298695
10^ 7^ 0 3 	| 0.0005610150590718266
8^ 9^ 0 3 	| 0.024189991788416028
8^ 11^ 0 3 	| -0.011080137064123766
10^ 9^ 0 3 	| -0.009439291906239568
10^ 11^ 0 3 	| -0.07749152055077724
6^ 8^ 0 4 	| -7.957344610248399e-05
6^ 10^ 0 4 	| -5.160067464559428e-05
8^ 10^ 0 4 	| -3.909482901022595e-06
6^ 7^ 0 5 	| 0.10268903000230926
6^ 9^ 0 5 	| -0.0015637389928239021
6^ 11^ 0 5 	| -0.002712177832435503
8^ 7^ 0 5 	| -0.0014792032563516158
10^ 7^ 0 5 	| -0.0026115800030098273
8^ 9^ 0 5 	| -0.011113761124057406
8^ 11^ 0 5 	| -0.007742399031696558
10^ 9^ 0 5 	| -0.00925598016184798
10^ 11^ 0 5 	| -0.05447957786011143
6^ 7^ 2 1 	| 0.14870180752486026
6^ 9^ 2 1 	| -0.004461159153819203
6^ 11^ 2 1 	| 0.001004956900164465
8^ 7^ 2 1 	| 0.002854310506505464
10^ 7^ 2 1 	| 0.0009306304536026673
8^ 9^ 2 1 	| -0.009607251299129977
8^ 11^ 2 1 	| -0.009730450858257949
10^ 9^ 2 1 	| -0.009778543395976731
10^ 11^ 2 1 	| -0.07117602416855141
7^ 9^ 1 3 	| 0.0004897373270443279
7^ 11^ 1 3 	| -8.761053137905622e-05
9^ 11^ 1 3 	| 6.183833375705463e-05
6^ 7^ 4 1 	| 0.08089869050873168
6^ 9^ 4 1 	| 0.001977562446042877
6^ 11^ 4 1 	| -0.0017472246131641405
8^ 7^ 4 1 	| 0.0029317112891196315
10^ 7^ 4 1 	| -0.0013748349664168438
8^ 9^ 4 1 	| -0.04287699056339042
8^ 11^ 4 1 	| -0.002437067543451698
10^ 9^ 4 1 	| -0.0024895018511859324
10^ 11^ 4 1 	| -0.018146054088229214
7^ 9^ 1 5 	| -0.00022663748364859385
7^ 11^ 1 5 	| -7.2036385643237e-05
9^ 11^ 1 5 	| -4.604083333462547e-05
6^ 7^ 2 3 	| -1.8831961648987776
6^ 9^ 2 3 	| -0.33514987746529806
6^ 11^ 2 3 	| -0.11128397657980402
8^ 7^ 2 3 	| -0.5946944264992754
10^ 7^ 2 3 	| -0.19554755295233833
8^ 9^ 2 3 	| 3.6502091159304646
8^ 11^ 2 3 	| -0.5922573047618465
10^ 9^ 2 3 	| -0.3702817942522204
10^ 11^ 2 3 	| 0.3913231722728922
6^ 8^ 2 4 	| -0.000779360771516835
6^ 10^ 2 4 	| 0.002164951986520696
8^ 10^ 2 4 	| -7.786022471277802e-05
6^ 7^ 2 5 	| -0.4381879687789381
6^ 9^ 2 5 	| -0.18119627486098283
6^ 11^ 2 5 	| -0.06347571046132341
8^ 7^ 2 5 	| -0.2234906956284361
10^ 7^ 2 5 	| -0.038867843812565694
8^ 9^ 2 5 	| -2.0957684527148346
8^ 11^ 2 5 	| 0.24852057481920567
10^ 9^ 2 5 	| 0.24569816551864257
10^ 11^ 2 5 	| 0.054785368226445856
6^ 7^ 4 3 	| 1.1711796753199935
6^ 9^ 4 3 	| -0.016204943472978312
6^ 11^ 4 3 	| -0.11667543770802288
8^ 7^ 4 3 	| -0.1668985513320225
10^ 7^ 4 3 	| -0.021188841426730526
8^ 9^ 4 3 	| -3.3840143503000197
8^ 11^ 4 3 	| 0.06514358670414194
10^ 9^ 4 3 	| 0.07470296399419184
10^ 11^ 4 3 	| -0.31142785652954685
7^ 9^ 3 5 	| -0.0018613560725617632
7^ 11^ 3 5 	| -0.00164647773387794
9^ 11^ 3 5 	| -0.00025639571952623246
6^ 7^ 4 5 	| -4.6768242668884685
6^ 9^ 4 5 	| 0.42069285648848936
6^ 11^ 4 5 	| 0.01876723969783281
8^ 7^ 4 5 	| 1.010329322978476
10^ 7^ 4 5 	| -0.007578080010345318
8^ 9^ 4 5 	| 2.847784289375166
8^ 11^ 4 5 	| -1.4831316588712307
10^ 9^ 4 5 	| -1.4685938113180217
10^ 11^ 4 5 	| 5.938985145092134
6^ 0 	| 2.3237193210813065
8^ 0 	| -3.143500711309802
10^ 0 	| 0.12578835308716577
7^ 1 	| 2.042834553496649
9^ 1 	| -3.1420730387308615
11^ 1 	| 0.1153453328416398
6^ 2 	| 2.870409736661193
8^ 2 	| 2.335574113140431
10^ 2 	| -0.010633966924442663
7^ 3 	| 3.156536637939882
9^ 3 	| 2.047077698390514
11^ 3 	| -0.02483419139609318
6^ 4 	| -1.1172889575675016
8^ 4 	| 0.12125316144949191
10^ 4 	| -0.11522518463657928
7^ 5 	| 0.8270357634928056
9^ 5 	| -0.08279395155493474
11^ 5 	| 0.07531843534778075
