R1/R2
Excitations | Coefficients
6^ 0	| -0.005170174135660776
8^ 0	| -0.020852086494170925
10^ 0	| -0.004639224577306588
7^ 1	| -0.0030964191063233603
9^ 1	| -0.0030703579656268156
11^ 1	| -0.0012285421704769962
6^ 2	| 0.006298699391336971
8^ 2	| -0.0030663456016845198
10^ 2	| 0.025261610758514182
7^ 3	| -0.0008164952307488857
9^ 3	| -0.004448350261575318
11^ 3	| -0.008983419542563511
6^ 4	| -0.003626454389598425
8^ 4	| 0.000434893758092137
10^ 4	| 0.013426905162116799
7^ 5	| 0.00019754536323582025
9^ 5	| -0.005047367998143074
11^ 5	| -0.0008600924574233317
6^ 0; 7^ 1	| 0.01748281379798995
6^ 0; 9^ 1	| 0.03832907879360213
6^ 0; 11^ 1	| 0.06604520084988827
8^ 0; 7^ 1	| 0.02094516835413901
8^ 0; 9^ 1	| -0.10817840725944532
8^ 0; 11^ 1	| -0.0346717133184603
10^ 0; 7^ 1	| 0.039539027482601116
10^ 0; 9^ 1	| -0.12481177998824153
10^ 0; 11^ 1	| -0.026461641641354557
6^ 0; 8^ 2	| -0.001869464207977586
6^ 0; 10^ 2	| -0.014745144571403352
8^ 0; 10^ 2	| 0.012221905772776608
6^ 0; 7^ 3	| 0.025658119922591892
6^ 0; 9^ 3	| 0.005254656497225119
6^ 0; 11^ 3	| -0.37685541927283434
8^ 0; 7^ 3	| -0.006875172163525963
8^ 0; 9^ 3	| -0.0013753490490929843
8^ 0; 11^ 3	| -0.6578759215029546
10^ 0; 7^ 3	| -0.21645160296702176
10^ 0; 9^ 3	| -0.0042209821319415496
10^ 0; 11^ 3	| -0.015369462219975776
6^ 0; 8^ 4	| -0.004038034522980934
6^ 0; 10^ 4	| 0.08787504454495229
8^ 0; 10^ 4	| 0.032375638521449174
6^ 0; 7^ 5	| 0.005186580348565401
6^ 0; 9^ 5	| 0.00274554867484182
6^ 0; 11^ 5	| -0.14953760270892866
8^ 0; 7^ 5	| 0.0006128916599349029
8^ 0; 9^ 5	| 0.004730423845505196
8^ 0; 11^ 5	| -0.1690068428932111
10^ 0; 7^ 5	| -0.07158450905515908
10^ 0; 9^ 5	| -0.0019959831248519536
10^ 0; 11^ 5	| 0.007551426389715807
7^ 1; 6^ 2	| -0.04572655535326937
7^ 1; 8^ 2	| 0.0039229145050184875
7^ 1; 10^ 2	| 0.012496277306531455
9^ 1; 6^ 2	| 0.014093181312017975
9^ 1; 8^ 2	| -0.006755550473821443
9^ 1; 10^ 2	| 0.02283027357354062
11^ 1; 6^ 2	| 0.009129748949383665
11^ 1; 8^ 2	| -0.0006951660364594002
11^ 1; 10^ 2	| -0.007859636157355852
7^ 1; 9^ 3	| -0.012586710642449251
7^ 1; 11^ 3	| -0.027607728023162928
9^ 1; 11^ 3	| 0.002326964175210009
7^ 1; 6^ 4	| 0.0006709293147465508
7^ 1; 8^ 4	| 0.0005663830570653566
7^ 1; 10^ 4	| -0.0030812958582148325
9^ 1; 6^ 4	| 0.0011081718980181564
9^ 1; 8^ 4	| -0.007001302063912744
9^ 1; 10^ 4	| -0.027357000511922747
11^ 1; 6^ 4	| -0.047445730545459676
11^ 1; 8^ 4	| 0.007021911078906264
11^ 1; 10^ 4	| 0.01645672468758287
7^ 1; 9^ 5	| 0.010483621122501022
7^ 1; 11^ 5	| 0.03867751027184375
9^ 1; 11^ 5	| -0.04987975332527361
6^ 2; 7^ 3	| 0.023089189329583103
6^ 2; 9^ 3	| 0.015787894045207748
6^ 2; 11^ 3	| 0.026552174093686154
8^ 2; 7^ 3	| 0.004571801957900097
8^ 2; 9^ 3	| -0.008913956680433578
8^ 2; 11^ 3	| 0.010392071958459037
10^ 2; 7^ 3	| -0.06290288734886329
10^ 2; 9^ 3	| -0.0542721308615718
10^ 2; 11^ 3	| 0.046428986342208226
6^ 2; 8^ 4	| -0.009396104831607249
6^ 2; 10^ 4	| -0.007912151119945072
8^ 2; 10^ 4	| 0.03062296411159868
6^ 2; 7^ 5	| 0.0011431687515999164
6^ 2; 9^ 5	| -0.02206328253791128
6^ 2; 11^ 5	| 0.026335946795017738
8^ 2; 7^ 5	| -0.0017860133441750948
8^ 2; 9^ 5	| 0.001205705519905652
8^ 2; 11^ 5	| -0.004705541031072731
10^ 2; 7^ 5	| 0.007867635763848182
10^ 2; 9^ 5	| -0.07046310570131001
10^ 2; 11^ 5	| 0.009911416871679592
7^ 3; 6^ 4	| -0.0008079508268324942
7^ 3; 8^ 4	| 0.0038362770954389093
7^ 3; 10^ 4	| 0.01730171829444128
9^ 3; 6^ 4	| 0.01833597023619324
9^ 3; 8^ 4	| 0.0005231429133493763
9^ 3; 10^ 4	| -0.015421058416478409
11^ 3; 6^ 4	| -0.0032637070003014414
11^ 3; 8^ 4	| -0.0014360451403904928
11^ 3; 10^ 4	| 0.0013861812093681652
7^ 3; 9^ 5	| -0.002148036974222246
7^ 3; 11^ 5	| 0.00204634238132141
9^ 3; 11^ 5	| -0.06000588203532523
6^ 4; 7^ 5	| 0.0122959474441943
6^ 4; 9^ 5	| 0.020578348357832017
6^ 4; 11^ 5	| 0.45360142309597684
8^ 4; 7^ 5	| -0.006428071146536516
8^ 4; 9^ 5	| -0.0008549256655104763
8^ 4; 11^ 5	| -0.00035862559089024776
10^ 4; 7^ 5	| 0.008699533244288772
10^ 4; 9^ 5	| 0.02782911359631835
10^ 4; 11^ 5	| 0.17803729411434185
