Active electrons: 6
Active orbitals: 6
HF energy: -37.72690767890864
Energy minimum: -37.449806368054226

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -4.045846092360312
6^ 9^ 0 1 	| 0.004350757767569876
6^ 11^ 0 1 	| -0.0784948853550586
8^ 7^ 0 1 	| 3.145536432283908
10^ 7^ 0 1 	| -0.009190412500413374
8^ 9^ 0 1 	| -0.20674197952183618
8^ 11^ 0 1 	| 0.007350793455036736
10^ 9^ 0 1 	| -0.00045985594462305535
10^ 11^ 0 1 	| -0.15997793675135802
6^ 8^ 0 2 	| -0.9577692432718776
6^ 10^ 0 2 	| -0.0019916967484803635
8^ 10^ 0 2 	| -0.002585974845127236
6^ 7^ 0 3 	| -0.04159768289278253
6^ 9^ 0 3 	| -0.03667666735665346
6^ 11^ 0 3 	| -0.0022266685232949584
8^ 7^ 0 3 	| 1.0138520085992955
10^ 7^ 0 3 	| -0.008018884335971081
8^ 9^ 0 3 	| -0.14323229500743762
8^ 11^ 0 3 	| 0.007682093326375024
10^ 9^ 0 3 	| -0.0008936132403720013
10^ 11^ 0 3 	| -0.10454385130501395
6^ 8^ 0 4 	| 0.309863581015523
6^ 10^ 0 4 	| -0.0013119301683573346
8^ 10^ 0 4 	| 0.0019359240944249857
6^ 7^ 0 5 	| -0.024965583368351696
6^ 9^ 0 5 	| 0.001683501919900833
6^ 11^ 0 5 	| 0.004518446315246017
8^ 7^ 0 5 	| -0.18422804192557554
10^ 7^ 0 5 	| 0.009200467627496902
8^ 9^ 0 5 	| -0.022121101439511626
8^ 11^ 0 5 	| 0.006396756662623847
10^ 9^ 0 5 	| 0.0009515650977312376
10^ 11^ 0 5 	| 0.021848138081893245
6^ 7^ 2 1 	| 0.09497761837295948
6^ 9^ 2 1 	| -2.029785954722863
6^ 11^ 2 1 	| -0.010145992709552173
8^ 7^ 2 1 	| 0.004249316963559273
10^ 7^ 2 1 	| 0.0008253923996327965
8^ 9^ 2 1 	| 1.1808849986910972
8^ 11^ 2 1 	| -0.005163189945549962
10^ 9^ 2 1 	| 0.005289584944706461
10^ 11^ 2 1 	| -0.03948755626454435
7^ 9^ 1 3 	| 2.130297228529563
7^ 11^ 1 3 	| 0.0030841925786640276
9^ 11^ 1 3 	| -0.0014464062777662283
6^ 7^ 4 1 	| -0.012629151126111843
6^ 9^ 4 1 	| -2.150637285059163
6^ 11^ 4 1 	| 0.014197400208343567
8^ 7^ 4 1 	| -0.013013209038353159
10^ 7^ 4 1 	| 0.00031777277834892814
8^ 9^ 4 1 	| 0.14943400654412806
8^ 11^ 4 1 	| 0.016053889717206584
10^ 9^ 4 1 	| -0.005881646960120847
10^ 11^ 4 1 	| 0.028207503012954268
7^ 9^ 1 5 	| 1.5598990996781061
7^ 11^ 1 5 	| -0.0006385559936765731
9^ 11^ 1 5 	| 0.0004135176983439606
6^ 7^ 2 3 	| -0.8942926596607077
6^ 9^ 2 3 	| 3.168183344337204
6^ 11^ 2 3 	| -0.012345843418015123
8^ 7^ 2 3 	| -0.03068868912449426
10^ 7^ 2 3 	| -0.06787955958007126
8^ 9^ 2 3 	| -2.656791113019564
8^ 11^ 2 3 	| 0.551700064887546
10^ 9^ 2 3 	| -0.5552773655706332
10^ 11^ 2 3 	| 1.6094552676675509
6^ 8^ 2 4 	| -0.03463138675925015
6^ 10^ 2 4 	| -5.876863595623069e-05
8^ 10^ 2 4 	| -0.002099010266043169
6^ 7^ 2 5 	| 0.18992350220954618
6^ 9^ 2 5 	| 3.011078212312124
6^ 11^ 2 5 	| -0.004726699160659068
8^ 7^ 2 5 	| -0.9105862850944827
10^ 7^ 2 5 	| 0.016332684514708023
8^ 9^ 2 5 	| -0.10408021752979708
8^ 11^ 2 5 	| -0.06880510004123093
10^ 9^ 2 5 	| 0.07967635641097763
10^ 11^ 2 5 	| 0.08189624014217042
6^ 7^ 4 3 	| -0.20518728755172258
6^ 9^ 4 3 	| -1.2042323816562426
6^ 11^ 4 3 	| -0.002999204476158333
8^ 7^ 4 3 	| -0.7072930166175211
10^ 7^ 4 3 	| 0.050671546524860035
8^ 9^ 4 3 	| -2.5983889827626396
8^ 11^ 4 3 	| -0.05069520564692493
10^ 9^ 4 3 	| 0.10601066694302319
10^ 11^ 4 3 	| -0.0002869468785346927
7^ 9^ 3 5 	| 0.16401707829543744
7^ 11^ 3 5 	| -0.0024616943323769428
9^ 11^ 3 5 	| 0.0009298171696448047
6^ 7^ 4 5 	| -0.13006674732018902
6^ 9^ 4 5 	| 0.06951184934873722
6^ 11^ 4 5 	| -0.0054891878651143885
8^ 7^ 4 5 	| -1.567208670222749
10^ 7^ 4 5 	| 0.1497377327422959
8^ 9^ 4 5 	| 3.212302881043122
8^ 11^ 4 5 	| 0.048484543158022954
10^ 9^ 4 5 	| -0.21906634599647784
10^ 11^ 4 5 	| 2.1142286564364405
6^ 0 	| -3.167606109215057
8^ 0 	| -3.8227336761712003
10^ 0 	| -0.006117046909298984
7^ 1 	| -3.149194453230432
9^ 1 	| -2.889872101168776
11^ 1 	| 0.013227263239895426
6^ 2 	| 0.04321078878615253
8^ 2 	| 3.1539624754735582
10^ 2 	| -0.0006474090985238859
7^ 3 	| 0.31861376358126586
9^ 3 	| -3.16033768329644
11^ 3 	| -0.006229284912544512
6^ 4 	| -0.905804248207838
8^ 4 	| 0.3827230116750211
10^ 4 	| 0.017408021212167123
7^ 5 	| 1.170157618776851
9^ 5 	| 0.16363885979329973
11^ 5 	| -0.0007651672925436936
