R1/R2
Excitations | Coefficients
6^ 0	| (-3.5251612578269985e-10+0j)
8^ 0	| (-3.8587134579570776e-10+0j)
10^ 0	| (-0.0008973878679462361+0j)
7^ 1	| (3.512731999186431e-10+0j)
9^ 1	| (5.122269959579174e-10+0j)
11^ 1	| (0.0008695024608419919+0j)
6^ 2	| (3.7228726344298875e-09+0j)
8^ 2	| (3.920636686773474e-08+0j)
10^ 2	| (0.6207938473958421+0j)
7^ 3	| (6.8546726344828534e-09+0j)
9^ 3	| (-3.45633886808635e-08+0j)
11^ 3	| (-0.608032253977016+0j)
6^ 4	| (3.7198998985799246e-10+0j)
8^ 4	| (3.3133999482771103e-09+0j)
10^ 4	| (0.182231530291037+0j)
7^ 5	| (3.51795311631764e-09+0j)
9^ 5	| (-3.333152100095905e-09+0j)
11^ 5	| (-0.18908766947642316+0j)
6^ 0; 7^ 1	| (3.867390322161085e-05+0j)
6^ 0; 9^ 1	| (-3.232835502359899e-11+0j)
6^ 0; 11^ 1	| (-4.193352781619859e-11+0j)
8^ 0; 7^ 1	| (-3.334003146359033e-11+0j)
8^ 0; 9^ 1	| (3.7391643233334227e-05+0j)
8^ 0; 11^ 1	| (2.0616822865702303e-12+0j)
10^ 0; 7^ 1	| (-2.756556537305074e-11+0j)
10^ 0; 9^ 1	| (-5.977246641817842e-11+0j)
10^ 0; 11^ 1	| (0.0007509163367579135+0j)
6^ 0; 8^ 2	| (-1.6501051334649297e-10+0j)
6^ 0; 10^ 2	| (2.3590006858022e-09+0j)
8^ 0; 10^ 2	| (2.141260720776799e-09+0j)
6^ 0; 7^ 3	| (-2.5419249293681782e-05+0j)
6^ 0; 9^ 3	| (1.17853092975979e-10+0j)
6^ 0; 11^ 3	| (-2.345578302960582e-09+0j)
8^ 0; 7^ 3	| (1.082522865176991e-10+0j)
8^ 0; 9^ 3	| (-2.638179705525662e-05+0j)
8^ 0; 11^ 3	| (-2.2850128748247525e-09+0j)
10^ 0; 7^ 3	| (2.099203249265931e-11+0j)
10^ 0; 9^ 3	| (3.4024640757938324e-11+0j)
10^ 0; 11^ 3	| (0.00031566991926004425+0j)
6^ 0; 8^ 4	| (5.751495345026913e-11+0j)
6^ 0; 10^ 4	| (7.656621460770713e-10+0j)
8^ 0; 10^ 4	| (7.488079876427437e-10+0j)
6^ 0; 7^ 5	| (0.00011160253759873404+0j)
6^ 0; 9^ 5	| (-7.007317660752154e-11+0j)
6^ 0; 11^ 5	| (-7.455949919908507e-10+0j)
8^ 0; 7^ 5	| (-7.528505822475937e-11+0j)
8^ 0; 9^ 5	| (0.00011306941961580377+0j)
8^ 0; 11^ 5	| (-7.748753792356522e-10+0j)
10^ 0; 7^ 5	| (-4.948765415788008e-11+0j)
10^ 0; 9^ 5	| (-5.848462085602728e-11+0j)
10^ 0; 11^ 5	| (-0.0005483657838790858+0j)
7^ 1; 6^ 2	| (1.5788807049409142e-05+0j)
7^ 1; 8^ 2	| (1.714971501650917e-10+0j)
7^ 1; 10^ 2	| (-2.2001260943290784e-09+0j)
9^ 1; 6^ 2	| (1.8249967063016942e-10+0j)
9^ 1; 8^ 2	| (1.581476312189546e-05+0j)
9^ 1; 10^ 2	| (-2.181632432065168e-09+0j)
11^ 1; 6^ 2	| (-8.153920913795333e-12+0j)
11^ 1; 8^ 2	| (7.382454883485703e-11+0j)
11^ 1; 10^ 2	| (-0.0003182056451698876+0j)
7^ 1; 9^ 3	| (-1.1935342102150733e-10+0j)
7^ 1; 11^ 3	| (2.213264678585404e-09+0j)
9^ 1; 11^ 3	| (2.2543934029196377e-09+0j)
7^ 1; 6^ 4	| (-0.0001385296465937159+0j)
