Active electrons: 6
Active orbitals: 6
HF energy: -37.804124528582946
UCCSD energy: -37.867195274577725

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -0.00039663471062803166
6^ 9^ 0 1 	| -3.467523190335114e-09
6^ 11^ 0 1 	| -3.4479595256996327e-09
8^ 7^ 0 1 	| 3.432452335777042e-09
10^ 7^ 0 1 	| 3.447635270008744e-09
8^ 9^ 0 1 	| -0.0004169384595685775
8^ 11^ 0 1 	| -3.5021576254759133e-09
10^ 9^ 0 1 	| 3.523557109602048e-09
10^ 11^ 0 1 	| -0.00036747619376781315
6^ 8^ 0 2 	| -3.4739775878011573e-09
6^ 10^ 0 2 	| -3.53149277919854e-09
8^ 10^ 0 2 	| -3.3995301578249902e-09
6^ 7^ 0 3 	| -0.0015230272258831715
6^ 9^ 0 3 	| 4.928532250181048e-12
6^ 11^ 0 3 	| -3.280580341344851e-09
8^ 7^ 0 3 	| 3.5136055306608474e-09
10^ 7^ 0 3 	| 3.556765417192707e-09
8^ 9^ 0 3 	| -0.0015368695402208927
8^ 11^ 0 3 	| -3.575851989218762e-09
10^ 9^ 0 3 	| 3.58401493136543e-09
10^ 11^ 0 3 	| -0.0005660103561352101
6^ 8^ 0 4 	| -3.4930051779640047e-09
6^ 10^ 0 4 	| -3.2347454156093287e-09
8^ 10^ 0 4 	| -3.3042331427404413e-09
6^ 7^ 0 5 	| 0.00027005770176515866
6^ 9^ 0 5 	| -3.432972919295932e-09
6^ 11^ 0 5 	| -3.3764634795777958e-09
8^ 7^ 0 5 	| 3.492268074526516e-09
10^ 7^ 0 5 	| 3.4973114913408263e-09
8^ 9^ 0 5 	| 0.0002816420842283993
8^ 11^ 0 5 	| -2.4129404387886577e-11
10^ 9^ 0 5 	| 3.5255646339252856e-09
10^ 11^ 0 5 	| 1.7794367009416414e-05
6^ 7^ 2 1 	| -0.0015065437492975309
6^ 9^ 2 1 	| 2.3641073277121678e-11
6^ 11^ 2 1 	| 3.365098863498761e-09
8^ 7^ 2 1 	| -3.372800956704746e-09
10^ 7^ 2 1 	| -3.4019311866562107e-09
8^ 9^ 2 1 	| -0.0015214079683468513
8^ 11^ 2 1 	| 3.4350048973128944e-09
10^ 9^ 2 1 	| -3.3691661257941946e-09
10^ 11^ 2 1 	| -0.0005755807022532378
7^ 9^ 1 3 	| -3.453160451177534e-09
7^ 11^ 1 3 	| -3.386893674928379e-09
9^ 11^ 1 3 	| -3.4558108665185492e-09
6^ 7^ 4 1 	| 0.0002913074074420316
6^ 9^ 4 1 	| 3.487567316182196e-09
6^ 11^ 4 1 	| -5.983374806357991e-12
8^ 7^ 4 1 	| -3.543530665736329e-09
10^ 7^ 4 1 	| -3.3004416968695477e-09
8^ 9^ 4 1 	| 0.0003019711944627199
8^ 11^ 4 1 	| 3.5166921837438703e-09
10^ 9^ 4 1 	| -3.3757514096689e-09
10^ 11^ 4 1 	| 4.39791302385012e-05
7^ 9^ 1 5 	| -3.4753342611415032e-09
7^ 11^ 1 5 	| -3.3694776065868916e-09
9^ 11^ 1 5 	| -3.3988062119597473e-09
6^ 7^ 2 3 	| -0.11210021365933723
6^ 9^ 2 3 	| -3.134876652117869e-09
6^ 11^ 2 3 	| -1.2123656568507707e-09
8^ 7^ 2 3 	| 2.9276205320760334e-09
10^ 7^ 2 3 	| 1.0745736275332195e-08
8^ 9^ 2 3 	| -0.11225897105637037
8^ 11^ 2 3 	| -2.9010468328162123e-09
10^ 9^ 2 3 	| 4.6193075406699445e-08
10^ 11^ 2 3 	| -0.030110433646698565
6^ 8^ 2 4 	| -2.7751577101724346e-09
6^ 10^ 2 4 	| 6.984341999440875e-08
8^ 10^ 2 4 	| -7.32282906923527e-09
6^ 7^ 2 5 	| 0.04186462273528554
6^ 9^ 2 5 	| -2.8150400672149734e-09
6^ 11^ 2 5 	| 3.498812838112193e-08
8^ 7^ 2 5 	| 2.8547740899535467e-09
10^ 7^ 2 5 	| 4.64993361484021e-09
8^ 9^ 2 5 	| 0.04237378591401379
8^ 11^ 2 5 	| 3.783933998475008e-09
10^ 9^ 2 5 	| -5.980460667806708e-08
10^ 11^ 2 5 	| -0.04993105043320231
6^ 7^ 4 3 	| 0.044005907698678605
6^ 9^ 4 3 	| 2.9804014306943264e-09
6^ 11^ 4 3 	| 4.3034904142703926e-08
8^ 7^ 4 3 	| -3.0837971768182997e-09
10^ 7^ 4 3 	| -1.2969809883218142e-08
8^ 9^ 4 3 	| 0.04353826745476593
8^ 11^ 4 3 	| -3.3300514540898556e-11
10^ 9^ 4 3 	| -2.1483968740378835e-09
10^ 11^ 4 3 	| -0.05127247172311485
7^ 9^ 3 5 	| -8.729254321759391e-10
