R1/R2
Excitations | Coefficients
6^ 0	| 2.0702696782798288e-11
8^ 0	| -0.000245316823897181
10^ 0	| -1.0043883948041262e-14
7^ 1	| 2.0665304312000554e-11
9^ 1	| -0.0002452518054623391
11^ 1	| -3.374723152575664e-14
6^ 2	| -7.052361403962639e-09
8^ 2	| 0.08357279059790042
10^ 2	| -8.184598178814731e-13
7^ 3	| -7.051597359856506e-09
9^ 3	| 0.08356091810190679
11^ 3	| -1.0289071283269562e-12
6^ 4	| 5.851468994384165e-08
8^ 4	| -0.6933625805053117
10^ 4	| -2.2055593751235773e-12
7^ 5	| 5.8509880725504955e-08
9^ 5	| -0.6932891683475899
11^ 5	| -1.4789262522269026e-12
6^ 0; 7^ 1	| -1.0808332048169189e-14
6^ 0; 9^ 1	| 1.323755947664462e-15
6^ 0; 11^ 1	| 1.4307243123324013e-11
8^ 0; 7^ 1	| 3.0490344983904876e-16
8^ 0; 9^ 1	| -7.170493303107133e-15
8^ 0; 11^ 1	| -0.0001696319376425569
10^ 0; 7^ 1	| 1.431904303032972e-11
10^ 0; 9^ 1	| -0.00016962869701144824
10^ 0; 11^ 1	| -1.3453638655273026e-14
6^ 0; 8^ 2	| -2.4368619718084485e-14
6^ 0; 10^ 2	| -6.460057439614362e-12
8^ 0; 10^ 2	| 7.626122225997873e-05
6^ 0; 7^ 3	| -5.372470719834277e-14
6^ 0; 9^ 3	| -3.392473457227806e-14
6^ 0; 11^ 3	| 5.939718480317175e-11
8^ 0; 7^ 3	| -2.141272904893155e-14
8^ 0; 9^ 3	| 2.6026057275569856e-15
8^ 0; 11^ 3	| -0.0007041680920078854
10^ 0; 7^ 3	| 7.2781393928113e-11
10^ 0; 9^ 3	| -0.0008626568393420578
10^ 0; 11^ 3	| -2.6649803737785976e-14
6^ 0; 8^ 4	| -3.264391745403751e-14
6^ 0; 10^ 4	| 1.4006109728770006e-12
8^ 0; 10^ 4	| -1.6744228404655467e-05
6^ 0; 7^ 5	| -2.3347810951851798e-14
6^ 0; 9^ 5	| -1.2340137115026674e-14
6^ 0; 11^ 5	| 5.049013074391362e-12
8^ 0; 7^ 5	| -5.889556268755415e-14
8^ 0; 9^ 5	| -1.57696865195956e-14
8^ 0; 11^ 5	| -5.988589522813861e-05
10^ 0; 7^ 5	| -3.6644589292987207e-11
10^ 0; 9^ 5	| 0.0004338647144787742
10^ 0; 11^ 5	| -3.38328572241681e-14
7^ 1; 6^ 2	| -3.8239846821988746e-14
7^ 1; 8^ 2	| -1.9356302128167972e-14
7^ 1; 10^ 2	| -5.944070101605622e-11
9^ 1; 6^ 2	| -3.130340456117447e-14
9^ 1; 8^ 2	| -2.0875787691710725e-14
9^ 1; 10^ 2	| 0.0007040711523250387
11^ 1; 6^ 2	| -7.284849728980949e-11
11^ 1; 8^ 2	| 0.0008627313341919214
11^ 1; 10^ 2	| -1.2881210115337123e-14
7^ 1; 9^ 3	| -2.2280484725305123e-14
7^ 1; 11^ 3	| 6.419626920128363e-12
9^ 1; 11^ 3	| -7.626100641661921e-05
7^ 1; 6^ 4	| -5.915916806249031e-14
7^ 1; 8^ 4	| -1.2993505448412037e-14
7^ 1; 10^ 4	| -5.049228555540508e-12
9^ 1; 6^ 4	| -8.15935146714442e-15
9^ 1; 8^ 4	| -1.775012270233428e-14
9^ 1; 10^ 4	| 5.9816679140757735e-05
11^ 1; 6^ 4	| 3.660387276102762e-11
11^ 1; 8^ 4	| -0.00043390420449883186
11^ 1; 10^ 4	| -2.070352908804409e-14
7^ 1; 9^ 5	| -4.0084842039653864e-14
7^ 1; 11^ 5	| -1.4253447311374085e-12
9^ 1; 11^ 5	| 1.6823634973950052e-05
6^ 2; 7^ 3	| -5.283791689062278e-13
6^ 2; 9^ 3	| -1.1882953727147623e-13
6^ 2; 11^ 3	| 1.7307115309310928e-09
8^ 2; 7^ 3	| -4.242135843728507e-13
8^ 2; 9^ 3	| -6.597000905337564e-13
8^ 2; 11^ 3	| -0.020515490711159833
10^ 2; 7^ 3	| 1.7304481173758928e-09
10^ 2; 9^ 3	| -0.02050836427634307
10^ 2; 11^ 3	| -5.3196569184748323e-14
6^ 2; 8^ 4	| -1.5551632898743501e-12
6^ 2; 10^ 4	| 2.355721700148076e-09
8^ 2; 10^ 4	| -0.0279189133304746
6^ 2; 7^ 5	| -1.0366063312295231e-12
6^ 2; 9^ 5	| -9.446086868012994e-13
6^ 2; 11^ 5	| -3.5977282662732673e-09
8^ 2; 7^ 5	| -1.1727099147794027e-12
8^ 2; 9^ 5	| -1.4098998544211818e-12
8^ 2; 11^ 5	| 0.04260814068571607
10^ 2; 7^ 5	| -6.39238437829649e-09
10^ 2; 9^ 5	| 0.0757446322727714
10^ 2; 11^ 5	| -2.208978324523624e-13
7^ 3; 6^ 4	| -1.7726257216263645e-12
7^ 3; 8^ 4	| -1.3879424757513198e-12
7^ 3; 10^ 4	| 3.582879980466898e-09
9^ 3; 6^ 4	| -1.903370869386125e-12
9^ 3; 8^ 4	| -1.3763015029398554e-12
9^ 3; 10^ 4	| -0.04246272593389762
11^ 3; 6^ 4	| 6.3843269479235495e-09
11^ 3; 8^ 4	| -0.07567541281267137
11^ 3; 10^ 4	| -1.5526403528093694e-13
7^ 3; 9^ 5	| -1.029291014561587e-12
7^ 3; 11^ 5	| -2.356570128822782e-09
9^ 3; 11^ 5	| 0.02791151155850949
6^ 4; 7^ 5	| -2.2805265370300574e-12
6^ 4; 9^ 5	| -3.884470321271903e-12
6^ 4; 11^ 5	| -5.045672905075782e-09
8^ 4; 7^ 5	| -2.9012800616393444e-12
8^ 4; 9^ 5	| -2.3075701298914007e-13
8^ 4; 11^ 5	| 0.05978137124036141
10^ 4; 7^ 5	| -5.045339916687208e-09
10^ 4; 9^ 5	| 0.059767932583696226
10^ 4; 11^ 5	| -1.0066817713628995e-12
