Active electrons: 6
Active orbitals: 6
HF energy: -37.804124528582946
UCCSD energy: -37.8673315950782

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.0008511231840685195
6^ 9^ 0 1 	| -8.994517155314255e-19
6^ 11^ 0 1 	| -1.398427781631938e-18
8^ 7^ 0 1 	| -1.4652578295341047e-18
10^ 7^ 0 1 	| 5.331442893705094e-19
8^ 9^ 0 1 	| 0.0008350043896874917
8^ 11^ 0 1 	| 1.0561003919490006e-18
10^ 9^ 0 1 	| -1.1368357569239214e-19
10^ 11^ 0 1 	| 0.0007152071842619423
6^ 8^ 0 2 	| -2.555429033261088e-19
6^ 10^ 0 2 	| 7.760673769650324e-19
8^ 10^ 0 2 	| -1.3337570653894835e-18
6^ 7^ 0 3 	| 0.0030977825655245914
6^ 9^ 0 3 	| -5.175857124669729e-19
6^ 11^ 0 3 	| 6.114725683996297e-19
8^ 7^ 0 3 	| -3.621892894944634e-19
10^ 7^ 0 3 	| -5.15672566750525e-19
8^ 9^ 0 3 	| 0.0030837207743348353
8^ 11^ 0 3 	| 4.750877144893665e-19
10^ 9^ 0 3 	| -1.018108539820336e-18
10^ 11^ 0 3 	| 0.001060635670313512
6^ 8^ 0 4 	| -6.536656594045708e-19
6^ 10^ 0 4 	| 1.3033697125740444e-18
8^ 10^ 0 4 	| -8.880953273553436e-19
6^ 7^ 0 5 	| -0.0006269572759052668
6^ 9^ 0 5 	| -3.527900613658068e-19
6^ 11^ 0 5 	| 2.235534439377444e-18
8^ 7^ 0 5 	| -2.0723029088772673e-19
10^ 7^ 0 5 	| 4.209939554355936e-19
8^ 9^ 0 5 	| -0.0006177731518242781
8^ 11^ 0 5 	| -8.303765825605628e-19
10^ 9^ 0 5 	| 1.8200375846094196e-19
10^ 11^ 0 5 	| -1.9182801526375267e-05
6^ 7^ 2 1 	| 0.00309777505446475
6^ 9^ 2 1 	| -2.5526193475263917e-19
6^ 11^ 2 1 	| 1.2192594263731541e-18
8^ 7^ 2 1 	| -4.17655028894709e-18
10^ 7^ 2 1 	| 1.1410333158028292e-18
8^ 9^ 2 1 	| 0.0030837515953753693
8^ 11^ 2 1 	| 1.203298985130718e-18
10^ 9^ 2 1 	| 1.0314285266927748e-18
10^ 11^ 2 1 	| 0.001060653661856457
7^ 9^ 1 3 	| 1.1643456429171746e-19
7^ 11^ 1 3 	| -5.187980400570975e-19
9^ 11^ 1 3 	| 1.4228616232539548e-18
6^ 7^ 4 1 	| -0.0006268698083385581
6^ 9^ 4 1 	| 5.939370636663188e-19
6^ 11^ 4 1 	| 2.4870286145486538e-20
8^ 7^ 4 1 	| -4.1362546636987525e-19
10^ 7^ 4 1 	| -2.335489165368321e-19
8^ 9^ 4 1 	| -0.000617687220175333
8^ 11^ 4 1 	| -4.0877659628161306e-19
10^ 9^ 4 1 	| 1.097626373533437e-18
10^ 11^ 4 1 	| -1.909127422048189e-05
7^ 9^ 1 5 	| -1.4432763522267821e-19
7^ 11^ 1 5 	| -8.298334693752356e-19
9^ 11^ 1 5 	| 1.9132600405448015e-18
6^ 7^ 2 3 	| 0.2281184933415705
6^ 9^ 2 3 	| 5.862528175820638e-16
6^ 11^ 2 3 	| -2.0812851784366579e-16
8^ 7^ 2 3 	| 4.910476746325071e-16
10^ 7^ 2 3 	| -4.504903294655543e-17
8^ 9^ 2 3 	| 0.2289804053410016
8^ 11^ 2 3 	| -1.840077134427647e-16
10^ 9^ 2 3 	| 3.3559424342774866e-16
10^ 11^ 2 3 	| 0.05705206455519441
6^ 8^ 2 4 	| -8.386737299194157e-17
6^ 10^ 2 4 	| -2.456826623496839e-18
8^ 10^ 2 4 	| 1.361615313107942e-17
6^ 7^ 2 5 	| -0.08451921224762204
6^ 9^ 2 5 	| 1.0947380098126316e-16
6^ 11^ 2 5 	| 9.250219514233427e-17
8^ 7^ 2 5 	| -3.1822055884184076e-17
10^ 7^ 2 5 	| -1.446684650496789e-16
8^ 9^ 2 5 	| -0.08444702626154582
8^ 11^ 2 5 	| -1.7712886488508773e-16
10^ 9^ 2 5 	| -1.1996261718887216e-17
10^ 11^ 2 5 	| 0.10159195715035353
6^ 7^ 4 3 	| -0.08422464536214846
6^ 9^ 4 3 	| -2.809349070046075e-16
6^ 11^ 4 3 	| -7.096884462424073e-17
8^ 7^ 4 3 	| 1.3987644573281763e-16
10^ 7^ 4 3 	| -8.023610699157428e-18
8^ 9^ 4 3 	| -0.08430180604770494
8^ 11^ 4 3 	| -2.03223066999258e-17
10^ 9^ 4 3 	| 3.4875978616132833e-17
10^ 11^ 4 3 	| 0.10172322418882378
7^ 9^ 3 5 	| -1.3196513709673513e-17
7^ 11^ 3 5 	| -6.467768784487846e-18
9^ 11^ 3 5 	| 8.08657487875324e-18
6^ 7^ 4 5 	| 0.10511638031872045
6^ 9^ 4 5 	| -2.424939342465589e-17
6^ 11^ 4 5 	| 2.2384141604345398e-17
8^ 7^ 4 5 	| -1.382719528448191e-16
10^ 7^ 4 5 	| 1.0297911450108566e-17
8^ 9^ 4 5 	| 0.10525735131815717
8^ 11^ 4 5 	| -9.851505905806922e-18
10^ 9^ 4 5 	| -3.9859883359645134e-17
10^ 11^ 4 5 	| 0.42368942309442376
6^ 0 	| -1.1576283109449744e-16
8^ 0 	| -5.406136661625117e-17
10^ 0 	| 0.00023000658708157668
7^ 1 	| 5.686122695469396e-17
9^ 1 	| -3.1963271732948e-16
11^ 1 	| 0.00023000643413762786
6^ 2 	| -7.504481619021681e-17
8^ 2 	| -8.028847268162699e-17
10^ 2 	| -0.0253221068234149
7^ 3 	| -2.7600290148512508e-17
9^ 3 	| -5.5377454000124524e-17
11^ 3 	| -0.02532227687617624
6^ 4 	| -1.2329474007923811e-17
8^ 4 	| -1.3828794180162129e-17
10^ 4 	| 0.08666382747413429
7^ 5 	| -9.463731856701225e-18
9^ 5 	| 7.155717436494931e-17
11^ 5 	| 0.08666355623030456
