Active electrons: 6
Active orbitals: 6
HF energy: -37.72690767884649
UCCSD energy: -37.820550445048084
Point group: C2v
HF irrep: A1
Target irreps: A1
Symmetry-allowed excitations: singles=6, doubles=27

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.0004077500935618112
8^ 9^ 0 1 	| 0.0008407783041744373
10^ 11^ 0 1 	| 0.0008263549002393275
6^ 7^ 0 3 	| 0.0008820041124203719
8^ 9^ 0 3 	| 0.0032149801121009354
10^ 11^ 0 3 	| 0.00321132717615737
6^ 7^ 0 5 	| 0.0002871752108970646
8^ 9^ 0 5 	| -0.0003419469072734767
10^ 11^ 0 5 	| -0.0003365395513952676
6^ 7^ 2 1 	| 0.0008819997960367656
8^ 9^ 2 1 	| 0.0032149759557817056
10^ 11^ 2 1 	| 0.0032113318903219407
6^ 7^ 4 1 	| 0.0002871716739525993
8^ 9^ 4 1 	| -0.0003419467784829531
10^ 11^ 4 1 	| -0.0003365408955819776
6^ 7^ 2 3 	| 0.035560926545983605
8^ 9^ 2 3 	| 0.25006730554569445
10^ 11^ 2 3 	| 0.2518772416193205
6^ 7^ 2 5 	| 0.080998784514198
8^ 9^ 2 5 	| -0.043600097531920914
10^ 11^ 2 5 	| -0.043602532192586585
6^ 7^ 4 3 	| 0.08098831940312748
8^ 9^ 4 3 	| -0.04358995534558621
10^ 11^ 4 3 	| -0.0436129165753062
6^ 7^ 4 5 	| 0.8100812536302143
8^ 9^ 4 5 	| 0.06319069138800576
10^ 11^ 4 5 	| 0.06317338994126866
6^ 0 	| 0.0002658880329714625
7^ 1 	| 0.0002658878962238549
6^ 2 	| -0.03326780679246153
7^ 3 	| -0.03326780372838755
6^ 4 	| 0.22917169389550363
7^ 5 	| 0.22917145301543285
