R1/R2
Excitations | Coefficients
6^ 0	| (0.0005262518301740312+0j)
8^ 0	| (7.679409035760143e-10+0j)
10^ 0	| (-7.091341766677806e-10+0j)
7^ 1	| (0.0005262522938467839+0j)
9^ 1	| (1.1613172357496482e-09+0j)
11^ 1	| (7.822793920983993e-11+0j)
6^ 2	| (-0.320039524683748+0j)
8^ 2	| (-9.790261977132779e-07+0j)
10^ 2	| (2.688422889864273e-07+0j)
7^ 3	| (-0.32003945743495305+0j)
9^ 3	| (-1.0028997381935757e-06+0j)
11^ 3	| (1.2048544254330477e-07+0j)
6^ 4	| (0.03922618720901549+0j)
8^ 4	| (9.043491967083192e-08+0j)
10^ 4	| (7.982631312103427e-08+0j)
7^ 5	| (0.0392261431170157+0j)
9^ 5	| (9.27346008289712e-08+0j)
11^ 5	| (6.478283581690788e-08+0j)
6^ 0; 7^ 1	| (-1.4040589659477211e-10+0j)
6^ 0; 9^ 1	| (2.4243924132004224e-10+0j)
6^ 0; 11^ 1	| (-1.3986580491049968e-10+0j)
8^ 0; 7^ 1	| (9.070478932815754e-11+0j)
8^ 0; 9^ 1	| (-2.5106670658977677e-10+0j)
8^ 0; 11^ 1	| (-2.5670819887839854e-10+0j)
10^ 0; 7^ 1	| (-2.264732936520015e-10+0j)
10^ 0; 9^ 1	| (-1.807927404965325e-10+0j)
10^ 0; 11^ 1	| (-1.2908729166183882e-10+0j)
6^ 0; 8^ 2	| (2.865380237778635e-09+0j)
6^ 0; 10^ 2	| (-4.66356463466594e-10+0j)
8^ 0; 10^ 2	| (1.0811225797967975e-09+0j)
6^ 0; 7^ 3	| (0.0001520102442093951+0j)
6^ 0; 9^ 3	| (7.112946837886243e-10+0j)
6^ 0; 11^ 3	| (-8.751320938896704e-10+0j)
8^ 0; 7^ 3	| (2.100398643134097e-09+0j)
8^ 0; 9^ 3	| (0.00015550968905601097+0j)
8^ 0; 11^ 3	| (5.058620795601467e-10+0j)
10^ 0; 7^ 3	| (3.0392003014355296e-10+0j)
10^ 0; 9^ 3	| (9.702997949383197e-10+0j)
10^ 0; 11^ 3	| (0.0001555093339640347+0j)
6^ 0; 8^ 4	| (2.216652094002482e-10+0j)
6^ 0; 10^ 4	| (-9.557207996165697e-10+0j)
8^ 0; 10^ 4	| (2.134668376885232e-10+0j)
6^ 0; 7^ 5	| (0.000611856378847526+0j)
6^ 0; 9^ 5	| (-1.522966751386903e-09+0j)
6^ 0; 11^ 5	| (4.0892930387900215e-10+0j)
8^ 0; 7^ 5	| (-5.193926633084624e-10+0j)
8^ 0; 9^ 5	| (0.0005541655683211563+0j)
8^ 0; 11^ 5	| (5.486305160366033e-11+0j)
10^ 0; 7^ 5	| (1.6250526620218992e-12+0j)
10^ 0; 9^ 5	| (1.8698634424664773e-10+0j)
10^ 0; 11^ 5	| (0.0005541660112222585+0j)
7^ 1; 6^ 2	| (0.00015201014485165658+0j)
7^ 1; 8^ 2	| (-1.5305352675563757e-09+0j)
7^ 1; 10^ 2	| (6.838572887353007e-10+0j)
9^ 1; 6^ 2	| (-2.697031423226458e-09+0j)
9^ 1; 8^ 2	| (0.00015550165735444142+0j)
9^ 1; 10^ 2	| (9.31232180541691e-10+0j)
11^ 1; 6^ 2	| (1.6378293912768452e-09+0j)
11^ 1; 8^ 2	| (-1.382813325468404e-09+0j)
11^ 1; 10^ 2	| (0.00015550211398383674+0j)
7^ 1; 9^ 3	| (-2.4627504327509947e-09+0j)
7^ 1; 11^ 3	| (-4.4982767308259526e-10+0j)
9^ 1; 11^ 3	| (-8.505345073455522e-10+0j)
7^ 1; 6^ 4	| (0.0006118586074103271+0j)
7^ 1; 8^ 4	| (1.3035865408194359e-09+0j)
7^ 1; 10^ 4	| (1.486328279921479e-10+0j)
9^ 1; 6^ 4	| (7.470660532332557e-10+0j)
9^ 1; 8^ 4	| (0.0005541674857592555+0j)
9^ 1; 10^ 4	| (-4.3218807514528455e-10+0j)
11^ 1; 6^ 4	| (5.149144506046153e-10+0j)
11^ 1; 8^ 4	| (1.5006999976504447e-10+0j)
11^ 1; 10^ 4	| (0.0005541671665803467+0j)
7^ 1; 9^ 5	| (-3.986642683765991e-10+0j)
7^ 1; 11^ 5	| (1.2784543858175116e-09+0j)
9^ 1; 11^ 5	| (-5.2751426797855517e-11+0j)
6^ 2; 7^ 3	| (-2.673498023872161e-09+0j)
6^ 2; 9^ 3	| (4.326240032985454e-08+0j)
6^ 2; 11^ 3	| (8.514224202512218e-08+0j)
8^ 2; 7^ 3	| (2.0591974242154032e-08+0j)
8^ 2; 9^ 3	| (4.471649279050439e-08+0j)
8^ 2; 11^ 3	| (1.757614747439592e-08+0j)
10^ 2; 7^ 3	| (4.7827481593944724e-08+0j)
10^ 2; 9^ 3	| (3.533024207615971e-08+0j)
10^ 2; 11^ 3	| (7.220569532930147e-08+0j)
6^ 2; 8^ 4	| (-6.445955730655892e-07+0j)
6^ 2; 10^ 4	| (1.897104158363297e-07+0j)
8^ 2; 10^ 4	| (-1.0351520462837847e-07+0j)
6^ 2; 7^ 5	| (-0.19685280747903006+0j)
6^ 2; 9^ 5	| (6.068703756729974e-07+0j)
6^ 2; 11^ 5	| (-8.664002256887796e-08+0j)
8^ 2; 7^ 5	| (7.046407749938311e-08+0j)
8^ 2; 9^ 5	| (-0.42266046184986367+0j)
8^ 2; 11^ 5	| (4.0471927488244687e-08+0j)
10^ 2; 7^ 5	| (-8.913148428741852e-08+0j)
10^ 2; 9^ 5	| (-1.7431765720471476e-08+0j)
10^ 2; 11^ 5	| (-0.42266053626936945+0j)
7^ 3; 6^ 4	| (-0.19685279096871683+0j)
7^ 3; 8^ 4	| (-5.839512158074394e-07+0j)
7^ 3; 10^ 4	| (1.6518748730701961e-07+0j)
9^ 3; 6^ 4	| (-7.408563923401509e-08+0j)
9^ 3; 8^ 4	| (-0.422660396672978+0j)
9^ 3; 10^ 4	| (1.2911060618883442e-08+0j)
11^ 3; 6^ 4	| (1.5398789361907873e-08+0j)
11^ 3; 8^ 4	| (-3.34454013959423e-08+0j)
11^ 3; 10^ 4	| (-0.42266030724108655+0j)
7^ 3; 9^ 5	| (6.277249528203362e-07+0j)
7^ 3; 11^ 5	| (-1.942657380535613e-07+0j)
9^ 3; 11^ 5	| (7.703495516804984e-08+0j)
6^ 4; 7^ 5	| (9.729257085049125e-08+0j)
6^ 4; 9^ 5	| (-8.894635176300018e-08+0j)
