Active electrons: 6
Active orbitals: 6
HF energy: -37.72690767884643
UCCSD energy: -37.8198854774204

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -0.0002089236506986966
6^ 9^ 0 1 	| -3.648886525378861e-09
6^ 11^ 0 1 	| -3.7633020915702585e-09
8^ 7^ 0 1 	| 3.5417586917881065e-09
10^ 7^ 0 1 	| 3.530283815387943e-09
8^ 9^ 0 1 	| -0.00041863637511370817
8^ 11^ 0 1 	| -3.4206170177328473e-09
10^ 9^ 0 1 	| 3.4908808531262804e-09
10^ 11^ 0 1 	| -0.00041835925217979754
6^ 8^ 0 2 	| -1.662404469390162e-08
6^ 10^ 0 2 	| -3.606230403485726e-09
8^ 10^ 0 2 	| -1.939436580464079e-08
6^ 7^ 0 3 	| -0.0004443922255896928
6^ 9^ 0 3 	| -3.569293313948106e-09
6^ 11^ 0 3 	| -4.0036300081988994e-09
8^ 7^ 0 3 	| 1.9447353179360135e-08
10^ 7^ 0 3 	| 3.6035582100373278e-09
8^ 9^ 0 3 	| -0.0016450638345923809
8^ 11^ 0 3 	| -3.418420172976138e-09
10^ 9^ 0 3 	| 3.41764577332219e-09
10^ 11^ 0 3 	| -0.0016442883692424377
6^ 8^ 0 4 	| -3.985390150265107e-09
6^ 10^ 0 4 	| -3.955920067007503e-09
8^ 10^ 0 4 	| -3.6798878623427763e-09
6^ 7^ 0 5 	| -0.00015796032946674025
6^ 9^ 0 5 	| -3.6946693148453958e-09
6^ 11^ 0 5 	| 1.5484642364282045e-08
8^ 7^ 0 5 	| 3.544036293256594e-09
10^ 7^ 0 5 	| 3.5835279482362806e-09
8^ 9^ 0 5 	| 0.0001607907295076258
8^ 11^ 0 5 	| -3.6239863838167532e-09
10^ 9^ 0 5 	| 3.6182216796925907e-09
10^ 11^ 0 5 	| 0.0001595333286856151
6^ 7^ 2 1 	| -0.0004512089586373452
6^ 9^ 2 1 	| 3.6099359647520722e-09
6^ 11^ 2 1 	| 3.3211962203770093e-09
8^ 7^ 2 1 	| -7.771997738444729e-09
10^ 7^ 2 1 	| -1.578143467963617e-08
8^ 9^ 2 1 	| -0.0015846488337975919
8^ 11^ 2 1 	| 3.4074167003437787e-09
10^ 9^ 2 1 	| -3.4971841385499982e-09
10^ 11^ 2 1 	| -0.0015834777216482156
7^ 9^ 1 3 	| -3.500153810327692e-09
7^ 11^ 1 3 	| -3.46092064931866e-09
9^ 11^ 1 3 	| 1.1526358800365705e-08
6^ 7^ 4 1 	| -0.00011288307997528118
6^ 9^ 4 1 	| 3.965349911345005e-09
6^ 11^ 4 1 	| 6.281362866181439e-09
8^ 7^ 4 1 	| -3.6935822634328005e-09
10^ 7^ 4 1 	| -3.755993891230636e-09
8^ 9^ 4 1 	| 0.0001907378880947181
8^ 11^ 4 1 	| -1.5849800066321636e-08
10^ 9^ 4 1 	| -3.6696177416490084e-09
10^ 11^ 4 1 	| 0.00019041046209599484
7^ 9^ 1 5 	| -3.4917944777393027e-09
7^ 11^ 1 5 	| -3.423451392257175e-09
9^ 11^ 1 5 	| -3.4936387697554743e-09
6^ 7^ 2 3 	| -0.017005784336018563
6^ 9^ 2 3 	| -2.548601610848418e-10
6^ 11^ 2 3 	| -2.1561750257825736e-08
8^ 7^ 2 3 	| 1.8021173475666246e-09
10^ 7^ 2 3 	| -1.8490057059648957e-08
8^ 9^ 2 3 	| -0.12487335403221854
8^ 11^ 2 3 	| -6.764626458469327e-09
10^ 9^ 2 3 	| 4.176339837890969e-09
10^ 11^ 2 3 	| -0.1247643490333153
6^ 8^ 2 4 	| -2.58672191092558e-09
6^ 10^ 2 4 	| -8.525725412716896e-08
8^ 10^ 2 4 	| -2.476925895413534e-09
6^ 7^ 2 5 	| -0.03834288705380839
6^ 9^ 2 5 	| -6.501979367406917e-09
6^ 11^ 2 5 	| -2.791808385667129e-08
8^ 7^ 2 5 	| -6.406897101203276e-09
10^ 7^ 2 5 	| 7.57082410771369e-09
8^ 9^ 2 5 	| 0.019798000003941704
8^ 11^ 2 5 	| -3.906832305746855e-09
10^ 9^ 2 5 	| 2.6064440419088857e-09
10^ 11^ 2 5 	| 0.019948752907416472
6^ 7^ 4 3 	| -0.04307619957429267
6^ 9^ 4 3 	| 5.40431302579226e-10
6^ 11^ 4 3 	| 3.136077601480008e-08
8^ 7^ 4 3 	| -3.398373116500813e-09
10^ 7^ 4 3 	| -2.322802980627874e-09
8^ 9^ 4 3 	| 0.02598706805301793
8^ 11^ 4 3 	| 8.57990505759793e-09
10^ 9^ 4 3 	| -1.58838309759919e-08
10^ 11^ 4 3 	| 0.026052368095639114
7^ 9^ 3 5 	| -1.8455335807447502e-09
7^ 11^ 3 5 	| 1.7512393475637377e-10
9^ 11^ 3 5 	| -7.093465329909443e-10
6^ 7^ 4 5 	| -0.3949664632546963
6^ 9^ 4 5 	| -7.521557136099448e-09
6^ 11^ 4 5 	| 2.2294841556577708e-08
8^ 7^ 4 5 	| 4.8653899879319505e-09
10^ 7^ 4 5 	| 6.156770235815864e-09
8^ 9^ 4 5 	| -0.029719486111187392
