R1/R2
Excitations | Coefficients
6^ 0	| -0.0005977553858863748
8^ 0	| 3.515243651719402e-14
10^ 0	| 3.880229471064922e-14
7^ 1	| -0.0005977472598734934
9^ 1	| 6.994405055138486e-15
11^ 1	| 4.723998969780041e-14
6^ 2	| 0.32079757162088757
8^ 2	| 6.122075069114885e-12
10^ 2	| -1.0727224664108803e-11
7^ 3	| 0.3207959203551751
9^ 3	| -9.40952871175682e-12
11^ 3	| 2.577826840877151e-12
6^ 4	| -0.03890013060341358
8^ 4	| 7.071010443837622e-13
10^ 4	| -1.5569767697343195e-12
7^ 5	| -0.03889991462217731
9^ 5	| -2.0557860969105946e-12
11^ 5	| 2.216560268664125e-13
6^ 0; 7^ 1	| -1.7859856371593708e-09
6^ 0; 9^ 1	| 5.55805401702969e-15
6^ 0; 11^ 1	| 1.3461454173580023e-14
8^ 0; 7^ 1	| 1.509903313490213e-14
8^ 0; 9^ 1	| 1.2577580900396956e-08
8^ 0; 11^ 1	| 1.477290512141849e-14
10^ 0; 7^ 1	| 4.543240783583258e-15
10^ 0; 9^ 1	| 1.582067810090848e-15
10^ 0; 11^ 1	| 2.0172414294528096e-09
6^ 0; 8^ 2	| -1.4988010832439613e-15
6^ 0; 10^ 2	| -1.9317880628477724e-14
8^ 0; 10^ 2	| -7.99187105382515e-15
6^ 0; 7^ 3	| -0.0001641863462927399
6^ 0; 9^ 3	| -8.05171901374635e-15
6^ 0; 11^ 3	| 2.2996253339069295e-14
8^ 0; 7^ 3	| 2.0782897980169778e-14
8^ 0; 9^ 3	| -0.00016341706472180174
8^ 0; 11^ 3	| -4.6098056995154665e-15
10^ 0; 7^ 3	| 8.405611305271282e-15
10^ 0; 9^ 3	| 5.75414227293694e-14
10^ 0; 11^ 3	| -0.00016324500960343137
6^ 0; 8^ 4	| 8.136982808090251e-16
6^ 0; 10^ 4	| -3.4316311174980286e-14
8^ 0; 10^ 4	| 7.664347202560548e-15
6^ 0; 7^ 5	| -0.0006586130814260244
6^ 0; 9^ 5	| -1.7357713274162314e-15
6^ 0; 11^ 5	| 1.2210348494900183e-14
8^ 0; 7^ 5	| 5.36143931314111e-15
8^ 0; 9^ 5	| -0.0006586978564085294
8^ 0; 11^ 5	| 1.0013632632980158e-14
10^ 0; 7^ 5	| 2.6471082126532034e-14
10^ 0; 9^ 5	| 2.6061123885802338e-14
10^ 0; 11^ 5	| -0.000648629156852219
7^ 1; 6^ 2	| -0.0001641969981174212
7^ 1; 8^ 2	| 3.506244277172799e-14
7^ 1; 10^ 2	| -3.7099089580334034e-15
9^ 1; 6^ 2	| 2.2407035631190222e-14
9^ 1; 8^ 2	| -0.00016343144731409753
9^ 1; 10^ 2	| 3.858286058984439e-14
11^ 1; 6^ 2	| -1.9973945605829532e-14
11^ 1; 8^ 2	| 4.623002986583208e-14
11^ 1; 10^ 2	| -0.00016324903355033484
7^ 1; 9^ 3	| 3.0581654295976414e-14
7^ 1; 11^ 3	| 6.697572410151459e-16
9^ 1; 11^ 3	| -7.28219114289185e-15
7^ 1; 6^ 4	| -0.0006586101005948778
7^ 1; 8^ 4	| 9.627067985522389e-16
7^ 1; 10^ 4	| -1.1906267935071206e-14
9^ 1; 6^ 4	| -9.338419188387786e-15
9^ 1; 8^ 4	| -0.0006586830498737998
9^ 1; 10^ 4	| 3.680467675395507e-14
11^ 1; 6^ 4	| 5.126133998731533e-14
11^ 1; 8^ 4	| 3.911023476277458e-14
11^ 1; 10^ 4	| -0.0006485978030248345
7^ 1; 9^ 5	| 3.2168281393410396e-14
7^ 1; 11^ 5	| 3.1712384664100058e-15
9^ 1; 11^ 5	| 2.6380006718787965e-14
6^ 2; 7^ 3	| 1.0663932903210802e-06
6^ 2; 9^ 3	| 4.95783076412224e-13
6^ 2; 11^ 3	| 4.640427478381834e-13
8^ 2; 7^ 3	| -2.986610693133845e-13
8^ 2; 9^ 3	| 3.365947966441484e-07
8^ 2; 11^ 3	| 1.024154913928318e-12
10^ 2; 7^ 3	| 1.0240774167563458e-12
10^ 2; 9^ 3	| 3.2233087376909915e-12
10^ 2; 11^ 3	| 3.3627019786947006e-07
6^ 2; 8^ 4	| -4.526698591619332e-14
6^ 2; 10^ 4	| -2.2711591173467227e-12
8^ 2; 10^ 4	| -3.0353592418152575e-12
6^ 2; 7^ 5	| 0.19068450837384518
6^ 2; 9^ 5	| 2.028064650782055e-12
6^ 2; 11^ 5	| -1.18453398085098e-11
8^ 2; 7^ 5	| -2.166582850525334e-12
8^ 2; 9^ 5	| 0.4234696457821845
8^ 2; 11^ 5	| -1.4303385205994208e-12
10^ 2; 7^ 5	| 1.8820276661495577e-12
10^ 2; 9^ 5	| -3.905895980450598e-12
10^ 2; 11^ 5	| 0.4234707010750588
7^ 3; 6^ 4	| 0.19055289992480667
7^ 3; 8^ 4	| 1.304165570820618e-12
7^ 3; 10^ 4	| -1.6240098092696717e-12
9^ 3; 6^ 4	| -4.927324286051224e-12
9^ 3; 8^ 4	| 0.42416239505397135
9^ 3; 10^ 4	| -5.9154533472708134e-12
11^ 3; 6^ 4	| -1.8591128637971866e-12
11^ 3; 8^ 4	| 2.0661512820146055e-12
11^ 3; 10^ 4	| 0.4241583639241055
7^ 3; 9^ 5	| -7.328770135313385e-12
7^ 3; 11^ 5	| 5.76186963223413e-13
9^ 3; 11^ 5	| 1.4939282294309166e-12
6^ 4; 7^ 5	| -4.4694235585271315e-06
6^ 4; 9^ 5	| 1.423486488315376e-12
6^ 4; 11^ 5	| -2.3551346060360457e-12
8^ 4; 7^ 5	| 6.899886305277411e-13
8^ 4; 9^ 5	| -2.6255256138350116e-06
8^ 4; 11^ 5	| 2.2290844557262286e-12
10^ 4; 7^ 5	| -7.947603500018264e-13
10^ 4; 9^ 5	| -1.092052940044205e-12
10^ 4; 11^ 5	| -3.7238206385363844e-06
