Active electrons: 6
Active orbitals: 6
HF energy: -37.72690767890864
Energy minimum: -37.820504750705915

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -0.00020398780246876435
6^ 7^ 0 3 	| -0.00043069072362614166
6^ 7^ 0 5 	| -0.00015959569583414286
6^ 7^ 2 1 	| -0.00043052688370483216
6^ 7^ 2 3 	| -0.016132621923000797
6^ 7^ 2 5 	| -0.04214146466156073
6^ 7^ 4 1 	| -0.0001597096717091122
6^ 7^ 4 3 	| -0.042139884419436634
6^ 7^ 4 5 	| -0.4082383062138638
6^ 9^ 0 1 	| -1.1183530834314096e-07
6^ 9^ 0 3 	| -1.5875421730455486e-07
6^ 9^ 0 5 	| -1.1796994477111532e-07
6^ 9^ 2 1 	| 1.40433144160519e-07
6^ 9^ 2 3 	| -4.0836744983994615e-07
6^ 9^ 2 5 	| 8.543492990848406e-07
6^ 9^ 4 1 	| -1.9604966971964025e-07
6^ 9^ 4 3 	| -4.382067916920179e-07
6^ 9^ 4 5 	| 3.072765993895258e-06
6^ 11^ 0 1 	| 1.3643734025921205e-07
6^ 11^ 0 3 	| -9.04733237081705e-08
6^ 11^ 0 5 	| 5.360133908105877e-08
6^ 11^ 2 1 	| 7.660520651835823e-08
6^ 11^ 2 3 	| -7.235280309965517e-07
6^ 11^ 2 5 	| 9.602077728144507e-07
6^ 11^ 4 1 	| 6.365582460489649e-08
6^ 11^ 4 3 	| -1.240159228043961e-06
6^ 11^ 4 5 	| 2.3389056450113356e-06
8^ 7^ 0 1 	| 7.123360007200988e-08
8^ 7^ 0 3 	| 2.7373168970920407e-08
8^ 7^ 0 5 	| -6.47286555935132e-08
8^ 7^ 2 1 	| -1.32164174457687e-07
8^ 7^ 2 3 	| 3.946534744047548e-07
8^ 7^ 2 5 	| -6.342341456943654e-08
8^ 7^ 4 1 	| -1.613712795179748e-09
8^ 7^ 4 3 	| 5.848123835778418e-07
8^ 7^ 4 5 	| -1.6933877562702431e-06
8^ 9^ 0 1 	| -0.0004187614399018808
8^ 9^ 0 3 	| -0.0016156336334427275
8^ 9^ 0 5 	| 0.00018091724311389203
8^ 9^ 2 1 	| -0.0016156000834680448
8^ 9^ 2 3 	| -0.12496965249554474
8^ 9^ 2 5 	| 0.022906750213269315
8^ 9^ 4 1 	| 0.000181098504389695
8^ 9^ 4 3 	| 0.022905080745243268
8^ 9^ 4 5 	| -0.02975287477480369
8^ 11^ 0 1 	| -7.96743940151459e-09
8^ 11^ 0 3 	| -1.8474062051644665e-07
8^ 11^ 0 5 	| -1.747312760031842e-07
8^ 11^ 2 1 	| -9.650673014229938e-09
8^ 11^ 2 3 	| 4.725570817489688e-07
8^ 11^ 2 5 	| 1.092974114667053e-06
8^ 11^ 4 1 	| -5.0479108630051806e-09
8^ 11^ 4 3 	| -1.1503165277436237e-06
8^ 11^ 4 5 	| 1.4192458562194626e-06
10^ 7^ 0 1 	| -7.568058264473368e-08
10^ 7^ 0 3 	| 1.1759840831181418e-07
10^ 7^ 0 5 	| -4.508066528954263e-08
10^ 7^ 2 1 	| -1.602497219263639e-07
10^ 7^ 2 3 	| -5.2452396593673845e-08
10^ 7^ 2 5 	| -1.0521470273575136e-06
10^ 7^ 4 1 	| -1.0361386834311387e-07
10^ 7^ 4 3 	| 1.6783500081490744e-06
10^ 7^ 4 5 	| -1.93780551812393e-06
10^ 9^ 0 1 	| -1.7260210071590144e-08
10^ 9^ 0 3 	| 1.652023885583814e-07
10^ 9^ 0 5 	| -1.2774888804072201e-08
10^ 9^ 2 1 	| -2.2458384130547603e-07
10^ 9^ 2 3 	| -2.808595770493422e-07
10^ 9^ 2 5 	| -1.1904385762164718e-06
10^ 9^ 4 1 	| -2.6253770174724796e-07
10^ 9^ 4 3 	| 1.3279512415838826e-06
10^ 9^ 4 5 	| -2.5108637693435648e-06
10^ 11^ 0 1 	| -0.0004188055171745346
10^ 11^ 0 3 	| -0.0016154772039961502
10^ 11^ 0 5 	| 0.0001810115740849972
10^ 11^ 2 1 	| -0.001615591565596321
10^ 11^ 2 3 	| -0.1249704519660066
10^ 11^ 2 5 	| 0.022905972521656114
10^ 11^ 4 1 	| 0.00018104436687341478
10^ 11^ 4 3 	| 0.022905186396528256
10^ 11^ 4 5 	| -0.029753116696402147
6^ 8^ 0 2 	| -1.588790740193773e-07
6^ 8^ 0 4 	| -1.3680143208549937e-08
6^ 8^ 2 4 	| 1.0514055194810956e-07
6^ 10^ 0 2 	| -3.243137644749351e-08
6^ 10^ 0 4 	| 8.576792388453107e-08
6^ 10^ 2 4 	| 1.7676601819125466e-07
8^ 10^ 0 2 	| -2.6106605934254557e-07
8^ 10^ 0 4 	| -1.544005836863083e-07
8^ 10^ 2 4 	| 5.437150835137796e-07
7^ 9^ 1 3 	| -7.234429819610994e-08
7^ 9^ 1 5 	| 1.7285048889266845e-08
7^ 9^ 3 5 	| -5.381779793731214e-07
7^ 11^ 1 3 	| -1.7625100865628193e-07
7^ 11^ 1 5 	| -1.03627917661263e-07
7^ 11^ 3 5 	| -3.235373030891917e-08
9^ 11^ 1 3 	| -1.2825112326166849e-07
9^ 11^ 1 5 	| -1.1566974682746427e-07
9^ 11^ 3 5 	| 8.145297152907762e-07
6^ 0 	| 0.00013368146927197447
7^ 1 	| 0.00013387981833491635
8^ 0 	| -2.0577264707611818e-08
9^ 1 	| 2.484727809034754e-08
10^ 0 	| 1.00370152295926e-07
11^ 1 	| -1.1113717576586829e-07
6^ 2 	| -0.012893775040229098
7^ 3 	| -0.012893543329657997
8^ 2 	| 4.815171345944078e-07
9^ 3 	| 2.6725667754806313e-07
10^ 2 	| -6.000554850709659e-08
11^ 3 	| 7.778883927538204e-07
6^ 4 	| 0.12768981273328645
7^ 5 	| 0.1276885083451955
8^ 4 	| 2.67997369303693e-06
9^ 5 	| 2.194020230373428e-06
10^ 4 	| 2.3819167191466335e-06
11^ 5 	| 1.730288187986971e-06
