R1/R2
Excitations | Coefficients
6^ 0	| (-0.0011209807903330943+0j)
8^ 0	| (-0.0018238626636784133+0j)
10^ 0	| (-3.9808017216255004e-09+0j)
7^ 1	| (0.0011209821741079268+0j)
9^ 1	| (0.00182386174977072+0j)
11^ 1	| (-3.221942418102151e-09+0j)
6^ 2	| (0.2246918724543031+0j)
8^ 2	| (0.3655784799638516+0j)
10^ 2	| (-2.1911378581076448e-07+0j)
7^ 3	| (-0.2246918571810412+0j)
9^ 3	| (-0.3655784626827902+0j)
11^ 3	| (-2.4265178063598205e-07+0j)
6^ 4	| (-0.023439832990676573+0j)
8^ 4	| (-0.0381370956680787+0j)
10^ 4	| (-1.05878282949962e-06+0j)
7^ 5	| (0.023439702036194724+0j)
9^ 5	| (0.038136904899480864+0j)
11^ 5	| (-8.582328340848168e-07+0j)
6^ 0; 7^ 1	| (7.132857453316595e-10+0j)
6^ 0; 9^ 1	| (1.392748364326425e-09+0j)
6^ 0; 11^ 1	| (3.481439310656777e-05+0j)
8^ 0; 7^ 1	| (1.7469451815235364e-10+0j)
8^ 0; 9^ 1	| (-7.770839212763275e-10+0j)
8^ 0; 11^ 1	| (5.664317861597542e-05+0j)
10^ 0; 7^ 1	| (-3.4814033145755e-05+0j)
10^ 0; 9^ 1	| (-5.664352383998156e-05+0j)
10^ 0; 11^ 1	| (-3.660227051609793e-11+0j)
6^ 0; 8^ 2	| (-3.4585091678116065e-09+0j)
6^ 0; 10^ 2	| (0.00031227216126851335+0j)
8^ 0; 10^ 2	| (0.0005080718520862792+0j)
6^ 0; 7^ 3	| (4.082243781647389e-09+0j)
6^ 0; 9^ 3	| (6.972828688709635e-09+0j)
6^ 0; 11^ 3	| (-0.00044435530281003866+0j)
8^ 0; 7^ 3	| (-2.7992429117005947e-09+0j)
8^ 0; 9^ 3	| (5.614487975642176e-09+0j)
8^ 0; 11^ 3	| (-0.0007229744960665474+0j)
10^ 0; 7^ 3	| (0.00013208404626016248+0j)
10^ 0; 9^ 3	| (0.00021490181554546618+0j)
10^ 0; 11^ 3	| (3.482750235000728e-10+0j)
6^ 0; 8^ 4	| (-7.48221920148127e-09+0j)
6^ 0; 10^ 4	| (0.00023584660511041341+0j)
8^ 0; 10^ 4	| (0.0003837271875845003+0j)
6^ 0; 7^ 5	| (-1.6149116509851747e-09+0j)
