Active electrons: 6
Active orbitals: 6
HF energy: -37.88137454081039
UCCSD energy: -37.91747749227053

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -0.00039319770211244194
6^ 9^ 0 1 	| -3.5134547935631112e-09
6^ 11^ 0 1 	| -3.5128610101527604e-09
8^ 7^ 0 1 	| 3.502044649958191e-09
10^ 7^ 0 1 	| 5.400118167265176e-09
8^ 9^ 0 1 	| -0.0004149731889073262
8^ 11^ 0 1 	| -3.4093835927705043e-09
10^ 9^ 0 1 	| 3.462794411106449e-09
10^ 11^ 0 1 	| -0.0004558806268072984
6^ 8^ 0 2 	| -3.330267143261285e-09
6^ 10^ 0 2 	| 1.1919300661249423e-08
8^ 10^ 0 2 	| -3.3848557283215265e-09
6^ 7^ 0 3 	| -0.0013615594357734102
6^ 9^ 0 3 	| -3.4996842997297623e-09
6^ 11^ 0 3 	| -3.6786958698287568e-09
8^ 7^ 0 3 	| 3.5427205274225363e-09
10^ 7^ 0 3 	| 3.6599226407288997e-09
8^ 9^ 0 3 	| -0.0013748252577160485
8^ 11^ 0 3 	| -3.445575847439e-09
10^ 9^ 0 3 	| 3.543954471004395e-09
10^ 11^ 0 3 	| -0.00026140100189769156
6^ 8^ 0 4 	| -3.4057551346201185e-09
6^ 10^ 0 4 	| -3.0596552974241496e-09
8^ 10^ 0 4 	| -3.4441064529293664e-09
6^ 7^ 0 5 	| 0.0005394937997389679
6^ 9^ 0 5 	| -1.6695965960632958e-08
6^ 11^ 0 5 	| -3.4298318527841734e-09
8^ 7^ 0 5 	| 3.4853547478053393e-09
10^ 7^ 0 5 	| 3.4835985406626696e-09
8^ 9^ 0 5 	| 0.0005672080845229853
8^ 11^ 0 5 	| -3.3377638025777965e-09
10^ 9^ 0 5 	| 3.421661826460696e-09
10^ 11^ 0 5 	| 0.00017761709276537451
6^ 7^ 2 1 	| -0.001355968566222092
6^ 9^ 2 1 	| 3.38871750772421e-09
6^ 11^ 2 1 	| 3.357532164526537e-09
8^ 7^ 2 1 	| -3.3451263548248226e-09
10^ 7^ 2 1 	| -1.660852301427331e-08
8^ 9^ 2 1 	| -0.0013695059423704794
8^ 11^ 2 1 	| 3.3305451553700457e-09
10^ 9^ 2 1 	| -3.3523477956435007e-09
10^ 11^ 2 1 	| -0.00026260404115585297
7^ 9^ 1 3 	| -3.4334692693702996e-09
7^ 11^ 1 3 	| 8.649921800587931e-09
9^ 11^ 1 3 	| -3.3613084876340913e-09
6^ 7^ 4 1 	| 0.0005463319008760031
6^ 9^ 4 1 	| 3.5974899690785653e-09
6^ 11^ 4 1 	| 3.5218372946184666e-09
8^ 7^ 4 1 	| -3.4953056517083247e-09
10^ 7^ 4 1 	| -3.4423712163022392e-09
8^ 9^ 4 1 	| 0.0005735445658267589
8^ 11^ 4 1 	| 3.543953223828685e-09
10^ 9^ 4 1 	| -6.715817663511734e-09
10^ 11^ 4 1 	| 0.00017998104197473335
7^ 9^ 1 5 	| 6.359452997646257e-09
7^ 11^ 1 5 	| -3.340689383581247e-09
9^ 11^ 1 5 	| -3.37929703879612e-09
6^ 7^ 2 3 	| -0.07251951762018465
6^ 9^ 2 3 	| -3.156460659824183e-09
6^ 11^ 2 3 	| -5.045796074991192e-09
8^ 7^ 2 3 	| 3.2696694585290814e-09
10^ 7^ 2 3 	| 3.2906383262831867e-09
8^ 9^ 2 3 	| -0.07270168494823194
8^ 11^ 2 3 	| -3.3663667299941456e-09
10^ 9^ 2 3 	| 3.1968202903885346e-09
10^ 11^ 2 3 	| -0.029229388934567557
6^ 8^ 2 4 	| -3.319250449542442e-09
6^ 10^ 2 4 	| -3.382301262905109e-09
8^ 10^ 2 4 	| -3.3080096848401728e-09
6^ 7^ 2 5 	| 0.05265328672829715
6^ 9^ 2 5 	| -9.046771877588928e-08
6^ 11^ 2 5 	| -3.008458038227757e-09
8^ 7^ 2 5 	| 2.211073865317994e-09
10^ 7^ 2 5 	| -2.4743429253027723e-08
8^ 9^ 2 5 	| 0.05399026975380369
8^ 11^ 2 5 	| -4.422423600653145e-09
10^ 9^ 2 5 	| 1.158693390425338e-08
10^ 11^ 2 5 	| -0.02574510080394895
6^ 7^ 4 3 	| 0.05424913090898423
6^ 9^ 4 3 	| 1.6970582695045705e-08
6^ 11^ 4 3 	| 5.411384281811405e-09
8^ 7^ 4 3 	| -4.923040859044294e-09
10^ 7^ 4 3 	| 3.7506195660133384e-11
8^ 9^ 4 3 	| 0.054533386542218176
8^ 11^ 4 3 	| 2.9974014161779695e-09
10^ 9^ 4 3 	| -4.49046142078645e-09
10^ 11^ 4 3 	| -0.025562722541656382
7^ 9^ 3 5 	| -1.7114831748506416e-08
7^ 11^ 3 5 	| -4.80085204751155e-09
9^ 11^ 3 5 	| -2.4442720956607446e-09
6^ 7^ 4 5 	| -0.10435612604965484
6^ 9^ 4 5 	| -1.0554239283798716e-08
6^ 11^ 4 5 	| 3.5322786672438906e-08
8^ 7^ 4 5 	| 4.005458431962976e-09
10^ 7^ 4 5 	| -3.748580912955615e-11
8^ 9^ 4 5 	| -0.10407866674473276
8^ 11^ 4 5 	| -4.453015403100371e-09
10^ 9^ 4 5 	| 2.640411230021302e-09
10^ 11^ 4 5 	| -0.04396073419281815
6^ 0 	| -3.453365776236082e-09
8^ 0 	| -3.4328345005441626e-09
10^ 0 	| 4.8239657033838066e-05
7^ 1 	| -1.1351953554380183e-08
9^ 1 	| -3.3347275262538426e-09
11^ 1 	| 4.9256559253303095e-05
6^ 2 	| -1.7036850404783312e-13
