Active electrons: 6
Active orbitals: 6
HF energy: -37.88137454081039
UCCSD energy: -37.91748457945999

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.00084119734014269
6^ 9^ 0 1 	| -7.33139140137414e-08
6^ 11^ 0 1 	| 9.898897924105144e-07
8^ 7^ 0 1 	| -2.460087482668729e-07
10^ 7^ 0 1 	| -1.001641947448083e-06
8^ 9^ 0 1 	| 0.0008233974973852543
8^ 11^ 0 1 	| 6.458835200578912e-07
10^ 9^ 0 1 	| -6.441077770634504e-08
10^ 11^ 0 1 	| 0.0009115718059909072
6^ 8^ 0 2 	| -4.501743801198967e-07
6^ 10^ 0 2 	| 2.3927285453740032e-06
8^ 10^ 0 2 	| 3.4915053884256116e-06
6^ 7^ 0 3 	| 0.002732942117185247
6^ 9^ 0 3 	| 2.757836246018647e-06
6^ 11^ 0 3 	| -4.032221854227495e-07
8^ 7^ 0 3 	| 3.5949779853856125e-07
10^ 7^ 0 3 	| -1.1164391307719472e-06
8^ 9^ 0 3 	| 0.0026941127859020616
8^ 11^ 0 3 	| 1.8295818082250172e-07
10^ 9^ 0 3 	| 4.947581509521762e-08
10^ 11^ 0 3 	| 0.0005081985543106606
6^ 8^ 0 4 	| 8.55030177772214e-07
6^ 10^ 0 4 	| 3.918374040216405e-06
8^ 10^ 0 4 	| 1.7157975252139004e-06
6^ 7^ 0 5 	| -0.0011982356945300248
6^ 9^ 0 5 	| 2.660755417086454e-07
6^ 11^ 0 5 	| 2.6342968495677965e-06
8^ 7^ 0 5 	| 7.899817609783731e-07
10^ 7^ 0 5 	| -1.1523886489866283e-06
8^ 9^ 0 5 	| -0.001189828698465908
8^ 11^ 0 5 	| -4.1259171990181767e-07
10^ 9^ 0 5 	| -3.018047230787336e-06
10^ 11^ 0 5 	| -0.00034178307903175067
6^ 7^ 2 1 	| 0.0027301741800085074
6^ 9^ 2 1 	| -3.887983326952827e-06
6^ 11^ 2 1 	| 3.519077803605665e-07
8^ 7^ 2 1 	| 2.7754513716212295e-06
10^ 7^ 2 1 	| 2.2722502180045616e-06
8^ 9^ 2 1 	| 0.002691253334905319
8^ 11^ 2 1 	| -1.9587616148795523e-06
10^ 9^ 2 1 	| 3.5716814241604767e-06
10^ 11^ 2 1 	| 0.0005055756806491993
7^ 9^ 1 3 	| 1.6715490872694017e-06
7^ 11^ 1 3 	| 8.483651274253915e-07
9^ 11^ 1 3 	| 2.9268538182625665e-06
6^ 7^ 4 1 	| -0.0011996818465247869
6^ 9^ 4 1 	| -3.226969416436884e-06
6^ 11^ 4 1 	| 3.7641261774465534e-07
8^ 7^ 4 1 	| 3.2732346786788597e-06
10^ 7^ 4 1 	| -4.0958307729923025e-07
8^ 9^ 4 1 	| -0.001191814440784554
8^ 11^ 4 1 	| -2.1857308764484822e-06
10^ 9^ 4 1 	| 1.5718433089899131e-06
10^ 11^ 4 1 	| -0.0003455074627719042
7^ 9^ 1 5 	| 2.000037332070729e-06
7^ 11^ 1 5 	| 2.074244866448053e-06
9^ 11^ 1 5 	| 2.341283198110157e-06
6^ 7^ 2 3 	| 0.1431986939551938
6^ 9^ 2 3 	| 9.814738643528794e-06
6^ 11^ 2 3 	| 9.64033653074151e-06
8^ 7^ 2 3 	| -2.114541002141123e-05
10^ 7^ 2 3 	| -1.731694510268549e-05
8^ 9^ 2 3 	| 0.1420229999193465
8^ 11^ 2 3 	| 1.0487943904696468e-05
10^ 9^ 2 3 	| -1.1721814357944831e-05
10^ 11^ 2 3 	| 0.05879375116552269
6^ 8^ 2 4 	| 8.134223806508621e-06
