R1/R2
Excitations | Coefficients
6^ 0	| -0.028592466653484264
8^ 0	| 2.23487894857044e-13
10^ 0	| 5.268008251846368e-14
7^ 1	| 0.028592592915605508
9^ 1	| 1.5512591211575e-13
11^ 1	| 2.37698749572246e-13
6^ 2	| 5.53335155473178e-13
8^ 2	| -2.4447111002245947e-13
10^ 2	| -4.979350265443827e-14
7^ 3	| -2.4327762027098743e-13
9^ 3	| 3.69114461218345e-13
11^ 3	| -5.820864623640176e-14
6^ 4	| -0.7056013159410888
8^ 4	| 4.1160369383674844e-13
10^ 4	| 5.889949986070953e-13
7^ 5	| 0.7056018872351648
9^ 5	| -7.899240513271639e-13
11^ 5	| -3.0579150119718936e-13
6^ 0; 7^ 1	| -1.1053609771573692e-13
6^ 0; 9^ 1	| 0.0046641723983394095
6^ 0; 11^ 1	| 2.6779614511600126e-13
8^ 0; 7^ 1	| -0.0046640834532384046
8^ 0; 9^ 1	| -4.1504429635512786e-14
8^ 0; 11^ 1	| 8.45841122557741e-14
10^ 0; 7^ 1	| -4.833406861028623e-15
10^ 0; 9^ 1	| 1.2084231644247188e-13
10^ 0; 11^ 1	| 7.062483385513457e-14
6^ 0; 8^ 2	| -9.548071993364368e-14
6^ 0; 10^ 2	| -0.006930863994571034
8^ 0; 10^ 2	| -3.3649733316386693e-14
6^ 0; 7^ 3	| 7.053462437932462e-14
6^ 0; 9^ 3	| 1.4023027287089512e-13
6^ 0; 11^ 3	| 0.013619160127703568
8^ 0; 7^ 3	| 2.0316514545108537e-13
8^ 0; 9^ 3	| 1.828778128667055e-14
8^ 0; 11^ 3	| -1.6892633603621414e-13
10^ 0; 7^ 3	| -0.006691422668338463
10^ 0; 9^ 3	| -2.965685968135673e-14
10^ 0; 11^ 3	| 1.792534145789905e-13
6^ 0; 8^ 4	| 0.007246737269893205
6^ 0; 10^ 4	| 6.724278081251549e-14
8^ 0; 10^ 4	| -5.267075712751308e-14
6^ 0; 7^ 5	| -5.564856502756513e-13
6^ 0; 9^ 5	| -0.011735492304432086
6^ 0; 11^ 5	| 2.1561152396011986e-15
8^ 0; 7^ 5	| 0.0044796395694685805
8^ 0; 9^ 5	| 7.451715769946795e-14
8^ 0; 11^ 5	| 2.654889610804026e-14
10^ 0; 7^ 5	| -2.473872029103173e-13
10^ 0; 9^ 5	| -5.125230532298569e-14
10^ 0; 11^ 5	| -8.899086293748315e-14
7^ 1; 6^ 2	| 2.880253388284823e-14
7^ 1; 8^ 2	| -5.290922019432506e-14
7^ 1; 10^ 2	| 0.013619727005952051
9^ 1; 6^ 2	| 1.047729861566336e-13
9^ 1; 8^ 2	| 8.108619469651969e-14
9^ 1; 10^ 2	| -2.2128950444146423e-13
11^ 1; 6^ 2	| -0.0066891298549376695
11^ 1; 8^ 2	| -1.058773792343438e-13
11^ 1; 10^ 2	| -4.9455297739869165e-14
7^ 1; 9^ 3	| -3.7444707462918465e-13
7^ 1; 11^ 3	| -0.006928828953377153
9^ 1; 11^ 3	| -3.537369871949283e-14
7^ 1; 6^ 4	| -5.204023497454053e-13
7^ 1; 8^ 4	| -0.011735657722113352
7^ 1; 10^ 4	| 1.1586349000048416e-13
9^ 1; 6^ 4	| 0.004489272507454575
9^ 1; 8^ 4	| 1.9459789151653679e-13
9^ 1; 10^ 4	| 7.117761775784567e-14
11^ 1; 6^ 4	| -1.2274736575240768e-13
11^ 1; 8^ 4	| -3.425780175532744e-14
11^ 1; 10^ 4	| -3.221500703478119e-13
7^ 1; 9^ 5	| 0.007250105659139869
7^ 1; 11^ 5	| -3.766860175806615e-13
9^ 1; 11^ 5	| -2.1925033540498344e-13
6^ 2; 7^ 3	| -1.832413455861947e-13
6^ 2; 9^ 3	| -0.010065676010069961
6^ 2; 11^ 3	| -5.161480657795147e-14
8^ 2; 7^ 3	| 0.01006589189190664
