Active electrons: 6
Active orbitals: 6
HF energy: -38.8370458783575
Energy minimum: -38.858189693239154

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.09505573540466274
6^ 9^ 0 1 	| -6.37583690805184e-17
6^ 11^ 0 1 	| -1.424640334126039e-17
8^ 7^ 0 1 	| 2.0705347972085895e-16
10^ 7^ 0 1 	| -2.8511628680098046e-17
8^ 9^ 0 1 	| 0.05037715625896565
8^ 11^ 0 1 	| -2.98900715185469e-16
10^ 9^ 0 1 	| 9.080676172244503e-17
10^ 11^ 0 1 	| 0.018157049402387222
6^ 8^ 0 2 	| -1.7841781588866983e-17
6^ 10^ 0 2 	| 1.7469885402431736e-17
8^ 10^ 0 2 	| -0.02265694792515146
6^ 7^ 0 3 	| 4.423957561044343e-17
6^ 9^ 0 3 	| 6.278265992548513e-17
6^ 11^ 0 3 	| -5.4995700200824244e-17
8^ 7^ 0 3 	| -8.55769250076495e-17
10^ 7^ 0 3 	| 6.707917251749457e-17
8^ 9^ 0 3 	| -1.2578137560330543e-18
8^ 11^ 0 3 	| -0.044109726432685445
10^ 9^ 0 3 	| -0.021446831989958618
10^ 11^ 0 3 	| 3.3860857582872516e-17
6^ 8^ 0 4 	| 6.967022781773331e-19
6^ 10^ 0 4 	| -1.610798813461276e-17
8^ 10^ 0 4 	| -3.3497522654818216e-17
6^ 7^ 0 5 	| -0.044926155486742086
6^ 9^ 0 5 	| 7.852434204081803e-17
6^ 11^ 0 5 	| 1.6904004996934386e-17
8^ 7^ 0 5 	| -2.9107596141934164e-16
10^ 7^ 0 5 	| -4.84510774328131e-17
8^ 9^ 0 5 	| 0.033047868982394736
8^ 11^ 0 5 	| -2.4808824948891466e-17
10^ 9^ 0 5 	| 9.268289797707562e-17
10^ 11^ 0 5 	| -0.005724445272953539
6^ 7^ 2 1 	| -1.9752250919940888e-16
6^ 9^ 2 1 	| -1.7062255391805497e-16
6^ 11^ 2 1 	| 3.9903147877280153e-17
8^ 7^ 2 1 	| -2.301660620231539e-17
10^ 7^ 2 1 	| -1.1041036799458296e-16
8^ 9^ 2 1 	| -7.834238876832578e-17
8^ 11^ 2 1 	| -0.021455124163393527
10^ 9^ 2 1 	| -0.04411089799195908
10^ 11^ 2 1 	| 1.0722229840767478e-17
7^ 9^ 1 3 	| 1.6101417886401645e-17
7^ 11^ 1 3 	| 4.6376534824783623e-17
9^ 11^ 1 3 	| -0.022664922587222355
6^ 7^ 4 1 	| -0.04492484434457206
6^ 9^ 4 1 	| 8.791183225639361e-17
6^ 11^ 4 1 	| -3.167415596058403e-16
8^ 7^ 4 1 	| 6.315518165481428e-17
10^ 7^ 4 1 	| 8.612750953216298e-17
8^ 9^ 4 1 	| 0.033064178113865285
8^ 11^ 4 1 	| 1.3976265945999487e-16
10^ 9^ 4 1 	| -2.483591384921205e-16
10^ 11^ 4 1 	| -0.005726558547657296
7^ 9^ 1 5 	| -1.5891451120991594e-17
7^ 11^ 1 5 	| -1.245942324689034e-17
9^ 11^ 1 5 	| 4.567141106805643e-17
6^ 7^ 2 3 	| 0.016412053107033843
6^ 9^ 2 3 	| 8.787378129541026e-17
6^ 11^ 2 3 	| 1.4202225966049337e-16
8^ 7^ 2 3 	| -3.763252290463184e-17
10^ 7^ 2 3 	| 4.4265623474943e-17
8^ 9^ 2 3 	| 0.062062418324381044
8^ 11^ 2 3 	| 9.013288927741724e-18
10^ 9^ 2 3 	| -3.4799112225043183e-16
10^ 11^ 2 3 	| 0.07358288509940207
6^ 8^ 2 4 	| 9.822582337796965e-18
6^ 10^ 2 4 	| 6.587457163762005e-18
8^ 10^ 2 4 	| -0.011875669053079713
6^ 7^ 2 5 	| -1.315238352557717e-17
