R1/R2
Excitations | Coefficients
4^ 0	| 0.004704973730415778
6^ 0	| 0.002015583721411267
5^ 1	| -0.004704959231039511
7^ 1	| 0.0020155871239256624
4^ 2	| 0.0013598961259363236
6^ 2	| 0.004497226486521233
5^ 3	| 0.0013598915324060155
7^ 3	| -0.004497240329845443
4^ 0; 5^ 1	| -0.0883279995829179
4^ 0; 7^ 1	| 0.14709316917207219
6^ 0; 5^ 1	| 0.14709316926411414
6^ 0; 7^ 1	| 0.2788478434932062
4^ 0; 6^ 2	| 0.42876506012157944
4^ 0; 5^ 3	| 0.15162678934122475
4^ 0; 7^ 3	| 0.14112169903595703
6^ 0; 5^ 3	| 0.34069409927531386
6^ 0; 7^ 3	| -0.1470357713265406
5^ 1; 4^ 2	| 0.15162679213623256
5^ 1; 6^ 2	| 0.14112169444053901
7^ 1; 4^ 2	| 0.3406941082594431
7^ 1; 6^ 2	| -0.14703576677934893
5^ 1; 7^ 3	| 0.42876506174896606
4^ 2; 5^ 3	| 0.2975806516765428
4^ 2; 7^ 3	| -0.1514878528416298
6^ 2; 5^ 3	| -0.15148785441997495
6^ 2; 7^ 3	| -0.08801331836269753
