R1/R2
Excitations | Coefficients
4^ 0	| 0.0001719120321148378
6^ 0	| 9.027730581954688e-06
5^ 1	| 0.00019034965380443965
7^ 1	| 8.939623690165906e-06
4^ 2	| -7.305088561255523e-06
6^ 2	| -0.0001480486342425523
5^ 3	| -7.291425500616643e-06
7^ 3	| -0.00012955107253184348
4^ 0; 5^ 1	| -0.0004266647462800218
4^ 0; 7^ 1	| 1.0678098722960867e-06
6^ 0; 5^ 1	| 1.0706743601844826e-06
6^ 0; 7^ 1	| 0.00040324409444616083
4^ 0; 6^ 2	| -0.40796649152603637
4^ 0; 5^ 3	| 1.313996326565985e-06
4^ 0; 7^ 3	| -0.4083825645885536
6^ 0; 5^ 3	| -0.408396578822386
6^ 0; 7^ 3	| -1.0410573056681374e-06
5^ 1; 4^ 2	| 9.781508396979095e-07
5^ 1; 6^ 2	| -0.4083811440934009
7^ 1; 4^ 2	| -0.40839546123002735
7^ 1; 6^ 2	| -7.081103920360257e-07
5^ 1; 7^ 3	| -0.40796620793537064
4^ 2; 5^ 3	| 0.00043375130298555593
4^ 2; 7^ 3	| -9.49225116973822e-07
6^ 2; 5^ 3	| -9.488152602276237e-07
6^ 2; 7^ 3	| -0.00042563244474016853
