R1/R2
Excitations | Coefficients
4^ 0	| -0.004344081123549487
6^ 0	| -9.905324412562235e-14
5^ 1	| -0.009172478714416428
7^ 1	| -1.0151848487227661e-13
4^ 2	| -4.441294073896537e-13
6^ 2	| 0.00808677474989501
5^ 3	| -4.4518173078829924e-13
7^ 3	| 0.002434468492577239
4^ 0; 5^ 1	| 0.126296513245112
4^ 0; 7^ 1	| 1.4483987425445102e-11
6^ 0; 5^ 1	| 1.4479403034602531e-11
6^ 0; 7^ 1	| -0.11929537899760073
4^ 0; 6^ 2	| 0.3074592334933594
4^ 0; 5^ 3	| 1.5011179844544162e-11
4^ 0; 7^ 3	| 0.43035339090783115
6^ 0; 5^ 3	| 0.43469246313965126
6^ 0; 7^ 3	| -1.4465408725660358e-11
5^ 1; 4^ 2	| 1.5012096954002894e-11
5^ 1; 6^ 2	| 0.4303200874519916
7^ 1; 4^ 2	| 0.4346485783498178
7^ 1; 6^ 2	| -1.4463817873277337e-11
5^ 1; 7^ 3	| 0.30744910138968723
4^ 2; 5^ 3	| -0.12828650504616074
4^ 2; 7^ 3	| -1.4985755454611098e-11
6^ 2; 5^ 3	| -1.4989472702984636e-11
6^ 2; 7^ 3	| 0.12599037597203247
