R1/R2
Excitations | Coefficients
4^ 0	| -2.9623417956335852e-05
6^ 0	| 1.9171246623888307e-05
5^ 1	| -2.227251047251105e-05
7^ 1	| 1.9171215362597706e-05
4^ 2	| -1.827810517128977e-05
6^ 2	| 2.2261819479874132e-05
5^ 3	| -1.8278135771951543e-05
7^ 3	| 2.960797362195437e-05
4^ 0; 5^ 1	| -7.254190058196054e-05
4^ 0; 7^ 1	| -1.4616153340991157e-05
6^ 0; 5^ 1	| -1.4616402528655197e-05
6^ 0; 7^ 1	| 6.988311418710047e-05
4^ 0; 6^ 2	| 0.4082965320664137
4^ 0; 5^ 3	| -1.3656794604089e-05
4^ 0; 7^ 3	| 0.408225613146336
6^ 0; 5^ 3	| 0.4082240787593173
6^ 0; 7^ 3	| 1.4604222487947405e-05
5^ 1; 4^ 2	| -1.365653238571967e-05
5^ 1; 6^ 2	| 0.4082228711521311
7^ 1; 4^ 2	| 0.4082240792464286
7^ 1; 6^ 2	| 1.4604483402699432e-05
5^ 1; 7^ 3	| 0.40829652706184455
4^ 2; 5^ 3	| 7.509379500085429e-05
4^ 2; 7^ 3	| 1.3643671303122653e-05
6^ 2; 5^ 3	| 1.3643407029747509e-05
6^ 2; 7^ 3	| -7.240588043769817e-05
