R1/R2
Excitations | Coefficients
4^ 0	| 0.0043440811238338265
6^ 0	| 4.836484374448289e-14
5^ 1	| 0.009172478714712372
7^ 1	| 5.162717112197056e-14
4^ 2	| 4.876678677175774e-13
6^ 2	| -0.008086774750122684
5^ 3	| 4.884007568837225e-13
7^ 3	| -0.0024344684927975766
4^ 0; 5^ 1	| -0.12629651324529442
4^ 0; 7^ 1	| -1.462913457677901e-11
6^ 0; 5^ 1	| -1.4625409949274524e-11
6^ 0; 7^ 1	| 0.11929537899776033
4^ 0; 6^ 2	| -0.30745923349318965
4^ 0; 5^ 3	| -1.516352276450869e-11
4^ 0; 7^ 3	| -0.4303533909078286
6^ 0; 5^ 3	| -0.43469246313966703
6^ 0; 7^ 3	| 1.461085390638121e-11
5^ 1; 4^ 2	| -1.516405174246659e-11
5^ 1; 6^ 2	| -0.43032008745198796
7^ 1; 4^ 2	| -0.43464857834983117
7^ 1; 6^ 2	| 1.4609648019727717e-11
5^ 1; 7^ 3	| -0.307449101389518
4^ 2; 5^ 3	| 0.12828650504633496
4^ 2; 7^ 3	| 1.5137448538349605e-11
6^ 2; 5^ 3	| 1.514154478600397e-11
6^ 2; 7^ 3	| -0.1259903759722139
