R1/R2
Excitations | Coefficients
6^ 0	| 1.2799158832794764e-12
8^ 0	| 3.3420838566502414e-13
10^ 0	| -0.003380372882913302
7^ 1	| 4.669157063573012e-12
9^ 1	| 7.197822156884218e-13
11^ 1	| 0.003380452678716744
6^ 2	| -0.13252873180177324
8^ 2	| -0.010043780760652803
10^ 2	| -5.231612639061043e-13
7^ 3	| 0.1325255512520755
9^ 3	| 0.01004354992312614
11^ 3	| -2.426072113287263e-15
6^ 4	| -0.6829291108246203
8^ 4	| -0.05163970475554813
10^ 4	| 9.805848514823588e-13
7^ 5	| 0.6829226641508996
9^ 5	| 0.05165151788636876
11^ 5	| 6.145494506890666e-13
6^ 0; 7^ 1	| 2.434055290222864e-13
6^ 0; 9^ 1	| 5.666230288789431e-14
6^ 0; 11^ 1	| -0.0032142848568839514
8^ 0; 7^ 1	| -2.349769684384384e-13
8^ 0; 9^ 1	| 9.836575998178887e-14
8^ 0; 11^ 1	| -0.0003864341253202591
10^ 0; 7^ 1	| 0.0032142464877858226
10^ 0; 9^ 1	| 0.00038643562936469325
10^ 0; 11^ 1	| 2.1030399643962028e-13
6^ 0; 8^ 2	| 0.007172199187545303
6^ 0; 10^ 2	| 3.784195179434846e-13
8^ 0; 10^ 2	| 1.886268918838141e-13
6^ 0; 7^ 3	| 0.012075770548397258
6^ 0; 9^ 3	| 0.0011787045374872518
6^ 0; 11^ 3	| 2.2510118768970244e-13
8^ 0; 7^ 3	| -0.008347647137565712
8^ 0; 9^ 3	| 0.001707580971148821
8^ 0; 11^ 3	| 1.565346880088342e-13
10^ 0; 7^ 3	| 3.3360915450652516e-13
10^ 0; 9^ 3	| -4.0196813060062596e-14
10^ 0; 11^ 3	| -0.00020242873955324814
6^ 0; 8^ 4	| 0.03695016349915799
6^ 0; 10^ 4	| -8.687153069306714e-14
8^ 0; 10^ 4	| 2.565136659934859e-13
6^ 0; 7^ 5	| 0.06220455475216596
6^ 0; 9^ 5	| 0.006061580433012139
6^ 0; 11^ 5	| -1.6146244882510058e-13
8^ 0; 7^ 5	| -0.043002334801390665
8^ 0; 9^ 5	| 0.008790801036317726
8^ 0; 11^ 5	| 8.485113481385549e-14
10^ 0; 7^ 5	| -2.620182118800259e-14
10^ 0; 9^ 5	| 2.3744254836795564e-13
10^ 0; 11^ 5	| -0.0010140120552101623
7^ 1; 6^ 2	| -0.012074011370915086
7^ 1; 8^ 2	| 0.0011801953307526074
7^ 1; 10^ 2	| 1.4023530867521591e-13
9^ 1; 6^ 2	| -0.008346512807716092
9^ 1; 8^ 2	| -0.0017089713033492258
9^ 1; 10^ 2	| 1.5116060539092104e-13
11^ 1; 6^ 2	| 3.663184774455545e-13
11^ 1; 8^ 2	| 4.2384658610917583e-13
11^ 1; 10^ 2	| 0.00020242974167948411
7^ 1; 9^ 3	| 0.007168815683863101
7^ 1; 11^ 3	| 1.7072931579574187e-13
9^ 1; 11^ 3	| 5.314891879003911e-15
7^ 1; 6^ 4	| -0.06219645103325299
7^ 1; 8^ 4	| 0.0060697768200896896
7^ 1; 10^ 4	| -1.7503754753078838e-13
9^ 1; 6^ 4	| -0.042996433998611874
9^ 1; 8^ 4	| -0.008797761950282193
9^ 1; 10^ 4	| 9.801744488468188e-14
11^ 1; 6^ 4	| 4.694023603791756e-13
11^ 1; 8^ 4	| 2.873690216282138e-13
11^ 1; 10^ 4	| 0.001014009581258246
7^ 1; 9^ 5	| 0.03693220635273659
7^ 1; 11^ 5	| 2.1470675276021014e-13
9^ 1; 11^ 5	| -1.3669060827297683e-13
6^ 2; 7^ 3	| 8.872074906759075e-13
6^ 2; 9^ 3	| 1.3862119354808125e-13
6^ 2; 11^ 3	| -0.00644748742507952
8^ 2; 7^ 3	| 3.430445700173314e-13
8^ 2; 9^ 3	| 5.783032082578512e-15
8^ 2; 11^ 3	| -0.00021561258761395826
10^ 2; 7^ 3	| 0.006447362377918268
10^ 2; 9^ 3	| 0.00021559484941429804
10^ 2; 11^ 3	| -7.522337752864286e-15
6^ 2; 8^ 4	| 3.6156023682530573e-13
6^ 2; 10^ 4	| -1.756625418512765e-06
8^ 2; 10^ 4	| 2.616884365413646e-07
6^ 2; 7^ 5	| -5.738931147712004e-13
6^ 2; 9^ 5	| -3.863213052060189e-13
6^ 2; 11^ 5	| -0.013413580771552216
8^ 2; 7^ 5	| -2.1147086800479393e-13
8^ 2; 9^ 5	| -1.6882668760353054e-13
8^ 2; 11^ 5	| 0.001786500333810096
10^ 2; 7^ 5	| 0.01341861545192399
10^ 2; 9^ 5	| -0.0017893114313514557
10^ 2; 11^ 5	| -5.932363061153172e-14
7^ 3; 6^ 4	| -1.0355392325988281e-13
7^ 3; 8^ 4	| 1.558048474348352e-14
7^ 3; 10^ 4	| -0.013413381875793776
9^ 3; 6^ 4	| 1.5728332923698814e-13
