Active electrons: 6
Active orbitals: 6
HF energy: -99.95873720508237
Energy minimum: -99.98208864164087

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.04157008878977551
6^ 9^ 0 1 	| 0.039240594142944195
6^ 11^ 0 1 	| 4.266233274118102e-17
8^ 7^ 0 1 	| 0.03924702420889491
10^ 7^ 0 1 	| 6.188178925257351e-17
8^ 9^ 0 1 	| 0.07444389440146539
8^ 11^ 0 1 	| 1.2206188150848141e-15
10^ 9^ 0 1 	| -3.697792167737066e-17
10^ 11^ 0 1 	| 0.009362420578436463
6^ 8^ 0 2 	| 2.5025572477796085e-17
6^ 10^ 0 2 	| -0.00545528175977486
8^ 10^ 0 2 	| -0.004872236744593881
6^ 7^ 0 3 	| 7.930135836402014e-16
6^ 9^ 0 3 	| 5.0185931393858426e-17
6^ 11^ 0 3 	| -0.005478237870303001
8^ 7^ 0 3 	| -3.9820110213553043e-16
10^ 7^ 0 3 	| -2.3074844131181807e-05
8^ 9^ 0 3 	| -1.5457753554503829e-16
8^ 11^ 0 3 	| -0.00530626444024302
10^ 9^ 0 3 	| -0.00043409846158405223
10^ 11^ 0 3 	| 3.7608273959520266e-17
6^ 8^ 0 4 	| 7.027644486566087e-17
6^ 10^ 0 4 	| -0.02805787273097715
8^ 10^ 0 4 	| -0.025061287417176115
6^ 7^ 0 5 	| 7.937568446473052e-16
6^ 9^ 0 5 	| 3.9273685625169716e-16
6^ 11^ 0 5 	| -0.028170782306825803
8^ 7^ 0 5 	| -4.7374027729397e-16
10^ 7^ 0 5 	| -0.00011828937053569562
8^ 9^ 0 5 	| -3.008835193477888e-16
8^ 11^ 0 5 	| -0.027289760450249972
10^ 9^ 0 5 	| -0.0022332569439706693
10^ 11^ 0 5 	| 9.174840529764743e-17
6^ 7^ 2 1 	| -1.485341192139965e-17
6^ 9^ 2 1 	| -7.152298671262538e-18
6^ 11^ 2 1 	| -2.2917772058709276e-05
8^ 7^ 2 1 	| -1.2188155649374064e-17
10^ 7^ 2 1 	| -0.005477199584469035
8^ 9^ 2 1 	| 3.6604971943190983e-17
8^ 11^ 2 1 	| -0.0004342269123905454
10^ 9^ 2 1 	| -0.005305404557553489
10^ 11^ 2 1 	| 3.326560653944964e-17
7^ 9^ 1 3 	| 6.1945806356523245e-18
7^ 11^ 1 3 	| -0.005454322386223297
9^ 11^ 1 3 	| -0.0048712123288469885
6^ 7^ 4 1 	| -1.0544434566318044e-16
6^ 9^ 4 1 	| -5.765132288078527e-18
6^ 11^ 4 1 	| -0.00011787130543874752
8^ 7^ 4 1 	| 3.793607210260338e-18
10^ 7^ 4 1 	| -0.028170985766951533
8^ 9^ 4 1 	| 6.658436053672601e-17
8^ 11^ 4 1 	| -0.002233501336820628
10^ 9^ 4 1 	| -0.02728994343958502
10^ 11^ 4 1 	| 1.7616941407970843e-16
7^ 9^ 1 5 	| 1.7911780322706927e-17
7^ 11^ 1 5 	| -0.028058515849696215
9^ 11^ 1 5 	| -0.025061048783733858
6^ 7^ 2 3 	| 0.012196597313250322
6^ 9^ 2 3 	| 0.007565899538728829
6^ 11^ 2 3 	| 2.1627145349232916e-17
8^ 7^ 2 3 	| 0.007565845177244826
10^ 7^ 2 3 	| -1.956189720321305e-17
8^ 9^ 2 3 	| 0.011800624225963771
8^ 11^ 2 3 	| 3.0093253983048455e-17
10^ 9^ 2 3 	| -1.9542716778721385e-17
10^ 11^ 2 3 	| 0.014372631735962427
6^ 8^ 2 4 	| 3.079662664455759e-11
6^ 10^ 2 4 	| -4.442238427376538e-18
8^ 10^ 2 4 	| -3.840936037321236e-18
6^ 7^ 2 5 	| -0.0002792567769766573
6^ 9^ 2 5 	| 4.728377046235794e-06
6^ 11^ 2 5 	| -6.422250001300936e-18
8^ 7^ 2 5 	| 4.728330717293952e-06
10^ 7^ 2 5 	| 6.29877068551305e-17
8^ 9^ 2 5 	| -4.34990417497303e-05
8^ 11^ 2 5 	| -7.893083642106044e-18
10^ 9^ 2 5 	| -4.9905829234043344e-17
