R1/R2
Excitations | Coefficients
6^ 0	| 0.0037688022492930995
8^ 0	| -0.06940445916964932
10^ 0	| 4.78809071298513e-09
7^ 1	| 0.003768787459845144
9^ 1	| -0.06940446133690077
11^ 1	| 1.2578845120170928e-08
6^ 2	| 6.88476170620214e-08
8^ 2	| -9.367014068742383e-07
10^ 2	| 0.1341837743310732
7^ 3	| -4.622949183003253e-08
9^ 3	| 7.088646062588764e-07
11^ 3	| 0.1341836916678595
6^ 4	| 7.482022131241008e-08
8^ 4	| -1.059990038812661e-06
10^ 4	| 0.6901194943533108
7^ 5	| -5.3405232597438545e-08
9^ 5	| 3.945657952754687e-07
11^ 5	| 0.6901195143337622
6^ 0; 7^ 1	| 9.653255507666638e-09
6^ 0; 9^ 1	| -0.004873569359315476
6^ 0; 11^ 1	| -9.252103181222982e-10
8^ 0; 7^ 1	| -0.004873629782084904
8^ 0; 9^ 1	| -1.6595240356277332e-08
8^ 0; 11^ 1	| -6.477290036560643e-09
10^ 0; 7^ 1	| -5.8205197574907545e-09
10^ 0; 9^ 1	| -2.0224110332969636e-08
10^ 0; 11^ 1	| 5.544187389018951e-10
6^ 0; 8^ 2	| -4.221745931856584e-08
6^ 0; 10^ 2	| 0.0029808849225981464
8^ 0; 10^ 2	| 0.00198184010418693
6^ 0; 7^ 3	| 5.3761089582929305e-08
6^ 0; 9^ 3	| 7.432063734602371e-08
6^ 0; 11^ 3	| 0.004093114856155413
8^ 0; 7^ 3	| -2.1818472040773276e-08
8^ 0; 9^ 3	| 8.102880131082392e-08
8^ 0; 11^ 3	| 0.0007546320357319731
10^ 0; 7^ 3	| 0.0005188787731675106
10^ 0; 9^ 3	| 0.0004843502339904376
10^ 0; 11^ 3	| -4.94594936778633e-08
6^ 0; 8^ 4	| -7.097939465386096e-08
6^ 0; 10^ 4	| 0.015330799325192183
8^ 0; 10^ 4	| 0.01019283884829821
6^ 0; 7^ 5	| 4.2093002510349206e-07
6^ 0; 9^ 5	| 1.1428202083464076e-07
6^ 0; 11^ 5	| 0.021051647177321282
8^ 0; 7^ 5	| -7.416495379127103e-08
8^ 0; 9^ 5	| 5.5307327869607886e-08
8^ 0; 11^ 5	| 0.003880979654293337
10^ 0; 7^ 5	| 0.002668731112599495
10^ 0; 9^ 5	| 0.0024909531074495616
10^ 0; 11^ 5	| -2.4235193863915427e-07
7^ 1; 6^ 2	| -2.386496448921015e-08
7^ 1; 8^ 2	| 8.066111738825753e-08
7^ 1; 10^ 2	| -0.004093240921571979
9^ 1; 6^ 2	| -1.1142789183842855e-08
9^ 1; 8^ 2	| -1.2789065075523355e-07
9^ 1; 10^ 2	| -0.0007545636302922297
11^ 1; 6^ 2	| -0.0005189246682449739
11^ 1; 8^ 2	| -0.0004843259218341839
11^ 1; 10^ 2	| -4.328303221042395e-09
7^ 1; 9^ 3	| -5.698285371955617e-08
7^ 1; 11^ 3	| -0.0029809763295163693
9^ 1; 11^ 3	| -0.0019817655370152616
7^ 1; 6^ 4	| 2.1347760387601585e-08
7^ 1; 8^ 4	| 5.875506213565028e-08
7^ 1; 10^ 4	| -0.021051991552708153
9^ 1; 6^ 4	| -1.4209183807248717e-08
9^ 1; 8^ 4	| -1.3360265001684027e-07
9^ 1; 10^ 4	| -0.0038807656053247656
11^ 1; 6^ 4	| -0.002668710363125819
11^ 1; 8^ 4	| -0.002490958010970999
