Active electrons: 6
Active orbitals: 6
HF energy: -99.95873720508237
Energy minimum: -99.98208652980315

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -0.020773193996972902
6^ 7^ 0 3 	| 2.559490054918146e-07
6^ 7^ 0 5 	| 2.5304696992752e-07
6^ 7^ 2 1 	| -6.127855702966692e-08
6^ 7^ 2 3 	| -0.006090313161050517
6^ 7^ 2 5 	| 0.00013921678603454196
6^ 7^ 4 1 	| -8.007981381819115e-08
6^ 7^ 4 3 	| 0.00014025434793402973
6^ 7^ 4 5 	| -0.005398222616788256
6^ 9^ 0 1 	| -0.019608889406756157
6^ 9^ 0 3 	| 2.559490054918149e-07
6^ 9^ 0 5 	| 6.127855702966729e-08
6^ 9^ 2 1 	| 1.1357174479783632e-07
6^ 9^ 2 3 	| -0.0037750296482778646
6^ 9^ 2 5 	| -2.6660398608436886e-06
6^ 9^ 4 1 	| -6.229744687578761e-08
6^ 9^ 4 3 	| -2.4240538288121437e-06
6^ 9^ 4 5 	| -0.0037866104160380796
6^ 11^ 0 1 	| -7.226418535263329e-09
6^ 11^ 0 3 	| 0.0027386617812712425
6^ 11^ 0 5 	| 0.014086679310754994
6^ 11^ 2 1 	| 1.1464674684740355e-05
6^ 11^ 2 3 	| -7.284287222224366e-08
6^ 11^ 2 5 	| 6.161943658128022e-08
6^ 11^ 4 1 	| 5.9443648678970564e-05
6^ 11^ 4 3 	| -5.6571861533460567e-08
6^ 11^ 4 5 	| -5.475129382422628e-08
8^ 7^ 0 1 	| -0.01960919856520194
8^ 7^ 0 3 	| -1.4214078581672824e-07
8^ 7^ 0 5 	| 9.751794609206163e-08
8^ 7^ 2 1 	| 9.715250237008582e-08
8^ 7^ 2 3 	| -0.0037748115581396425
8^ 7^ 2 5 	| -2.6157233055758168e-06
8^ 7^ 4 1 	| 7.314909305219726e-08
8^ 7^ 4 3 	| -2.288822486087413e-06
8^ 7^ 4 5 	| -0.003786533014889487
8^ 9^ 0 1 	| -0.037197642942516554
8^ 9^ 0 3 	| 3.042562957496473e-07
8^ 9^ 0 5 	| 2.755019351074733e-07
8^ 9^ 2 1 	| -7.254717445297206e-08
8^ 9^ 2 3 	| -0.005893118469869696
8^ 9^ 2 5 	| 2.2261884934256515e-05
8^ 9^ 4 1 	| -9.715250237008574e-08
8^ 9^ 4 3 	| 2.2348874753154606e-05
8^ 9^ 4 5 	| -0.005782942800142357
8^ 11^ 0 1 	| 7.570781990222917e-08
8^ 11^ 0 3 	| 0.002654176370217093
8^ 11^ 0 5 	| 0.013650630467772061
8^ 11^ 2 1 	| 0.00021696026934755726
8^ 11^ 2 3 	| 9.338242705335029e-08
8^ 11^ 2 5 	| 9.029152755679804e-08
8^ 11^ 4 1 	| 0.0011170702203358858
8^ 11^ 4 3 	| 8.267562855252967e-08
8^ 11^ 4 5 	| 9.029152755679783e-08
10^ 7^ 0 1 	| -7.605142347152738e-08
10^ 7^ 0 3 	| 1.1161703464008162e-05
10^ 7^ 0 5 	| 5.9638456161229016e-05
10^ 7^ 2 1 	| 0.002738856471727462
10^ 7^ 2 3 	| -1.0065675138864341e-07
10^ 7^ 2 5 	| -1.6204306820959166e-07
10^ 7^ 4 1 	| 0.014086287733245068
10^ 7^ 4 3 	| 8.98051052122338e-08
10^ 7^ 4 5 	| -9.270714077652938e-08
10^ 9^ 0 1 	| 6.455856002988704e-08
10^ 9^ 0 3 	| 0.00021731454838765457
10^ 9^ 0 5 	| 0.001116893522978941
10^ 9^ 2 1 	| 0.002654350317420184
10^ 9^ 2 3 	| -6.556585211632495e-08
10^ 9^ 2 5 	| -2.5228668996635744e-07
10^ 9^ 4 1 	| 0.01365043830965486
10^ 9^ 4 3 	| 1.1594123544465979e-07
10^ 9^ 4 5 	| -5.761624150420878e-08
10^ 11^ 0 1 	| -0.004685780525120739
10^ 11^ 0 3 	| -7.958472905597573e-08
10^ 11^ 0 5 	| 2.772012293390912e-07
10^ 11^ 2 1 	| 2.8684614689468803e-08
