R1/R2
Excitations | Coefficients
6^ 0	| -0.3909827819269672
8^ 0	| -0.02825813785720091
10^ 0	| 4.1924796967407474e-13
7^ 1	| -0.39090970425260924
9^ 1	| -0.02824377906912136
11^ 1	| 7.499695309221011e-13
6^ 2	| 0.4758516061939256
8^ 2	| 0.03438458539663147
10^ 2	| 1.0601935995779854e-12
7^ 3	| 0.4759116530836342
9^ 3	| 0.03437708228414266
11^ 3	| 1.492694856608523e-12
6^ 4	| -1.203063204613386e-10
8^ 4	| -8.835210341118227e-12
10^ 4	| -0.0036699854981543933
7^ 5	| -1.2121587067426276e-10
9^ 5	| -8.609674605197792e-12
11^ 5	| -0.0036689169729360246
6^ 0; 7^ 1	| 1.7764123505514817e-12
6^ 0; 9^ 1	| 4.846956169757277e-13
6^ 0; 11^ 1	| 0.015387942316760383
8^ 0; 7^ 1	| 6.189493362285248e-13
8^ 0; 9^ 1	| 3.304301277040622e-13
8^ 0; 11^ 1	| -0.00011944687322090058
10^ 0; 7^ 1	| 0.015389663981201635
10^ 0; 9^ 1	| -0.00011962852771391736
10^ 0; 11^ 1	| 3.7021991375341123e-13
6^ 0; 8^ 2	| 5.437687518143608e-13
6^ 0; 10^ 2	| -3.3004680559113632e-06
8^ 0; 10^ 2	| 4.903907422683113e-08
6^ 0; 7^ 3	| 1.4952108239827408e-12
6^ 0; 9^ 3	| 2.447875737076523e-13
6^ 0; 11^ 3	| -0.014148364254415353
8^ 0; 7^ 3	| 3.7017554702652304e-13
8^ 0; 9^ 3	| 3.055887379656996e-13
8^ 0; 11^ 3	| 0.0004438997386709274
10^ 0; 7^ 3	| -0.014156103125932682
10^ 0; 9^ 3	| 0.00044460869420456366
10^ 0; 11^ 3	| 7.440068688748719e-14
6^ 0; 8^ 4	| -0.0008084018038554861
6^ 0; 10^ 4	| 1.4239610925239444e-12
8^ 0; 10^ 4	| 1.534035754791893e-13
6^ 0; 7^ 5	| 0.2155952830433593
6^ 0; 9^ 5	| 0.022295164377700936
6^ 0; 11^ 5	| 6.23303825778228e-13
8^ 0; 7^ 5	| -0.020085157586758867
8^ 0; 9^ 5	| 0.004722545138066331
8^ 0; 11^ 5	| 5.056890078274094e-13
10^ 0; 7^ 5	| 1.6452974157615824e-12
10^ 0; 9^ 5	| -2.545072127719218e-14
10^ 0; 11^ 5	| -0.0016161522989910537
7^ 1; 6^ 2	| 1.4387421760909628e-12
7^ 1; 8^ 2	| 7.822187381308506e-13
7^ 1; 10^ 2	| 0.014135007774516855
9^ 1; 6^ 2	| 5.207639869107069e-13
9^ 1; 8^ 2	| 2.0272282186752615e-13
9^ 1; 10^ 2	| -0.00044554398112346715
11^ 1; 6^ 2	| 0.014237096316172735
11^ 1; 8^ 2	| -0.0004364851233223159
11^ 1; 10^ 2	| 2.4399156180643823e-13
7^ 1; 9^ 3	| 4.4344811544276194e-13
7^ 1; 11^ 3	| 5.4509865299493746e-06
9^ 1; 11^ 3	| -7.64787266467638e-07
7^ 1; 6^ 4	| 0.21557634748686946
7^ 1; 8^ 4	| -0.022293678353850526
