R1/R2
Excitations | Coefficients
6^ 0	| -0.2735411172705932
8^ 0	| 0.03797327627565051
10^ 0	| -1.1837332052461957e-08
7^ 1	| 0.2735409682971482
9^ 1	| -0.0379731088342881
11^ 1	| -2.068921300640253e-07
6^ 2	| -0.22510833149210074
8^ 2	| 0.031249796006783036
10^ 2	| -6.527232067958159e-08
7^ 3	| 0.22510792292629772
9^ 3	| -0.031249591516502927
11^ 3	| -1.3659453556177623e-07
6^ 4	| 4.489729154807432e-07
8^ 4	| 7.556637075002653e-09
10^ 4	| 3.672355264720628e-08
7^ 5	| 2.371988756209809e-07
9^ 5	| -4.825540565206436e-09
11^ 5	| -3.35361549325097e-08
6^ 0; 7^ 1	| 5.322250913714411e-07
6^ 0; 9^ 1	| 1.7895218022205015e-07
6^ 0; 11^ 1	| 0.029980397928946072
8^ 0; 7^ 1	| 1.5085071828747847e-07
8^ 0; 9^ 1	| -4.955771224011731e-08
8^ 0; 11^ 1	| -0.0013483036393881756
10^ 0; 7^ 1	| -0.029980486650615052
10^ 0; 9^ 1	| 0.0013483197655976048
10^ 0; 11^ 1	| -4.144694934355035e-09
6^ 0; 8^ 2	| -4.92525663060353e-07
6^ 0; 10^ 2	| 0.06439611104097533
8^ 0; 10^ 2	| -0.0022484355771808366
6^ 0; 7^ 3	| 2.409566463065932e-05
6^ 0; 9^ 3	| -2.911522767913976e-07
6^ 0; 11^ 3	| -0.038077051905640355
8^ 0; 7^ 3	| 1.4591235004754757e-07
8^ 0; 9^ 3	| -6.018488460368244e-07
8^ 0; 11^ 3	| 0.0013886304179857548
10^ 0; 7^ 3	| -0.02631908170224387
10^ 0; 9^ 3	| 0.0008597356280886399
10^ 0; 11^ 3	| -2.4295046985825217e-08
6^ 0; 8^ 4	| -0.039240575008212875
6^ 0; 10^ 4	| -2.489605982786874e-07
8^ 0; 10^ 4	| 2.1637436605239734e-09
6^ 0; 7^ 5	| -0.46249105628149584
6^ 0; 9^ 5	| 0.03044597174204315
6^ 0; 11^ 5	| -1.1238425564265145e-07
8^ 0; 7^ 5	| 0.00879461139635934
8^ 0; 9^ 5	| 0.023906044292799328
8^ 0; 11^ 5	| 8.278019398698315e-09
10^ 0; 7^ 5	| -1.2052389971884675e-07
10^ 0; 9^ 5	| 2.0008481585926694e-08
10^ 0; 11^ 5	| 0.000881587263213918
7^ 1; 6^ 2	| 2.2029360474774876e-05
7^ 1; 8^ 2	| 3.017975733091395e-07
7^ 1; 10^ 2	| -0.038076925922723125
9^ 1; 6^ 2	| -1.4139271427433719e-07
9^ 1; 8^ 2	| -5.060662219715298e-07
9^ 1; 10^ 2	| 0.0013885590973401656
11^ 1; 6^ 2	| -0.02631907575847001
11^ 1; 8^ 2	| 0.0008597555299668004
11^ 1; 10^ 2	| -1.0293579760609561e-08
7^ 1; 9^ 3	| 3.0865977345140385e-07
7^ 1; 11^ 3	| 0.06439632412488364
9^ 1; 11^ 3	| -0.002248389127722991
7^ 1; 6^ 4	| 0.46249267202758776
7^ 1; 8^ 4	| 0.03044606216964849
7^ 1; 10^ 4	| 4.0739714207537753e-07
9^ 1; 6^ 4	| 0.00879439092571323
9^ 1; 8^ 4	| -0.023906056494389243
9^ 1; 10^ 4	| -1.4393973139231781e-08
11^ 1; 6^ 4	| 7.96166326713907e-08
11^ 1; 8^ 4	| -2.989430971781017e-08
11^ 1; 10^ 4	| -0.000881589943113873
7^ 1; 9^ 5	| -0.0392405138536023
7^ 1; 11^ 5	| -6.981057618937031e-10
9^ 1; 11^ 5	| 1.4794923939497237e-08
6^ 2; 7^ 3	| 6.195925137790287e-07
6^ 2; 9^ 3	| -2.4188511388006926e-07
6^ 2; 11^ 3	| -0.02997973157676804
8^ 2; 7^ 3	| -2.3131299862983495e-07
8^ 2; 9^ 3	| -2.842256716257587e-08
8^ 2; 11^ 3	| 0.0013483446629716585
10^ 2; 7^ 3	| 0.029979573676727128
10^ 2; 9^ 3	| -0.0013483073516564956
10^ 2; 11^ 3	| -1.912712335241555e-09
6^ 2; 8^ 4	| -0.032292681405092304
6^ 2; 10^ 4	| -1.57898134288154e-07
8^ 2; 10^ 4	| -4.2735031456039134e-09
6^ 2; 7^ 5	| -0.3806032392740629
6^ 2; 9^ 5	| 0.025055240309526952
6^ 2; 11^ 5	| -9.662632797059385e-08
8^ 2; 7^ 5	| 0.007237478031955033
8^ 2; 9^ 5	| 0.019673284143535606
8^ 2; 11^ 5	| 8.743837331087843e-09
10^ 2; 7^ 5	| -4.9519578946346886e-08
10^ 2; 9^ 5	| 1.7195245324800532e-08
10^ 2; 11^ 5	| 0.0007254870122332713
7^ 3; 6^ 4	| 0.38060391981093333
7^ 3; 8^ 4	| 0.02505528881483821
7^ 3; 10^ 4	| 3.428603233164322e-07
9^ 3; 6^ 4	| 0.007237269776970172
9^ 3; 8^ 4	| -0.019673247016555283
9^ 3; 10^ 4	| -9.79691957115573e-09
11^ 3; 6^ 4	| 1.8458635001528378e-08
11^ 3; 8^ 4	| -2.230152399869312e-08
11^ 3; 10^ 4	| -0.0007254844689539381
7^ 3; 9^ 5	| -0.03229258171927116
7^ 3; 11^ 5	| -5.626275238369341e-08
9^ 3; 11^ 5	| 1.1223753144782634e-08
6^ 4; 7^ 5	| -7.576668567042627e-07
6^ 4; 9^ 5	| -2.2895149426853018e-08
6^ 4; 11^ 5	| -3.3983161677047254e-08
8^ 4; 7^ 5	| -2.0526800590088592e-09
8^ 4; 9^ 5	| 3.5179704039545484e-09
8^ 4; 11^ 5	| 2.500391808190691e-09
10^ 4; 7^ 5	| 3.5320623021609006e-08
10^ 4; 9^ 5	| 1.0289130682991807e-09
10^ 4; 11^ 5	| 3.566814045150727e-10
