Active electrons: 6
Active orbitals: 6
HF energy: -99.80772526444878
Energy minimum: -99.89934132749401

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -0.01070144169174105
6^ 7^ 0 3 	| 0.00020769272382040066
6^ 7^ 0 5 	| 1.4839301892570104e-06
6^ 7^ 2 1 	| 0.00020800672155929409
6^ 7^ 2 3 	| -0.010781985157760772
6^ 7^ 2 5 	| -1.4720732990372395e-06
6^ 7^ 4 1 	| -2.419153958902505e-07
6^ 7^ 4 3 	| 2.7655766858194072e-06
6^ 7^ 4 5 	| -0.35324509361207984
6^ 9^ 0 1 	| -0.000288024519659089
6^ 9^ 0 3 	| 3.9732153338839156e-05
6^ 9^ 0 5 	| 7.984660872563068e-07
6^ 9^ 2 1 	| 4.0864375107583375e-05
6^ 9^ 2 3 	| -0.00030367097408121166
6^ 9^ 2 5 	| 2.1765854561595926e-07
6^ 9^ 4 1 	| -2.3728961658927906e-07
6^ 9^ 4 3 	| 6.080789309012408e-07
6^ 9^ 4 5 	| -0.04103384482679507
6^ 11^ 0 1 	| 5.910409811478553e-07
6^ 11^ 0 3 	| -2.844897061492539e-07
6^ 11^ 0 5 	| -0.0030163874040035833
6^ 11^ 2 1 	| 7.21390756427909e-09
6^ 11^ 2 3 	| -6.559996194587361e-08
6^ 11^ 2 5 	| 0.003665393999091617
6^ 11^ 4 1 	| -0.016241091546333353
6^ 11^ 4 3 	| 0.019736994543064892
6^ 11^ 4 5 	| 4.2281936705261404e-07
8^ 7^ 0 1 	| -0.0002870343717247706
8^ 7^ 0 3 	| 4.054981990847701e-05
8^ 7^ 0 5 	| -4.6458449814658737e-07
8^ 7^ 2 1 	| 3.945653726568281e-05
8^ 7^ 2 3 	| -0.00030226344676893016
8^ 7^ 2 5 	| -1.8896153942437255e-07
8^ 7^ 4 1 	| 2.243892217311143e-07
8^ 7^ 4 3 	| 3.324317357775767e-07
8^ 7^ 4 5 	| -0.041032586666615606
8^ 9^ 0 1 	| 1.2654909843338955e-05
8^ 9^ 0 3 	| -2.2599032622027396e-05
8^ 9^ 0 5 	| 3.66975942372235e-08
8^ 9^ 2 1 	| -2.0974624910147896e-05
8^ 9^ 2 3 	| 2.0380096719453814e-05
8^ 9^ 2 5 	| -1.8369898863356724e-07
8^ 9^ 4 1 	| 3.647161869279243e-08
8^ 9^ 4 3 	| 1.271304828699347e-07
8^ 9^ 4 5 	| -0.011106479551628863
8^ 11^ 0 1 	| -5.323546606839393e-07
8^ 11^ 0 3 	| -6.457199610067986e-08
8^ 11^ 0 5 	| -0.00042248158098208535
8^ 11^ 2 1 	| 4.364783408878279e-08
8^ 11^ 2 3 	| -1.797643577593418e-07
8^ 11^ 2 5 	| 0.0005124625044438645
8^ 11^ 4 1 	| -0.0017147511340139818
8^ 11^ 4 3 	| 0.0020859345676260085
8^ 11^ 4 5 	| -3.4270152322742023e-07
10^ 7^ 0 1 	| 5.007221992968083e-07
10^ 7^ 0 3 	| 3.5601019732463607e-07
10^ 7^ 0 5 	| -0.01624133942056264
10^ 7^ 2 1 	| 2.656858820777251e-07
10^ 7^ 2 3 	| -1.4982687436446367e-07
10^ 7^ 2 5 	| 0.019737044120227167
10^ 7^ 4 1 	| -0.0030163222536468445
10^ 7^ 4 3 	| 0.003665265037485834
10^ 7^ 4 5 	| -4.3685255178413285e-07
10^ 9^ 0 1 	| 2.7688171823564744e-07
10^ 9^ 0 3 	| 1.5629452223428492e-07
10^ 9^ 0 5 	| -0.0017147687508537559
10^ 9^ 2 1 	| -2.1563906080190274e-07
10^ 9^ 2 3 	| 4.04410968003289e-07
10^ 9^ 2 5 	| 0.002085428944702803
10^ 9^ 4 1 	| -0.0004228592356787041
10^ 9^ 4 3 	| 0.0005126848567336683
10^ 9^ 4 5 	| -4.337875359682125e-08
10^ 11^ 0 1 	| -0.02469691492701781
10^ 11^ 0 3 	| 0.02365095853341726
10^ 11^ 0 5 	| 1.7122708902514677e-08
10^ 11^ 2 1 	| 0.023650929579071604
10^ 11^ 2 3 	| -0.03397245380301727
10^ 11^ 2 5 	| -8.324835467087059e-08
10^ 11^ 4 1 	| -7.560553999586494e-08
10^ 11^ 4 3 	| 4.67440171263983e-08
10^ 11^ 4 5 	| -0.002824617844437164
6^ 8^ 0 2 	| -1.814591349298382e-07
6^ 8^ 0 4 	| -1.928499104952632e-07
6^ 8^ 2 4 	| 1.5378780223579991e-07
6^ 10^ 0 2 	| -5.101507547775054e-07
6^ 10^ 0 4 	| 0.013226169236381669
