R1/R2
Excitations | Coefficients
6^ 0	| -6.672645414068113e-12
8^ 0	| -1.0760306911145436e-12
10^ 0	| -0.001497576281912056
7^ 1	| -1.6441916113434603e-12
9^ 1	| -1.5587435938999864e-12
11^ 1	| -0.0014975671811186628
6^ 2	| -0.13223174520967618
8^ 2	| -0.013181642615675475
10^ 2	| -1.8852569946401038e-12
7^ 3	| -0.13223796769518856
9^ 3	| -0.013182015135601985
11^ 3	| -1.063865218471372e-14
6^ 4	| -0.6814147806806399
8^ 4	| -0.06781021090880515
10^ 4	| -8.248702598856569e-13
7^ 5	| -0.6814203025157032
9^ 5	| -0.06779780633392214
11^ 5	| -1.2480012411952152e-12
6^ 0; 7^ 1	| 9.856828894760916e-14
6^ 0; 9^ 1	| 3.209620069721808e-13
6^ 0; 11^ 1	| -0.0035908695575517114
8^ 0; 7^ 1	| -1.4468981568427353e-13
8^ 0; 9^ 1	| -4.1339154321917704e-13
8^ 0; 11^ 1	| -0.0005727879124658442
10^ 0; 7^ 1	| -0.0035909301825945428
10^ 0; 9^ 1	| -0.0005727944492893849
10^ 0; 11^ 1	| 1.662038562333379e-14
6^ 0; 8^ 2	| 0.006972228672483399
6^ 0; 10^ 2	| -4.0918657351340926e-14
8^ 0; 10^ 2	| -3.057276654061525e-14
6^ 0; 7^ 3	| -0.011960848140986302
6^ 0; 9^ 3	| -0.000995845563937614
6^ 0; 11^ 3	| -5.559094851115276e-13
8^ 0; 7^ 3	| 0.0083573505007732
8^ 0; 9^ 3	| -0.0020101890705189504
8^ 0; 11^ 3	| -1.1236822497176634e-13
10^ 0; 7^ 3	| -7.878178733175501e-13
10^ 0; 9^ 3	| -1.5155655291078175e-13
10^ 0; 11^ 3	| 0.000140506084287839
6^ 0; 8^ 4	| 0.03592100379332087
6^ 0; 10^ 4	| 4.1174603329668336e-13
8^ 0; 10^ 4	| -5.779101678422024e-13
6^ 0; 7^ 5	| -0.06161144060768397
6^ 0; 9^ 5	| -0.005120317353275684
6^ 0; 11^ 5	| -7.966150547666353e-13
8^ 0; 7^ 5	| 0.04305124833765766
8^ 0; 9^ 5	| -0.010349623156853635
8^ 0; 11^ 5	| 9.619453870707985e-14
10^ 0; 7^ 5	| -2.982317145233867e-13
10^ 0; 9^ 5	| -3.7556542088889334e-13
10^ 0; 11^ 5	| 0.0006954004749710213
7^ 1; 6^ 2	| -0.011959017229661213
7^ 1; 8^ 2	| 0.0009970352218180338
7^ 1; 10^ 2	| -1.7218595345660818e-13
9^ 1; 6^ 2	| -0.008355679999301086
9^ 1; 8^ 2	| -0.002011374012388608
9^ 1; 10^ 2	| 2.9461366814967846e-13
11^ 1; 6^ 2	| -3.9849632073493707e-13
11^ 1; 8^ 2	| -1.9009287740897551e-13
11^ 1; 10^ 2	| 0.0001404999401721257
7^ 1; 9^ 3	| -0.006969389275633687
7^ 1; 11^ 3	| -3.483540031855699e-14
9^ 1; 11^ 3	| -2.6391551458140587e-13
7^ 1; 6^ 4	| -0.061604730923828066
7^ 1; 8^ 4	| 0.0051261545073176176
7^ 1; 10^ 4	| 1.306454838699141e-12
9^ 1; 6^ 4	| -0.0430446588663394
9^ 1; 8^ 4	| -0.010355997758246652
9^ 1; 10^ 4	| 1.8582242760490145e-13
11^ 1; 6^ 4	| 2.0702769481288062e-13
11^ 1; 8^ 4	| -6.058846544671284e-13
11^ 1; 10^ 4	| 0.0006953840471774212
7^ 1; 9^ 5	| -0.03590595526175097
7^ 1; 11^ 5	| 5.712334824158436e-13
9^ 1; 11^ 5	| -1.5109183530530257e-13
6^ 2; 7^ 3	| -1.266285809892678e-12
6^ 2; 9^ 3	| -5.103179572515023e-13
6^ 2; 11^ 3	| -0.0065050006284892055
8^ 2; 7^ 3	| -1.6858743114599246e-13
8^ 2; 9^ 3	| -3.5403332524215643e-13
8^ 2; 11^ 3	| -0.0004777218580612575
10^ 2; 7^ 3	| -0.006505162070070644
10^ 2; 9^ 3	| -0.00047772231978178615
10^ 2; 11^ 3	| -1.3992116358293869e-14
6^ 2; 8^ 4	| -1.2505295846876357e-12
6^ 2; 10^ 4	| -1.9937365164809927e-06
8^ 2; 10^ 4	| 2.6135618490310254e-07
6^ 2; 7^ 5	| -1.4008365387488411e-12
6^ 2; 9^ 5	| -2.5713837515845323e-13
6^ 2; 11^ 5	| -0.013845700297380727
8^ 2; 7^ 5	| -1.372074540030058e-15
8^ 2; 9^ 5	| -6.232994931892276e-13
8^ 2; 11^ 5	| 7.316851010068074e-05
10^ 2; 7^ 5	| -0.013851436425924523
10^ 2; 9^ 5	| 7.621820188830656e-05
10^ 2; 11^ 5	| 5.178469216392385e-13
7^ 3; 6^ 4	| -4.3650890088794627e-13
7^ 3; 8^ 4	| -3.639360125760997e-13
7^ 3; 10^ 4	| 0.013846342101670666
9^ 3; 6^ 4	| -1.6686054047847028e-13
9^ 3; 8^ 4	| -2.46941063903922e-13
9^ 3; 10^ 4	| -7.325033285922488e-05
11^ 3; 6^ 4	| 0.01385129434487003
11^ 3; 8^ 4	| -7.615010410263415e-05
11^ 3; 10^ 4	| 5.743124475932825e-13
7^ 3; 9^ 5	| -1.0339164023196429e-12
7^ 3; 11^ 5	| 8.678143477169074e-06
9^ 3; 11^ 5	| -2.811760112291308e-06
6^ 4; 7^ 5	| 5.800461687756415e-13
6^ 4; 9^ 5	| 8.414252037005686e-14
6^ 4; 11^ 5	| -0.07504915827657883
8^ 4; 7^ 5	| -3.8800161907943734e-13
8^ 4; 9^ 5	| 2.1854140357180582e-14
8^ 4; 11^ 5	| -0.0001039808100165683
10^ 4; 7^ 5	| -0.07504996012000334
10^ 4; 9^ 5	| -0.00010383240822241897
10^ 4; 11^ 5	| 4.989064716909297e-15
