R1/R2
Excitations | Coefficients
6^ 0	| -0.4150231762938627
8^ 0	| -0.018055967912835813
10^ 0	| 1.0763612223740893e-12
7^ 1	| -0.4149799389351807
9^ 1	| -0.018053442077370904
11^ 1	| 9.42940170389761e-13
6^ 2	| -0.4041789467174324
8^ 2	| -0.017574728295717823
10^ 2	| -2.0410340084708878e-12
7^ 3	| -0.4041247519529051
9^ 3	| -0.01757182320905444
11^ 3	| -2.2857271630982723e-12
6^ 4	| 4.904637668223799e-10
8^ 4	| 2.363381712555679e-11
10^ 4	| 4.8228783189330215e-08
7^ 5	| 4.908710382611758e-10
9^ 5	| 2.3806234761281075e-11
11^ 5	| 8.257571128267305e-08
6^ 0; 7^ 1	| -6.147235498410453e-13
6^ 0; 9^ 1	| 3.4466873799487985e-13
6^ 0; 11^ 1	| 0.008324054266042463
8^ 0; 7^ 1	| 4.879707748983719e-13
8^ 0; 9^ 1	| -1.90354676465887e-13
8^ 0; 11^ 1	| 0.00046669924942654636
10^ 0; 7^ 1	| 0.008324953018455768
10^ 0; 9^ 1	| 0.0004666417465437589
10^ 0; 11^ 1	| 4.915794334092727e-14
6^ 0; 8^ 2	| -3.0503958327364813e-13
6^ 0; 10^ 2	| 0.007797924621234563
8^ 0; 10^ 2	| 0.0007511865956302211
6^ 0; 7^ 3	| -3.998953305721504e-13
6^ 0; 9^ 3	| -1.9254918782213026e-13
6^ 0; 11^ 3	| -0.004143847161515893
8^ 0; 7^ 3	| -1.9721735765464116e-13
8^ 0; 9^ 3	| 1.3066646015060231e-14
8^ 0; 11^ 3	| -0.0007051640941380028
10^ 0; 7^ 3	| 0.0037280902115809536
10^ 0; 9^ 3	| 0.0006819690747158871
10^ 0; 11^ 3	| -2.0057167230831625e-13
6^ 0; 8^ 4	| 0.0011539150420603861
6^ 0; 10^ 4	| -1.4014358724364267e-12
8^ 0; 10^ 4	| -4.992538648428046e-13
6^ 0; 7^ 5	| 0.28883674571318435
6^ 0; 9^ 5	| 0.015022007320003132
6^ 0; 11^ 5	| -2.9214906669469487e-12
8^ 0; 7^ 5	| -0.016915983259699664
8^ 0; 9^ 5	| 0.0019299303915532643
8^ 0; 11^ 5	| -2.4161357023256025e-13
10^ 0; 7^ 5	| -1.942655134970124e-12
10^ 0; 9^ 5	| -1.3519165138134255e-12
10^ 0; 11^ 5	| -0.0015938104402539333
7^ 1; 6^ 2	| -7.301492013277547e-13
7^ 1; 8^ 2	| -2.307913457024854e-13
7^ 1; 10^ 2	| 0.004119712650387497
9^ 1; 6^ 2	| 7.929714524764601e-14
9^ 1; 8^ 2	| -4.174301629417907e-13
9^ 1; 10^ 2	| 0.0007041762874207054
11^ 1; 6^ 2	| -0.0036351628696363004
11^ 1; 8^ 2	| -0.0006760484369200605
11^ 1; 10^ 2	| -5.3097250517427227e-14
7^ 1; 9^ 3	| -1.5380975001785518e-13
7^ 1; 11^ 3	| -0.007796233854804295
9^ 1; 11^ 3	| -0.000750593637928353
7^ 1; 6^ 4	| 0.28882334759731854
7^ 1; 8^ 4	| -0.015023607991078587
7^ 1; 10^ 4	| 2.693507103374757e-12
9^ 1; 6^ 4	| 0.01691465752152687
9^ 1; 8^ 4	| 0.0019299182853941912
9^ 1; 10^ 4	| -4.7099334635829926e-14
11^ 1; 6^ 4	| 7.512092140596629e-13
11^ 1; 8^ 4	| 6.009917421573977e-13
11^ 1; 10^ 4	| -0.0015937238703691088
7^ 1; 9^ 5	| -0.0011344130382811863
7^ 1; 11^ 5	| 1.1219659682016695e-12
9^ 1; 11^ 5	| 6.089906366644759e-13
6^ 2; 7^ 3	| -1.0025149179955004e-13
6^ 2; 9^ 3	| 1.4582887502856025e-13
6^ 2; 11^ 3	| -0.008239568669886399
8^ 2; 7^ 3	| -1.1602767716700924e-13
8^ 2; 9^ 3	| 8.297149095254966e-15
8^ 2; 11^ 3	| -0.0004609363607875973
10^ 2; 7^ 3	| -0.008239738461332172
10^ 2; 9^ 3	| -0.00046083180336697194
10^ 2; 11^ 3	| -2.1154228730044314e-13
6^ 2; 8^ 4	| 0.0011159066916703391
6^ 2; 10^ 4	| 7.651927779827044e-13
