Active electrons: 6
Active orbitals: 6
HF energy: -99.74458552573026
Energy minimum: -99.87204843323423

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.01661620465403774
6^ 9^ 0 1 	| -0.00171819452547745
6^ 11^ 0 1 	| 4.904845781032859e-16
8^ 7^ 0 1 	| -0.0017165572530115501
10^ 7^ 0 1 	| 4.2428061886144815e-16
8^ 9^ 0 1 	| 0.0003748313334946971
8^ 11^ 0 1 	| -8.540265752076152e-17
10^ 9^ 0 1 	| 9.046390465677094e-17
10^ 11^ 0 1 	| 0.05774136483134136
6^ 8^ 0 2 	| -4.724482933246576e-08
6^ 10^ 0 2 	| 2.7541572201307465e-16
8^ 10^ 0 2 	| -3.792416267285415e-17
6^ 7^ 0 3 	| -0.0002949660566676648
6^ 9^ 0 3 	| 1.1750820395612305e-05
6^ 11^ 0 3 	| 3.6083298712710776e-16
8^ 7^ 0 3 	| 1.1786600222134113e-05
10^ 7^ 0 3 	| 4.2348630508728867e-16
8^ 9^ 0 3 	| 4.009753794607394e-05
8^ 11^ 0 3 	| -9.887743394591408e-17
10^ 9^ 0 3 	| -6.101619264248213e-16
10^ 11^ 0 3 	| -0.048639462354163734
6^ 8^ 0 4 	| 1.3381009141238155e-16
6^ 10^ 0 4 	| -0.019579529604291268
8^ 10^ 0 4 	| 0.00223894851349101
6^ 7^ 0 5 	| -1.4493285419954476e-16
6^ 9^ 0 5 	| 4.274761238349506e-17
6^ 11^ 0 5 	| 0.006915473833379232
8^ 7^ 0 5 	| 8.102827825686949e-17
10^ 7^ 0 5 	| 0.026489256844973393
8^ 9^ 0 5 	| 8.391654938496848e-18
8^ 11^ 0 5 	| -8.88309284082467e-05
10^ 9^ 0 5 	| -0.0023275594640754776
10^ 11^ 0 5 	| -1.0552555118467823e-15
6^ 7^ 2 1 	| -0.0002948335077887392
6^ 9^ 2 1 	| 1.1791433328281141e-05
6^ 11^ 2 1 	| -3.8451219102712664e-16
8^ 7^ 2 1 	| 1.1732929668465625e-05
10^ 7^ 2 1 	| -5.827494175232205e-16
8^ 9^ 2 1 	| 4.007384184624486e-05
8^ 11^ 2 1 	| 1.368733821884479e-16
10^ 9^ 2 1 	| -3.9449684495086573e-16
10^ 11^ 2 1 	| -0.04866080786392975
7^ 9^ 1 3 	| -4.73328449409098e-08
7^ 11^ 1 3 	| 5.81670764061844e-18
9^ 11^ 1 3 	| 2.437056002344507e-17
6^ 7^ 4 1 	| -7.657932813583779e-17
6^ 9^ 4 1 	| 1.5610189665535745e-16
6^ 11^ 4 1 	| 0.026500106264670524
8^ 7^ 4 1 	| 2.350177205385576e-17
10^ 7^ 4 1 	| 0.006916942097715113
8^ 9^ 4 1 	| 1.3239315289795326e-17
8^ 11^ 4 1 	| -0.0023285750351824167
10^ 9^ 4 1 	| -8.901465182696659e-05
10^ 11^ 4 1 	| -2.4429988273398504e-17
7^ 9^ 1 5 	| -2.42745670120794e-17
7^ 11^ 1 5 	| -0.019581444011891724
