R1/R2
Excitations | Coefficients
6^ 0	| 1.949990228936352e-13
8^ 0	| 1.5910087052787033e-13
10^ 0	| 2.686370448002549e-13
7^ 1	| 2.494116024820414e-13
9^ 1	| 2.9051760996878784e-13
11^ 1	| 2.462197112862441e-13
6^ 2	| 1.4797885139472555e-13
8^ 2	| 1.3711254354120683e-14
10^ 2	| 1.551397899035578e-13
7^ 3	| 3.2951419370874646e-13
9^ 3	| 1.368904989362818e-13
11^ 3	| 2.0441287551520304e-13
6^ 4	| 2.0261570199409107e-13
8^ 4	| 3.5901837058816e-13
10^ 4	| 2.7594593277058266e-13
7^ 5	| 2.834954493380337e-13
9^ 5	| 1.236510893676268e-13
11^ 5	| 1.792316295379237e-13
6^ 0; 7^ 1	| 1.1142753386650384e-12
6^ 0; 9^ 1	| 4.666128594621455e-13
6^ 0; 11^ 1	| -2.2140180033769497e-07
8^ 0; 7^ 1	| -1.1421419365831298e-13
8^ 0; 9^ 1	| 7.235323451482145e-13
8^ 0; 11^ 1	| -8.479650384640713e-08
10^ 0; 7^ 1	| -5.014422571614219e-07
10^ 0; 9^ 1	| -1.2323653381107746e-07
10^ 0; 11^ 1	| 1.2690959394490164e-12
6^ 0; 8^ 2	| 2.4215351945855446e-12
6^ 0; 10^ 2	| 9.08334518712195e-12
8^ 0; 10^ 2	| 6.389416773444623e-12
6^ 0; 7^ 3	| 0.5548556157212654
6^ 0; 9^ 3	| 0.2580548036402653
6^ 0; 11^ 3	| 5.191846952357082e-12
8^ 0; 7^ 3	| -0.31536774899150355
8^ 0; 9^ 3	| 0.08735282979493254
8^ 0; 11^ 3	| 3.0723328951951475e-12
10^ 0; 7^ 3	| 1.5803550350882755e-12
10^ 0; 9^ 3	| 8.960214326751432e-13
10^ 0; 11^ 3	| -0.014286186471850619
6^ 0; 8^ 4	| 9.457295055552567e-13
6^ 0; 10^ 4	| 1.8039388054224686e-11
8^ 0; 10^ 4	| 1.1104007940950745e-11
6^ 0; 7^ 5	| -0.10787373416295125
6^ 0; 9^ 5	| -0.05017035486813908
6^ 0; 11^ 5	| 8.29490272934499e-12
8^ 0; 7^ 5	| 0.06133323648353635
8^ 0; 9^ 5	| -0.0169929086935059
8^ 0; 11^ 5	| 5.660803360076136e-12
10^ 0; 7^ 5	| 5.160391236330177e-12
10^ 0; 9^ 5	| 2.718094582749173e-12
10^ 0; 11^ 5	| 0.0028260033369387756
7^ 1; 6^ 2	| 0.5548555466237486
7^ 1; 8^ 2	| -0.25805939259397775
7^ 1; 10^ 2	| 4.285853002135233e-12
9^ 1; 6^ 2	| 0.3153639206170289
9^ 1; 8^ 2	| 0.08735280795469609
9^ 1; 10^ 2	| 3.1201511204612636e-12
11^ 1; 6^ 2	| 6.420277653796031e-12
11^ 1; 8^ 2	| 3.648425301975344e-12
11^ 1; 10^ 2	| -0.014286096018534616
7^ 1; 9^ 3	| 1.4880757318349163e-12
7^ 1; 11^ 3	| 6.932969759921365e-12
9^ 1; 11^ 3	| 4.499075180717538e-12
7^ 1; 6^ 4	| -0.1078730643110016
7^ 1; 8^ 4	| 0.05017146517558693
7^ 1; 10^ 4	| 4.567809935332831e-12
9^ 1; 6^ 4	| -0.06133169141281886
9^ 1; 8^ 4	| -0.01699278079197563
9^ 1; 10^ 4	| 3.3743239196002154e-12
11^ 1; 6^ 4	| 2.992869899858143e-12
11^ 1; 8^ 4	| 2.198750193398377e-12
11^ 1; 10^ 4	| 0.0028259939877222097
7^ 1; 9^ 5	| 1.0258916359421177e-12
7^ 1; 11^ 5	| 1.4153730845177365e-11
9^ 1; 11^ 5	| 9.414859659587407e-12
6^ 2; 7^ 3	| 8.897541418670962e-13
6^ 2; 9^ 3	| -4.853073209901086e-14
6^ 2; 11^ 3	| 0.0008977678278986347
8^ 2; 7^ 3	| 2.2593820889412627e-13
8^ 2; 9^ 3	| 6.436895710480043e-13
8^ 2; 11^ 3	| 0.0004600909676143411
10^ 2; 7^ 3	| 0.0008978197781769693
10^ 2; 9^ 3	| 0.00046009655283877753
10^ 2; 11^ 3	| 7.373480441165153e-13
6^ 2; 8^ 4	| 1.5874869546493134e-12
6^ 2; 10^ 4	| 6.864696567820783e-12
8^ 2; 10^ 4	| 5.0635629416070426e-12
6^ 2; 7^ 5	| 1.746303560452352e-11
6^ 2; 9^ 5	| 9.760601829987097e-12
6^ 2; 11^ 5	| 0.005279487244747183
8^ 2; 7^ 5	| -7.552395237211034e-12
8^ 2; 9^ 5	| 2.7959140492184967e-12
8^ 2; 11^ 5	| 0.0028980643429171544
10^ 2; 7^ 5	| -0.0008369131401562147
10^ 2; 9^ 5	| -0.000621647095080201
10^ 2; 11^ 5	| 7.338615209866683e-13
7^ 3; 6^ 4	| 1.2109163896559881e-11
7^ 3; 8^ 4	| -3.9654022822446156e-12
7^ 3; 10^ 4	| -0.0052799199914346446
9^ 3; 6^ 4	| 6.062268549178811e-12
9^ 3; 8^ 4	| 1.8123901777153405e-12
9^ 3; 10^ 4	| -0.0028982748782641417
11^ 3; 6^ 4	| 0.0008353561112704316
11^ 3; 8^ 4	| 0.0006205940463455858
11^ 3; 10^ 4	| 1.0122906411776249e-12
7^ 3; 9^ 5	| 2.1878534758522176e-12
7^ 3; 11^ 5	| 7.361256524787415e-12
9^ 3; 11^ 5	| 3.972028383057678e-12
6^ 4; 7^ 5	| 4.3274974680399925e-12
6^ 4; 9^ 5	| 2.244334854307264e-12
6^ 4; 11^ 5	| -0.0008977421057779799
8^ 4; 7^ 5	| -1.4045040068510164e-12
8^ 4; 9^ 5	| 1.0752772327419415e-12
8^ 4; 11^ 5	| -0.0004600919465645708
10^ 4; 7^ 5	| -0.0008977551498437399
10^ 4; 9^ 5	| -0.00046010616010924097
10^ 4; 11^ 5	| 7.848550368644291e-13
