R1/R2
Excitations | Coefficients
4^ 0	| -0.4960736724103246
6^ 0	| -0.011035364459384479
5^ 1	| -0.5002244729697337
7^ 1	| -0.01236585017281934
4^ 2	| -0.015173867191803872
6^ 2	| 0.499374314448022
5^ 3	| -0.016569049624955118
7^ 3	| 0.503519819950295
4^ 0; 5^ 1	| -3.384599998873394e-14
4^ 0; 7^ 1	| -9.681195983681512e-14
6^ 0; 5^ 1	| 4.812384813954352e-13
6^ 0; 7^ 1	| 1.5468667239318785e-13
4^ 0; 6^ 2	| -3.178977867934492e-13
4^ 0; 5^ 3	| -1.4248450347510002e-12
4^ 0; 7^ 3	| -5.721509176704738e-13
6^ 0; 5^ 3	| -4.570740949627071e-14
6^ 0; 7^ 3	| 7.366277137355688e-13
5^ 1; 4^ 2	| -2.894929070093902e-13
5^ 1; 6^ 2	| 8.378597335529713e-14
7^ 1; 4^ 2	| -3.058243671135945e-13
7^ 1; 6^ 2	| -1.2399536679628523e-12
5^ 1; 7^ 3	| -6.451987185732068e-13
4^ 2; 5^ 3	| -8.401150420417769e-13
4^ 2; 7^ 3	| -5.599425510682968e-13
6^ 2; 5^ 3	| -8.550840045261988e-13
6^ 2; 7^ 3	| -8.313734230038051e-13
