R1/R2
Excitations | Coefficients
6^ 0	| -0.6934818849170118
8^ 0	| -0.13720912088223747
10^ 0	| -1.6586454432143682e-12
7^ 1	| -0.6937466271033825
9^ 1	| -0.1372644050386488
11^ 1	| -1.1238648900402382e-12
6^ 2	| 1.262080162600654e-10
8^ 2	| -7.751020962218358e-11
10^ 2	| 0.008070001364728477
7^ 3	| 1.0440681984943902e-10
9^ 3	| -7.017031672002637e-11
11^ 3	| 0.00806876402755781
6^ 4	| -7.373192088119198e-11
8^ 4	| -6.131385000112295e-11
10^ 4	| -0.00044889558301785187
7^ 5	| -8.023438000850705e-11
9^ 5	| -4.215152561229271e-11
11^ 5	| -0.0004489415720053106
6^ 0; 7^ 1	| 6.123377850594482e-13
6^ 0; 9^ 1	| -1.2039789189885764e-12
6^ 0; 11^ 1	| -1.4022009922630053e-12
8^ 0; 7^ 1	| 2.1650903746189842e-12
8^ 0; 9^ 1	| -2.225721294659525e-12
8^ 0; 11^ 1	| -6.033019227552729e-13
10^ 0; 7^ 1	| 3.38938802095084e-13
10^ 0; 9^ 1	| -1.2691649976613943e-12
10^ 0; 11^ 1	| -7.639730655884353e-14
6^ 0; 8^ 2	| -3.3956839235219556e-12
6^ 0; 10^ 2	| 8.985721893228184e-13
8^ 0; 10^ 2	| -1.0956466641731006e-12
6^ 0; 7^ 3	| 1.4723319380091442e-12
6^ 0; 9^ 3	| -3.827064506500977e-12
6^ 0; 11^ 3	| -7.611642166548155e-13
8^ 0; 7^ 3	| -4.2422393223399074e-12
8^ 0; 9^ 3	| -2.8627685308354324e-12
8^ 0; 11^ 3	| -1.5036402113425383e-13
10^ 0; 7^ 3	| -4.323121527722264e-13
10^ 0; 9^ 3	| -8.867797981671839e-13
10^ 0; 11^ 3	| -5.372018932457046e-13
6^ 0; 8^ 4	| -6.59738288067649e-12
6^ 0; 10^ 4	| -3.0100322822099836e-13
8^ 0; 10^ 4	| -1.702253769039044e-12
6^ 0; 7^ 5	| -8.818560979547443e-13
6^ 0; 9^ 5	| -6.1469688934601746e-12
6^ 0; 11^ 5	| -4.1269263977773667e-13
8^ 0; 7^ 5	| -1.946864053419716e-12
8^ 0; 9^ 5	| -2.9765782860018362e-12
8^ 0; 11^ 5	| 9.171973982981226e-13
