Active electrons: 6
Active orbitals: 6
HF energy: -108.86776449096283
Energy minimum: -108.94646973141253

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.07236348818049793
6^ 9^ 0 1 	| -2.460563735104572e-06
6^ 11^ 0 1 	| -5.257489907795777e-16
8^ 7^ 0 1 	| -2.4381591862450235e-06
10^ 7^ 0 1 	| 3.970010255749317e-16
8^ 9^ 0 1 	| 0.07207557506739254
8^ 11^ 0 1 	| 3.9134595387275807e-16
10^ 9^ 0 1 	| -1.0079708294380661e-15
10^ 11^ 0 1 	| 0.02483036893040366
6^ 8^ 0 2 	| -3.0281618056081084e-16
6^ 10^ 0 2 	| -0.027553930336732865
8^ 10^ 0 2 	| -0.006979453066525917
6^ 7^ 0 3 	| 1.27230709772694e-15
6^ 9^ 0 3 	| 1.3875163569422865e-16
6^ 11^ 0 3 	| -0.016597357372231277
8^ 7^ 0 3 	| -3.870051704490572e-17
10^ 7^ 0 3 	| 0.01076880266658109
8^ 9^ 0 3 	| 3.5969061115309556e-16
8^ 11^ 0 3 	| -0.004231190138113091
10^ 9^ 0 3 	| 0.0027284981985892954
10^ 11^ 0 3 	| -2.81681358033505e-16
6^ 8^ 0 4 	| 2.285044198844044e-16
6^ 10^ 0 4 	| 0.006936663032589333
8^ 10^ 0 4 	| -0.02675822273932082
6^ 7^ 0 5 	| -2.6956307037854977e-16
6^ 9^ 0 5 	| -3.880179879831738e-17
6^ 11^ 0 5 	| 0.004241803501852581
8^ 7^ 0 5 	| 5.66475639887212e-17
10^ 7^ 0 5 	| -0.0026266359295790704
8^ 9^ 0 5 	| 1.8585225340600598e-16
8^ 11^ 0 5 	| -0.016464483714834614
10^ 9^ 0 5 	| 0.010133821488169888
10^ 11^ 0 5 	| -4.627150117772091e-16
6^ 7^ 2 1 	| 1.3253327538447085e-16
6^ 9^ 2 1 	| -2.421796259884607e-17
6^ 11^ 2 1 	| 0.01102771910110993
8^ 7^ 2 1 	| 3.088900849394978e-17
10^ 7^ 2 1 	| -0.01659923151319781
8^ 9^ 2 1 	| -5.617545487497776e-19
8^ 11^ 2 1 	| 0.0027939566269003634
10^ 9^ 2 1 	| -0.004231503906346514
10^ 11^ 2 1 	| -4.811941275201235e-17
7^ 9^ 1 3 	| -2.1860403885951234e-16
7^ 11^ 1 3 	| -0.027452701844849017
9^ 11^ 1 3 	| -0.00695469248075704
6^ 7^ 4 1 	| -2.4979060034710648e-18
6^ 9^ 4 1 	| 6.382367852638334e-17
6^ 11^ 4 1 	| -0.0026884439482846413
8^ 7^ 4 1 	| 1.0390687089949976e-16
10^ 7^ 4 1 	| 0.004242170707074807
8^ 9^ 4 1 	| -7.771967386945106e-18
8^ 11^ 4 1 	| 0.010373242652133116
10^ 9^ 4 1 	| -0.016466587715105573
10^ 11^ 4 1 	| -9.496505342001268e-17
7^ 9^ 1 5 	| -5.903249203723037e-16
7^ 11^ 1 5 	| 0.006914543665332485
9^ 11^ 1 5 	| -0.026672135672762692
6^ 7^ 2 3 	| 0.2509605045068639
6^ 9^ 2 3 	| 0.055161868915750305
6^ 11^ 2 3 	| -6.63864701303671e-16
8^ 7^ 2 3 	| 0.05514078787677563
10^ 7^ 2 3 	| -1.8507653157921599e-16
8^ 9^ 2 3 	| 0.04909745481427217
