R1/R2
Excitations | Coefficients
6^ 0	| -9.992765401991823e-07
8^ 0	| -1.358171728350004e-06
10^ 0	| 1.55477995084236e-08
7^ 1	| 1.5708267188948058e-06
9^ 1	| 6.490047642131611e-07
11^ 1	| -3.021622897328586e-08
6^ 2	| 0.49898498164746846
8^ 2	| -0.03186046302012352
10^ 2	| -9.630215532370503e-08
7^ 3	| -0.4989828619797444
9^ 3	| 0.03185876878831366
11^ 3	| 4.291674769332527e-09
6^ 4	| -0.0318609549627459
8^ 4	| -0.49898465101620865
10^ 4	| 4.400841764584848e-09
7^ 5	| 0.03185843296494055
9^ 5	| 0.49898322528020933
11^ 5	| 7.648646706698056e-08
6^ 0; 7^ 1	| 2.5210262488045683e-08
6^ 0; 9^ 1	| 9.68721630187676e-10
6^ 0; 11^ 1	| 4.067985969898819e-09
8^ 0; 7^ 1	| 1.8959000796121808e-08
8^ 0; 9^ 1	| -2.5170440512930384e-08
8^ 0; 11^ 1	| -2.2838975810288385e-09
10^ 0; 7^ 1	| 2.1032757338034286e-09
10^ 0; 9^ 1	| 3.4129907332131334e-09
10^ 0; 11^ 1	| -1.394134824242025e-11
6^ 0; 8^ 2	| 2.9844339582288547e-07
6^ 0; 10^ 2	| -4.981009429654118e-07
8^ 0; 10^ 2	| 2.7309217539878174e-08
6^ 0; 7^ 3	| -5.334152105823127e-07
6^ 0; 9^ 3	| 3.813502269756203e-08
6^ 0; 11^ 3	| 1.270136764835378e-09
8^ 0; 7^ 3	| -3.345988925451492e-07
8^ 0; 9^ 3	| -1.810051122864151e-08
8^ 0; 11^ 3	| 6.371285313029269e-10
10^ 0; 7^ 3	| 4.964717430941189e-07
10^ 0; 9^ 3	| -3.587799871737025e-08
10^ 0; 11^ 3	| 1.2147708119499164e-09
6^ 0; 8^ 4	| -5.890281945563757e-07
6^ 0; 10^ 4	| 3.5084488892788186e-08
8^ 0; 10^ 4	| 4.6818976991739584e-07
6^ 0; 7^ 5	| 1.6184989686965762e-08
6^ 0; 9^ 5	| 5.7589649808538e-07
6^ 0; 11^ 5	| 1.0801392788536237e-09
8^ 0; 7^ 5	| 1.7415018522130792e-08
8^ 0; 9^ 5	| -3.714208285506745e-07
8^ 0; 11^ 5	| 6.904172859209211e-10
10^ 0; 7^ 5	| -2.9508100452160753e-08
10^ 0; 9^ 5	| -5.252980743117804e-07
10^ 0; 11^ 5	| -4.865843919838596e-09
7^ 1; 6^ 2	| 3.995907286433345e-07
7^ 1; 8^ 2	| 1.7260752035490196e-08
7^ 1; 10^ 2	| 3.0602230496826886e-10
9^ 1; 6^ 2	| 6.882185722737931e-07
9^ 1; 8^ 2	| -5.1136893380039985e-08
9^ 1; 10^ 2	| -8.339080084804092e-10
11^ 1; 6^ 2	| 4.208854408023604e-07
11^ 1; 8^ 2	| -2.2523462250147018e-08
11^ 1; 10^ 2	| -4.145176461834608e-09
7^ 1; 9^ 3	| -7.074510809319269e-07
7^ 1; 11^ 3	| -4.208404196963216e-07
9^ 1; 11^ 3	| 3.128634192063729e-08
7^ 1; 6^ 4	| -3.191967683130027e-08
7^ 1; 8^ 4	| 4.071333140945627e-07
7^ 1; 10^ 4	| -1.2769681912523897e-09
9^ 1; 6^ 4	| -5.051911967268886e-08
9^ 1; 8^ 4	| -6.583335855360109e-07
9^ 1; 10^ 4	| -5.015237731921465e-10
11^ 1; 6^ 4	| -2.9925921565480106e-08
11^ 1; 8^ 4	| -3.9320576983380384e-07
11^ 1; 10^ 4	| -1.733556824921509e-09
7^ 1; 9^ 5	| -3.609061462837341e-07
7^ 1; 11^ 5	| 2.454178300359144e-08
9^ 1; 11^ 5	| 4.5013282379823987e-07
6^ 2; 7^ 3	| -8.780251504987609e-07
6^ 2; 9^ 3	| 4.715264293052587e-07
6^ 2; 11^ 3	| 1.9757008605206985e-07
8^ 2; 7^ 3	| 7.326137560029376e-07
8^ 2; 9^ 3	| 1.835704514252004e-08
8^ 2; 11^ 3	| -1.5559878067422363e-08
10^ 2; 7^ 3	| 6.090194182940649e-07
10^ 2; 9^ 3	| -3.684787534893961e-08
10^ 2; 11^ 3	| 4.830923580619682e-09
6^ 2; 8^ 4	| 1.3985737594082991e-06
6^ 2; 10^ 4	| 7.205695413989052e-07
8^ 2; 10^ 4	| 5.78443926340876e-07
6^ 2; 7^ 5	| -7.692176350079846e-07
6^ 2; 9^ 5	| 1.1900322493779379e-06
6^ 2; 11^ 5	| -6.217146587200223e-07
8^ 2; 7^ 5	| -9.909182708865885e-08
8^ 2; 9^ 5	| 7.081605193129805e-07
8^ 2; 11^ 5	| 3.595477132578362e-08
10^ 2; 7^ 5	| -3.7066221134392e-08
10^ 2; 9^ 5	| -6.234098894329107e-07
10^ 2; 11^ 5	| 3.3462842138796517e-09
7^ 3; 6^ 4	| 1.4088578968993725e-07
7^ 3; 8^ 4	| -1.1794357336785177e-06
7^ 3; 10^ 4	| -6.843564224950184e-07
9^ 3; 6^ 4	| 2.189734037929649e-08
9^ 3; 8^ 4	| 3.461663331138546e-07
9^ 3; 10^ 4	| 4.494731466038947e-08
11^ 3; 6^ 4	| 1.3830382313422696e-08
11^ 3; 8^ 4	| 1.9167029770860785e-07
11^ 3; 10^ 4	| 6.835942535876802e-10
7^ 3; 9^ 5	| -1.332009126264035e-06
7^ 3; 11^ 5	| 6.087417875642484e-07
9^ 3; 11^ 5	| -2.2761003974911972e-07
6^ 4; 7^ 5	| 6.507739510471999e-08
6^ 4; 9^ 5	| 1.2671930674743266e-07
6^ 4; 11^ 5	| 4.473701314078149e-08
8^ 4; 7^ 5	| -9.020980567675256e-07
8^ 4; 9^ 5	| 8.407593907296953e-07
8^ 4; 11^ 5	| 5.986498811534623e-07
10^ 4; 7^ 5	| -4.2090501138800985e-08
10^ 4; 9^ 5	| -6.838740269685815e-07
10^ 4; 11^ 5	| -4.704251084199192e-09
