Active electrons: 6
Active orbitals: 6
HF energy: -108.86776449096283
Energy minimum: -108.94646989075055

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -0.03631774758848663
6^ 7^ 0 3 	| -6.150074528092251e-07
6^ 7^ 0 5 	| -1.0055815591042571e-06
6^ 7^ 2 1 	| 1.2701165056863762e-06
6^ 7^ 2 3 	| -0.12487089359468528
6^ 7^ 2 5 	| 0.027511644632208457
6^ 7^ 4 1 	| 1.4460045057839162e-06
6^ 7^ 4 3 	| 0.027511633974257953
6^ 7^ 4 5 	| -0.024566629861457814
6^ 9^ 0 1 	| 4.548187310507997e-08
6^ 9^ 0 3 	| -1.121460655343118e-06
6^ 9^ 0 5 	| -8.284059704204399e-07
6^ 9^ 2 1 	| 9.877219498214326e-07
6^ 9^ 2 3 	| -0.027512903129580563
6^ 9^ 2 5 	| -0.07865274543411027
6^ 9^ 4 1 	| 5.51047602745318e-07
6^ 9^ 4 3 	| -0.02165342203040146
6^ 9^ 4 5 	| 0.027510975194630357
6^ 11^ 0 1 	| -6.376981183884984e-07
6^ 11^ 0 3 	| 0.008307143062970188
6^ 11^ 0 5 	| -0.002130531304913125
6^ 11^ 2 1 	| -0.005248193789788391
6^ 11^ 2 3 	| 4.4896188403921135e-08
6^ 11^ 2 5 	| -8.230948159955295e-07
6^ 11^ 4 1 	| 0.0013462627055375487
6^ 11^ 4 3 	| 6.76540390261442e-07
6^ 11^ 4 5 	| -4.3141827551874375e-07
8^ 7^ 0 1 	| -3.245629580570312e-07
8^ 7^ 0 3 	| 7.471258675229251e-07
8^ 7^ 0 5 	| 5.415403815509438e-07
8^ 7^ 2 1 	| -1.4242527165051601e-06
8^ 7^ 2 3 	| -0.027510109686126643
8^ 7^ 2 5 	| -0.021652617935616566
8^ 7^ 4 1 	| -9.430956486224236e-07
8^ 7^ 4 3 	| -0.07865213989169136
8^ 7^ 4 5 	| 0.027513145621028554
8^ 9^ 0 1 	| -0.03631766077395429
8^ 9^ 0 3 	| -1.422468833815469e-06
8^ 9^ 0 5 	| -1.4700828561854674e-06
8^ 9^ 2 1 	| 3.878930977706617e-07
8^ 9^ 2 3 	| -0.024566965831209642
8^ 9^ 2 5 	| -0.027511957158167014
8^ 9^ 4 1 	| 1.0911018138699394e-06
8^ 9^ 4 3 	| -0.027511376948697683
8^ 9^ 4 5 	| -0.12486956459543735
8^ 11^ 0 1 	| -1.1398635190109824e-06
8^ 11^ 0 3 	| 0.0021276937166007626
8^ 11^ 0 5 	| 0.008306796947315549
8^ 11^ 2 1 	| -0.0013446947766925638
8^ 11^ 2 3 	| -6.34292826335541e-07
8^ 11^ 2 5 	| -2.9661792846974453e-07
8^ 11^ 4 1 	| -0.005247138488337678
8^ 11^ 4 3 	| 1.335389775566523e-07
8^ 11^ 4 5 	| -6.118740493979115e-07
10^ 7^ 0 1 	| 1.231775697064842e-06
10^ 7^ 0 3 	| -0.005247215022041947
10^ 7^ 0 5 	| 0.001346646614542263
10^ 7^ 2 1 	| 0.008307997775964736
10^ 7^ 2 3 	| 3.1240388729966595e-07
10^ 7^ 2 5 	| 1.4049106409184575e-07
10^ 7^ 4 1 	| -0.002128499161084289
10^ 7^ 4 3 	| -7.287921250481966e-07
10^ 7^ 4 5 	| 5.170347957877831e-07
10^ 9^ 0 1 	| 1.2066400512472283e-06
10^ 9^ 0 3 	| -0.0013440970109188444
10^ 9^ 0 5 	| -0.005248232333587963
10^ 9^ 2 1 	| 0.0021293486841845468
